上海华氏大药房雷允上昌化路店,地址：上海市静安区昌化路520号,电话：021-32160621,
上海华氏大药房平凉分店,地址：上海市杨浦区平凉路1489号,电话：021-65439424,
上海华氏大药房虹梅路药房,地址：上海市徐汇区沪闵路8075号,电话：021-64859935,
上海华氏大药房赤峰路药房,地址：上海市虹口区赤峰路48号(近华联超市),电话：021-65157426,
上海华氏大药房健民店,地址：上海市杨浦区邯郸路550号,电话：021-65111088,
上海华氏大药房周家嘴路药房,地址：上海市杨浦区周家嘴路3131号,电话：021-65430930,
上海华氏大药房东川路药房,地址：上海市闵行区东川路2298号,电话：021-64357039,
上海华氏大药房国济路药房,地址：上海市杨浦区淞沪路8号百联又一城B1楼(国济路政旦东路),电话：021-65110965,
上海华氏大药房五官科分店,地址：上海市徐汇区汾阳路83号,电话：021-64330891,
上海华氏大药房天钥桥路药房,地址：上海市徐汇区天钥桥路666号,电话：021-64265049,
上海华氏大药房康延药房,地址：上海市杨浦区殷行路474号,电话：021-65059337,
上海华氏大药房宛平店,地址：上海市徐汇区肇嘉浜路989号第一食品商店(高安路肇嘉浜路),电话：021-64269999-6015,
上海华氏大药房妇婴保健药房,地址：上海市徐汇区衡山路910号,电话：021-64078985,
上海华氏大药房大林药房,地址：上海市黄浦区黄家阙路127号,电话：021-63664206,
上海华氏大药房古龙路药房,地址：上海市闵行区古龙路113号(近古美路),电话：400-889-1700,
上海华氏大药房七宝分店,地址：上海市闵行区沪松公路18号,电话：021-63646566,
上海华氏大药房宏昌店,地址：上海市浦东新区栖霞路105-107号(崂山路栖霞路),电话：400-889-1700,
上海华氏大药房真北分店,地址：上海市普陀区大渡河路2130号(近桃浦路),电话：021-63075777,
上海华氏大药房成都北路药房,地址：上海市黄浦区江阴路169号,电话：021-63593431,
上海华氏大药房俱进路药房,地址：上海市浦东新区俱进路335号(俱进路新行路),电话：400-889-1700,
上海华氏大药房西部兰溪店,地址：上海市普陀区兰溪路49号,电话：021-62433685,
上海华氏大药房东绣路药房,地址：上海市浦东新区东绣路1419号(东建路东绣路),电话：021-63073101,
上海华氏大药房海宁路分店,地址：上海市虹口区海宁路143号,电话：021-63243205,
上海华氏大药房仙霞西路药房,地址：上海市长宁区仙霞西路299弄3号(近平塘路),电话：021-62395903,
上海华氏大药房武宁店,地址：上海市普陀区武宁路231号银宫商厦内(近沪西工人文化宫),电话：021-62867403,
上海华氏大药房北区市北店,地址：上海市虹口区海宁路1337号(海宁路晋元路),电话：021-63171718,
上海华氏大药房金沙江店,地址：上海市普陀区金沙江路89号,电话：021-62220571,
上海华氏大药房西区店,地址：上海市普陀区武宁路231号一楼,电话：021-62548471,
上海华氏大药房杨柳分店,地址：上海市普陀区梅岭北路1002号(大渡河路梅岭北路),电话：400-889-1700,
上海华氏大药房打浦路药房,地址：上海市卢湾区打浦路250号(近斜土路),电话：400-889-1700,
上海华氏大药房西部宜川店,地址：上海市普陀区宜川路16号(交通路宜川路),电话：400-889-1700,
上海华氏大药房华江分店,地址：上海市闵行区华江公路1486号,电话：021-62200000,
上海华氏大药房长宁街店,地址：上海市静安区长宁路165号715室,电话：021-62519374,
上海华氏大药房西部普宁店,地址：上海市普陀区梅岭南路415号(梅岭北路梅岭南路),电话：400-889-1700,
上海华氏大药房昌平路药房,地址：上海市静安区昌平路1007号-1(昌平路康定路),电话：021-62171710,
上海华氏大药房华东药房,地址：上海市静安区延安西路257号,电话：021-62487430,
上海华氏大药房西部长征店,地址：上海市普陀区怒江路365号(金沙江路怒江路),电话：400-889-1700,
上海华氏大药房青年店,地址：上海市徐汇区华山路1311号平武路口(华山路平武路),电话：021-62126405,
上海华氏大药房华山药房,地址：上海市静安区乌鲁木齐中路12号,电话：021-62485674,
上海华氏大药房西部药房,地址：上海市普陀区旬阳路3-9号(石泉路旬阳路),电话：400-889-1700,
上海华氏大药房福新分店,地址：上海市长宁区长宁支路265号(近华阳路),电话：400-889-1700,
上海华氏大药房安亭分店,地址：上海市嘉定区安亭镇阜康路318号,电话：021-59575229,
上海华氏大药房静安店,地址：上海市长宁区愚园路1435号(定西路愚园路),电话：400-889-1700,
上海华氏大药房天山路分店,地址：上海市长宁区天山路210号(双流路天山路),电话：400-889-1700,
上海华氏大药房永和分店,地址：上海市闸北区交城路176号(高平路交城路),电话：400-889-1700,
上海华氏大药房华东店,地址：上海市长宁区延安西路189号,电话：021-62480270,
上海华氏大药房曹丰店,地址：上海市嘉定区丰庄路578号,电话：021-59193545,
上海华氏大药房平江分店,地址：上海市闸北区中华新路1164号(近交通西路),电话：400-889-1700,
上海华氏大药房曹杨路店,地址：上海市普陀区曹杨路411号(曹杨路普雄路),电话：400-889-1700,
上海华氏大药房华江药房,地址：上海市嘉定区江桥镇华江路21号,电话：021-59113603,
上海华氏大药房国贸医药店,地址：上海市浦东新区金桥路1399号606室,电话：021-58998888,
上海华氏大药房福昌分店,地址：上海市浦东新区新德路675号(情谊路新德路),电话：021-58908703,
上海华氏大药房新龙威店,地址：上海市浦东新区浦建路118号巴黎春天1楼(近南泉路),电话：021-58895278,
上海华氏大药房平顺店,地址：上海市闸北区洛川中路555号(共和新路洛川中路),电话：021-56656267,
上海华氏大药房浦建店,地址：上海市浦东新区杨高南路1128号1楼易初莲花超市(易初莲花杨高南路店),电话：021-58732298,
上海华氏大药房中兴路药店,地址：上海市闸北区中兴路587号(近公兴路),电话：021-56639026,
上海华氏大药房梅陇西路药房,地址：上海市闵行区梅陇西路2076号,电话：021-54952622,
上海华氏大药房巨野路药店,地址：上海市浦东新区巨野路253(甲),电话：021-58211434,
上海华氏大药房北区强力药店,地址：上海市闸北区闻喜路1112号(曲沃路闻喜路),电话：021-56437934,
上海华氏大药房七莘路药房,地址：上海市闵行区七莘路695号,电话：021-54940676,
上海华氏大药房梅川店,地址：上海市普陀区真北路1425号(金鼎路真北路),电话：021-52825727,
上海华氏大药房泗泾镇药房,地址：上海市松江区泗泾镇东市北弄57号,电话：021-57611290,
上海华氏大药房平顺分店,地址：上海市闸北区平顺路4号,电话：021-56412035,
上海华氏大药房南站药店,地址：上海市徐汇区石龙路38号(石龙路石龙支路),电话：021-54361423,
上海华氏大药房真如店,地址：上海市普陀区武宁路2138号-2140号,电话：021-52810913,
上海华氏大药房沪北分店,地址：上海市宝山区虎林路泗塘五村街107号(长江西路虎林路),电话：021-56999719,
上海华氏大药房金世堂店,地址：上海市浦东新区玉兰路292-294号(梅花路玉兰路),电话：021-50453537,
上海华氏大药房劲峰药店,地址：上海市闸北区平型关路341号,电话：021-56336170,
上海华氏大药房莘朱路药房,地址：上海市闵行区莘朱路1662号,电话：021-54287585,
上海华氏大药房杏山店,地址：上海市普陀区铜川路1363号,电话：021-52801766,
上海华氏大药房延川店,地址：上海市普陀区延长西路232号,电话：021-56945029,
上海华氏大药房龙威店,地址：上海市浦东新区莲安西路86号,电话：021-50429092,
上海华氏大药房淞南店,地址：上海市宝山区淞南镇长江南路94-96,电话：021-56145801,
上海华氏大药房石龙路分店,地址：上海市徐汇区老沪闵路412-4号,电话：400-889-1700,
上海华氏大药房利群药房,地址：上海市普陀区真光路2199号,电话：021-52792025,
上海华氏大药房共和二村分店,地址：上海市宝山区共和二村88号,电话：021-56883240,
上海华氏大药房长岛路药房,地址：上海市浦东新区长岛路612号,电话：021-50348870,
上海华氏大药房大药房兰溪路店,地址：上海市普陀区兰溪路49号,电话：021-56058048,
上海华氏大药房天钥桥南分店,地址：上海市徐汇区天钥桥南路1091-1099号(黄石路天钥桥南路),电话：400-889-1700,
上海华氏大药房真光店,地址：上海市普陀区真光路1335号,电话：021-52620133,
上海华氏大药房北区岭南店,地址：上海市闸北区汾西路725号(汾西路平顺路),电话：021-56833534,
上海华氏大药房五莲路药房,地址：上海市浦东新区张杨北路801号文峰广场内(近五莲路),电话：021-50348313,
上海华氏大药房大润发分店,地址：上海市闸北区共和新路3318号,电话：021-56033317,
上海华氏大药房龙南分店,地址：上海市徐汇区龙水南路337号,电话：021-54095028,
上海华氏大药房武夷大药房,地址：上海市长宁区天山西路541号(易初莲花天山店)C08-07、08号铺位,电话：021-52192371,
上海华氏大药房北区平顺药店,地址：上海市宝山区沪太支路718号8号房(沪太支路江场西路),电话：021-56687044,
上海华氏大药房北区上川店,地址：上海市浦东新区上川路1706号(川沙路上川路),电话：021-38983731,
上海华氏大药房图们店,地址：上海市杨浦区图们路13号(控江路图们路),电话：021-55621617,
上海华氏大药房襄阳北路药房,地址：上海市徐汇区襄阳北路131弄1号(近淮海中路),电话：021-54045419,
上海华氏大药房杨高中路店,地址：上海市浦东新区杨高中路2128号卜蜂莲花2楼(近四方路),电话：021-51329577,
上海华氏大药房富水路药房,地址：上海市黄浦区富水路469号1楼(富水路水泉路),电话：021-36226286,
上海华氏大药房黄兴路店,地址：上海市杨浦区黄兴路1618号大润发1楼(近国权路),电话：021-55057519,
上海华氏大药房石泉路分店,地址：上海市普陀区石泉路464号,电话：021-52913991,
上海华氏大药房金同路分店,地址：上海市浦东新区金同路1207-1209号,电话：021-50831649,
上海华氏大药房新绿地店,地址：上海市嘉定区真新街道丰庄路124号,电话：021-35919568,
上海华氏大药房车站店,地址：上海市普陀区车站新村3号,电话：021-52826319,
上海华氏大药房东明路分店,地址：上海市浦东新区东明路2626弄3-4号(近永泰路),电话：400-889-1700,
上海华氏大药房福山路药房,地址：上海市浦东大道710号,电话：021-50811323,
开心人大药房周家嘴路店,地址：上海市杨浦区周家嘴路2436-2440号,电话：021-65126379,
开心人大药房辽源西路店,地址：上海市杨浦区辽源西路111号幢底楼1号,电话：021-65798854,
开心人大药房公司沪东中医坐堂医诊所店,地址：上海市浦东新区博兴路332号,电话：021-50351528,
上海康每乐药房有限公司国和路店,地址：上海市杨浦区国和路1072号-3-4,电话：021-65062856,
开心人大药房周浦店,地址：上海市浦东新区川周公路4082号,电话：021-68135078,
上海康每乐药房有限公司民星路店,地址：上海市杨浦区民星路50号B9-B10,电话：021-35100580,
开心人大药房迎博店,地址：上海市浦东新区三林镇大道站路88号,电话：021-61062378,
上海康每乐药房有限公司中原路店,地址：上海市杨浦区中原路87号-2(临),电话：021-65561795,
开心人大药房人民西路店,地址：上海市浦东新区人民西路249号,电话：021-68030942,
上海康每乐药房有限公司政和路店,地址：上海市杨浦区政和路903号,电话：021-35306774,
上海康每乐药房有限公司包头路店,地址：上海市杨浦区包头路172号,电话：021-65681670,
上海康每乐药房有限公司国伟路店,地址：上海市杨浦区国伟路154号,电话：021-65031655,
上海康每乐药房有限公司康桥路店,地址：上海市浦东新区康桥路1265号,电话：021-20901928,
上海康每乐药房有限公司殷行路店,地址：上海市杨浦区殷行路606-2号临,电话：021-65890868,
上海康每乐药房有限公司包头南路店,地址：上海市杨浦区包头南路111号,电话：021-65683727,
上海康每乐药房有限公司南团公路店,地址：上海市浦东新区康锦路58、60、62号,电话：021-20987029,
上海康每乐药房有限公司江湾体育场店,地址：上海市杨浦区市光路2号乙底层,电话：021-35311950,
上海医药嘉定大药房彬彬药房,地址：上海市嘉定区新城路街道澄浏中路2577号,电话：021-60713389,
上海医药嘉定大药房佳震药房,地址：上海市嘉定区新城路街道新成路157号 ,电话：021-39570716,
上海医药嘉定大药房华庄药房,地址：上海市嘉定区江桥镇爱特路128号3幢1室 ,电话：021-69119090,
上海医药嘉定大药房施曹药房,地址：上海市嘉定区徐行镇施曹路525号-1 ,电话：021-39973058,
上海医药嘉定大药房虬桥药房,地址：上海市嘉定工业区虬桥村200号122室,电话：021-39109790,
上海医药嘉定大药房润渡药房,地址：上海市嘉定区安亭镇黄渡春荣路790号,电话：021-39508169,
上海医药嘉定大药房和政药房,地址：上海市嘉定区马陆镇宝安公路3799弄A区43幢16号,电话：021-59153321,
上海医药嘉定大药房塔桥药房,地址：上海市嘉定区华亭镇嘉行公路2657号,电话：021-59951985,
上海医药嘉定大药房谢春药房,地址：上海市嘉定区安亭镇黄渡谢春路999号2幢8室,电话：021-69922250,
上海医药嘉定大药房慧兰药房,地址：上海市嘉定区外冈镇沪宜公路6088号A7,电话：021-59585091,
上海医药嘉定大药房金圈药房,地址：上海市嘉定区马陆镇立新路38-5号2幢-3,电话：021-39529196,
上海医药嘉定大药房黑鱼桥药房,地址：上海市嘉定工业区嘉唐公路552号-1-2,电话：021-39968998,
上海医药嘉定大药房泮桥药房,地址：上海市嘉定区马陆镇彭封路115号1幢,电话：021-59100189,
上海医药嘉定大药房联西店,地址：上海市嘉定区黄渡镇联西村联西路55号,电话：021-69595520,
上海医药嘉定大药房柏茸药房,地址：上海市嘉定工业区永盛路2601弄11-13号（一层）,电话：021-61480488,
上海医药嘉定大药房嘉源药房,地址：上海市嘉定南翔镇勤耕村思义路1769号20-22房,电话：021-59108371,
上海医药嘉定大药房健春药房,地址：上海市嘉定区马陆镇马陆村北马陆组101号,电话：021-39152011,
上海医药嘉定大药房嘉保药房,地址：上海市嘉定镇高台路1216号1幢1层D107-1,电话：021-59530598,
上海医药嘉定大药房祁昌店,地址：上海市嘉定区外冈镇祁昌路350弄1、3号,电话：021-59589984,
上海医药嘉定大药房翔黄店,地址：上海市嘉定区南翔镇翔黄公路94号-3室,电话：021-39927340,
上海医药嘉定大药房昌吉店,地址：上海市嘉定区安亭镇昌吉路256号,电话：021-59561375,
上海医药嘉定大药房嘉安药房,地址：上海市嘉定昌吉路204号（门房东侧）,电话：021-59566367,
上海医药嘉定大药房翔浏店,地址：上海市嘉定区翔浏路1199弄阳光苑三区184号,电话：021-69177644,
上海医药嘉定大药房娄塘店,地址：上海市嘉定区娄塘镇南新路293号,电话：021-59543206,
上海医药嘉定大药房樱花店,地址：上海市嘉定区马陆镇樱花街116弄35-36号,电话：021-59107565,
上海医药嘉定大药房群裕药房,地址：上海市嘉定群裕路8-2号,电话：021-69529320,
上海医药嘉定大药房发祥店,地址：上海市嘉定区江桥镇华江路335-12-13号,电话：021-59144850,
上海医药嘉定大药房大明药房,地址：上海市嘉定区温宿路2-4西二间,电话：021-39926257,
上海医药嘉定大药房宝钱店,地址：上海市嘉定区外钱公路1936号,电话：021-69932865,
上海医药嘉定大药房望新店,地址：上海市嘉定区外冈镇外钱公路885号,电话：021-59936634,
上海医药嘉定大药房嘉中药房,地址：上海市嘉定镇城北路1号（服务中心底楼）,电话：021-69987668,
上海医药嘉定大药房迎园店,地址：上海市嘉定区新成路街道迎园路596号,电话：021-59981442,
上海医药嘉定大药房科盛药店,地址：上海市嘉定区南翔镇蕴北公路1755弄40-6-7号,电话：021-39125965,
上海医药嘉定大药房泉曹店,地址：上海市嘉定徐行镇曹王前曹公路125号,电话：021-59949018,
上海医药嘉定大药房安亭店,地址：上海市嘉定区安亭镇昌吉路197号,电话：021-59577170,
上海医药嘉定大药房汇华新村店,地址：上海市嘉定区宝钱公路3689弄1号楼101-103室,电话：021-59962170,
上海医药嘉定大药房外冈店,地址：上海市嘉定区外冈镇北街13号,电话：021-59588880,
上海医药嘉定大药房瞿门药店,地址：上海市嘉定区外冈镇瞿门路299号4-5-6,电话：021-39106165,
上海医药嘉定大药房北管店,地址：上海市嘉定马陆镇北管蔡家组东侧288号,电话：021-69156869,
上海医药嘉定大药房江桥店,地址：上海市嘉定区江桥镇曹安路2069号-2,电话：021-59144864,
上海医药嘉定大药房华兰店,地址：上海市嘉定区塔城东路492弄3号102室,电话：021-59585615,
上海医药嘉定大药房新建药房,地址：上海市嘉定区徐行镇新建一路1668弄69号徐行农贸市场A-811号,电话：021-59552560,
上海医药嘉定大药房华江店,地址：上海市嘉定区江桥镇华江路21号,电话：021-59113603,
上海医药嘉定大药房华亭店,地址：上海市嘉定区华亭镇浏翔路7097号,电话：021-59971275,
上海医药嘉定大药房嘉翔药房,地址：上海市嘉定区南翔镇众仁路495号1幢1层102,电话：021-31274119,
上海医药嘉定大药房朱家桥店,地址：上海市嘉定工业区朱家桥镇老街6号,电话：021-59961085,
上海医药嘉定大药房方泰店,地址：上海市嘉定区安亭镇方泰方锦路65号,电话：021-59509645,
上海医药嘉定大药房封浜店,地址：上海市嘉定区封浜镇翔封路110号,电话：021-59133049,
上海医药嘉定大药房同颐庆堂药店,地址：上海市嘉定区嘉定镇南大街318--326号,电话：021-59531204,
上海医药嘉定大药房徐行店,地址：上海市嘉定区徐行镇澄浏公路463号1幢-1,电话：021-59555697,
上海医药嘉定大药房回春药房,地址：上海市嘉定区嘉定镇博乐路222号（门房北侧）,电话：021-59529902,
上海医药嘉定大药房福海路店,地址：上海市嘉定工业区福海路393-395号,电话：021-69167531,
上海医药嘉定大药房唐行店,地址：上海市嘉定区唐行镇嘉行公路3142号,电话：021-59951474,
上海医药嘉定大药房益民药房,地址：上海市嘉定区新成街道仓场路2768号,电话：021-59989125,
上海医药嘉定大药房黄渡店,地址：上海市嘉定区黄渡镇新黄路60号,电话：021-59595582,
上海医药嘉定大药房西大中西药店,地址：上海市嘉定区嘉定镇塔城路765号,电话：021-59529705,
上海医药嘉定大药房马陆店,地址：上海市嘉定区马陆镇沪宜公路2208号,电话：021-39150049,
上海医药嘉定大药房嘉西店,地址：上海市嘉定区嘉定镇西大街74-1号,电话：021-69910059,
上海医药嘉定大药房菊园店,地址：上海市嘉定区菊园新区平城路374号,电话：021-69902754,
上海益丰大药房殷高路店,地址：上海市宝山区殷高路65号,电话：021-65107992,
上海益丰大药房莲溪路店,地址：上海市浦东新区北蔡镇莲溪路87号,电话：021-50856986,
上海益丰大药房呼兰路店,地址：上海市宝山区呼兰路691-693号,电话：021-56753256,
上海益丰大药房龙江路店,地址：上海市杨浦区龙江路303号,电话：021-55900133,
上海益丰大药房子洲路店,地址：上海市普陀区子洲路105号,电话：021-52783886,
上海益丰大药房柳州路店,地址：上海市徐汇区柳州路588号,电话：021-64031622,
上海益丰大药房环城路店,地址：上海市松江区环城路555号,电话：021-67663352,
上海益丰大药房曹杨路店,地址：上海普陀区曹杨路926号，枫桥路口，枫桥地铁站1号出口,电话：021-52666100,
上海益丰大药房杨浦益丰七宝店,地址：上海市闽行区新镇路1048号,电话：021-54867994,
上海益丰大药房益丰景凤路店,地址：上海市闸北区景凤路359-361号,电话：021-63930283,
上海复美益星大药房连锁有限公司凌枫大药房,地址：上海市徐汇区小木桥路2号-1,电话：021-64031931,
上海复美益星大药房连锁有限公司惠德大药房,地址：上海市黄浦区黄家阙路127号,电话：021-33023335,
上海复美益星大药房连锁有限公司普育大药房,地址：上海市黄浦区普育西路48号,电话：021-63164041,
上海复美益星大药房连锁有限公司民惠佳大药房,地址：上海市青浦区新桥路1178号,电话：021-59223883,
上海复美益星大药房连锁有限公司双虎大药房,地址：上海市崇明县长兴乡江南大道2401号1号配套楼106室,电话：021-66900118,
上海复美益星大药房连锁有限青浦区复美连胜药房,地址：上海市青浦区外青松公路3640号,电话：021-59741796,
上海复美益星大药房连锁有限公司宝兴大药房,地址：上海市崇明县长兴镇先丰村398号,电话：021-66850952,
上海复美益星大药房连锁有限青浦区复美钰铭大药房,地址：上海市青浦区北青公路9398号10-11-12号,电话：021-60493616,
上海复美益星大药房连锁有限崇明县复美和谐大药房,地址：上海市崇明县长兴乡凤蓉路970号商铺,电话：021-66853205,
上海复美益星大药房连锁有限公司秀龙大药房,地址：上海市青浦区华新镇秀龙村纪秀路145号,电话：021-69798619,
上海复美益星大药房连锁有限崇明县复美明发大药房,地址：上海市崇明县长兴岛先丰村144号,电话：021-66858781,
上海复美益星大药房连锁有限公司镇中大药房,地址：上海市青浦区青浦赵巷镇镇中路518号-c01,电话：021-59750608,
