先臻药房对炉分店,地址：辽宁省鞍山市铁西区三十五中佳泰乐超市旁,电话：0412-6352877,
连丰大药房夏日店,地址：辽宁省大连市金州区拥政街道永安大街730号B13栋1单元1层1号,电话：无,
连丰大药房以林店,地址：辽宁省大连市金州区光明街道文润金宸29号1单元1层3号,电话：无,
连丰大药房金华店,地址：辽宁省大连市金州区友谊街道金华小区14＃楼1号,电话：无,
连丰大药房玉龙店,地址：辽宁省大连市高新园区凌奥街12--3号,电话：无,
连丰大药房云台店,地址：辽宁省大连市瓦房店市岗店办事处云台村王屯,电话：无,
连丰大药房台子店,地址：辽宁省大连市金州区杏树街道台子村,电话：无,
连丰大药房宏宇店,地址：辽宁省大连市金州区先进街道民馨小区6号楼1层2号,电话：无,
连丰大药房兴民店,地址：辽宁省大连市金州区友谊街道兴民村（31-139-6）,电话：无,
连丰大药房新晨店,地址：辽宁省大连市高新园区小平岛依海街76号公建,电话：无,
连丰大药房金州悦泰店,地址：辽宁省大连市金州区友谊街道悦泰祥里11号楼15、16号,电话：无,
连丰大药房宏顺店,地址：辽宁省大连市金州区站前街道御龙湾8栋4单元1层2号,电话：无,
连丰大药房马家店,地址：辽宁省大连市金州区友谊街道龙王庙村李家屯29号,电话：无,
连丰大药房大有恬园店,地址：辽宁省大连市高新技术产业园区王家村海苑花园4号楼22号（公建）,电话：无,
连丰大药房椿灵店,地址：辽宁省大连市金州区友谊街道古城丁区30-3号1-2层公建,电话：无,
连丰大药房丽洋店,地址：辽宁省大连市金州区拥政街道恒山路85号1单元1层1号,电话：0411-87762667,
连丰大药房宏展店,地址：辽宁省大连市金州区登沙河镇爱民族931-21-23,电话：无,
连丰大药房金润店,地址：辽宁省大连市金州区先进街道金润花园D区85号1-1-1公建,电话：无,
连丰大药房秀月店,地址：辽宁省大连市中山区秀月小区8号楼28-31轴公建,电话：无,
连丰大药房金海店,地址：辽宁省大连市金州区友谊街道御海园103-3号,电话：无,
连丰大药房海天店,地址：辽宁省大连市金州区光明街道五一路26-3号1层,电话：无,
连丰大药房宏通店,地址：辽宁省大连市金州区拥政街道舒林园10号楼2单元1号,电话：无,
连丰大药房新希望店,地址：辽宁省大连市金州区站前街道生辉第一城18幢1层4号,电话：0411-88021031,
连丰大药房长兴岛店,地址：辽宁省大连市长兴岛临港工业区金港湖畔小区17号楼1号,电话：无,
连丰大药房和平店,地址：辽宁省大连市金州区光明街道和平路58号,电话：无,
连丰大药房天鸿店,地址：辽宁省大连市金州区中长街道中长村,电话：无,
连丰大药房八里店,地址：辽宁省大连市金州区先进街道康居小区21＃楼7号,电话：无,
连丰大药房七里店,地址：辽宁省大连市金州区七里聚鑫小区12#4-1-2,电话：无,
连丰大药房鑫霖店,地址：辽宁省大连市金州区拥政街道永安大街973-6号1-3层,电话：0411-87840581,
连丰大药房鸿达店,地址：辽宁省大连市金州区先进街道凤祥路923-1号码1层1号,电话：无,
连丰大药房峰景西海岸店,地址：辽宁省大连市金州区光明街道国防路459号-3号,电话：无,
连丰大药房三里店,地址：辽宁省大连市金州区拥政街道新辉小区35号楼1层2号,电话：无,
连丰大药房平安店,地址：辽宁省大连市金州区拥政街道舒林园6-5号,电话：无,
连丰大药房松苑店,地址：辽宁省大连市金州区先进街道八里村松苑小区,电话：无,
连丰大药房吴家店,地址：辽宁省大连市金州区站前街道吴家村（42-900-18）,电话：0411-87774700,
连丰大药房景玉店,地址：辽宁省大连市金州区先进街道金润小区A区133号,电话：无,
连丰大药房南山店,地址：辽宁省大连市金州区站前街道金湾路298号,电话：无,
连丰大药房永生店,地址：辽宁省大连市金州区先进街道渤海街255号,电话：无,
连丰大药房生辉店,地址：辽宁省大连市金州区站前街道杨家村生辉第一城1-1号,电话：无,
连丰大药房憬园店,地址：辽宁省大连市金州区拥政街道憬园河畔14号-1,电话：无,
连丰大药房山城店,地址：辽宁省大连市经济技术开发区湾里街111-2号,电话：无,
连丰大药房金纺店,地址：辽宁省大连市金州区先进街道渤海街646号,电话：无,
连丰大药房裕民新苑店,地址：辽宁省大连市经济技术开发区裕民新苑41栋-2-1-3号,电话：0411-87932380,
连丰大药房龙滨路店,地址：辽宁省大连市经济技术开发区6号小区,电话：0411-66775108,
连丰大药房北山路店,地址：辽宁省大连市金州区友谊街道北山路84号,电话：无,
连丰大药房柳岸人家店,地址：辽宁省大连市经技术开发区兴城路39号-4,电话：无,
连丰大药房煜韬店,地址：辽宁省大连市经济技术开发区福泉路83号楼1单元1-2、1-3号,电话：无,
连丰大药房高城山店,地址：辽宁省大连市经济技术开发区高吉里32栋-7号,电话：无,
连丰大药房马家新村店,地址：辽宁省大连市金州区站前街道马家新村,电话：无,
连丰大药房淮河西路店,地址：辽宁省大连市经济技术开发区鹏运家园4幢10单元,电话：无,
连丰大药房金湾新城店,地址：辽宁省大连市经济技术开发区湾里街道宜宁里小区25-1-1-1,电话：无,
连丰大药房长兴店,地址：辽宁省大连市经济技术开发区高吉里16栋5号,电话：无,
连丰大药房刘家屯店,地址：辽宁省大连市金州区光明街道刘家屯351号,电话：无,
连丰大药房宏运店,地址：辽宁省大连市经济技术开发区得胜街道新胜园小区40号,电话：无,
连丰大药房宏城店,地址：辽宁省大连市经济技术开发区宏城金棕榈5栋梁10号,电话：0411-87535192,
连丰大药房新星店,地址：辽宁省大连市经济技术开发区东城园3-1号,电话：无,
连丰大药房金山苑店,地址：辽宁省大连市金州区光明街道金山苑小区28号楼,电话：0411-87840581,
连丰大药房金源名府店,地址：辽宁省大连市经济技术开发区易居园B1-2号,电话：无,
连丰大药房大连大学店,地址：辽宁省大连市经济技术开发区大连大学校苑闲庭内,电话：无,
连丰大药房财湾店,地址：辽宁省大连市经济技术开发区白石湾小区16栋1层2号,电话：无,
连丰大药房前石店,地址：辽宁省大连市金州区大魏家街道前石村前石灰窑屯147号,电话：无,
连丰大药房民生园店,地址：辽宁省大连市经济技术开发区民生园24号3-1-1,电话：无,
连丰大药房东城天下店,地址：辽宁省大连市经济技术开发区东城园87栋-8号,电话：无,
连丰大药房新日店,地址：辽宁省大连市经济技术开发区得胜街道新胜园小区40号,电话：0411-87840581,
连丰大药房北海店,地址：辽宁省大连市普湾新区石河街道北海村北海屯310号,电话：无,
连丰大药房环宇店,地址：辽宁省大连市经济技术开发区辽河西三路12-A,电话：无,
连丰大药房新港家园店,地址：辽宁省大连市经济技术开发区城润万家71＃-6号,电话：无,
连丰大药房新海店,地址：辽宁省大连市经济技术开发区馨家园3栋-车库7号,电话：无,
连丰大药房新月店,地址：辽宁省大连市经济技术开发区金源北里35栋梁8号,电话：无,
连丰大药房付家店,地址：辽宁省大连市金州区七顶山街道满族乡付家村,电话：无,
连丰大药房金源南里店,地址：辽宁省大连市经济技术开发区金源南里52栋4-1-1号,电话：无,
连丰大药房湾里店,地址：辽宁省大连市经济技术开发区湾里街道宜宁里小区25-1-1-1,电话：无,
连丰大药房百通店,地址：辽宁省大连市经济技术开发区海益小区57栋-23号,电话：无,
连丰大药房高安里店,地址：辽宁省大连市经济技术开发区高安里36栋梁3-1-2号,电话：0411-87561378,
连丰大药房怡海店,地址：辽宁省大连市经济技术开发区高新里8栋-7号,电话：无,
连丰大药房翠竹店,地址：辽宁省大连市经济技术开发区黄海西路59号,电话：0411-62786802,
大连丰大药房董家沟店,地址：辽宁省大连市经济技术开发区董家沟1-1号路北公建13号,电话：无,
连丰大药房远洋时代城店,地址：辽宁省大连市经济技术开发区时代城4-6号,电话：无,
连丰大药房新云店,地址：辽宁省大连市经济技术开发区澳东园12-1号,电话：0411-87840581,
连丰大药房鑫源店,地址：辽宁省大连市经济技术开发区景和园1-9号,电话：0411-39249306,
连丰大药房远洋店,地址：辽宁省大连市经济技术开发区时代城71-12号,电话：无,
连丰大药房万通店,地址：辽宁省大连市经济技术开发区润海园中区24栋-16号,电话：无,
连丰大药房佳和园店,地址：辽宁省大连市经济技术开发区黄海西路佳和园2-6公建,电话：无,
连丰大药房连云店,地址：辽宁省大连市经济技术开发区时代城54-2号,电话：无,
连丰大药房越康店,地址：辽宁省大连市甘井子区和美园20-8号,电话：无,
连丰大药房玉华店,地址：辽宁省大连市甘井子区大连湾街道红枫园21楼1单元1层4号、5号,电话：无,
连丰大药房久富店,地址：辽宁省大连市经济技术开发区小孤山西里11栋-3-1-1号,电话：无,
连丰大药房宏源店,地址：辽宁省大连市甘井子区卧龙东园4-3号,电话：0411-82290406,
连丰大药房文圣店,地址：辽宁省大连市经济技术开发区铁山西路14号,电话：无,
连丰大药房玉文店,地址：辽宁省大连市甘井子区泉水街道A4区34-7号,电话：无,
连丰大药房东城园店,地址：辽宁省大连市经济技术开发区东城天下小区20＃楼-8公建,电话：无,
连丰大药房境港店,地址：辽宁省大连市甘井子区营城子街道沙岗子新居46号19号公建,电话：无,
连丰大药房兰田街店,地址：辽宁省大连市甘井子区新达街1号3号公建,电话：0411-66321002,
连丰大药房张前路店,地址：辽宁省大连市甘井子区张前路531-8,电话：无,
连丰大药房新华店,地址：辽宁省大连市甘井子区绿洲园2号3号公建,电话：无,
连丰大药房棠梨店,地址：辽宁省大连市甘井子区红旗街道棠梨村3号楼1-9号公建,电话：无,
连丰大药房西沟村店,地址：辽宁省大连市甘井子区辛寨子镇小辛寨子街道西沟村,电话：无,
连丰大药房骏腾名苑店,地址：辽宁省大连市甘井子区泉水阳光译城C5-8号公建,电话：无,
连丰大药房华龙店,地址：辽宁省大连市甘井子区华龙南园10号3-1-3,电话：无,
连丰大药房爱民店,地址：辽宁省大连市甘井子区泉水E3-36-3号,电话：0411-62902564,
连丰大药房金家街店,地址：辽宁省大连市甘井子区金二街16-5号,电话：无,
连丰大药房天洋路店,地址：辽宁省大连市甘井子区天洋路111-19号公建,电话：无,
连丰大药房辽渔市场店,地址：辽宁省大连市甘井子区大连湾街道大连湾街114-13、14,电话：无,
连丰大药房北山大楼店,地址：辽宁省大连市甘井子区大连湾街道北山大楼30号楼,电话：无,
连丰大药房南关岭店,地址：辽宁省大连市甘井子区泉水D2区1号1单元1层3号,电话：无,
连丰大药房恒达店,地址：辽宁省大连市甘井子区棠梨东街38号1单元1层1号,电话：0411-84288823,
连丰大药房元宝山店,地址：辽宁省大连市甘井子区红旗街道吉祥街22号,电话：无,
连丰大药房玉泉街店,地址：辽宁省大连市甘井子区泉水街道美域盛景小区41-6号,电话：无,
连丰大药房柳树店,地址：辽宁省大连市甘井子区红旗街道柳树村,电话：无,
连丰大药房申通店,地址：辽宁省大连市甘井子区红旗中路141号楼28号车库,电话：无,
连丰大药房金秋店,地址：辽宁省大连市甘井子区大连湾街279-7号,电话：无,
连丰大药房盛新店,地址：辽宁省大连市甘井子区盛新园4＃1层公建,电话：无,
连丰大药房黄海东街店,地址：辽宁省大连市甘井子区大连湾东街16号楼,电话：无,
连丰大药房阳光家园店,地址：辽宁省大连市甘井子区泉水B5区2-9号,电话：无,
连丰大药房于屯店,地址：辽宁省大连市甘井子区大连湾街道大连湾村,电话：无,
连丰大药房前盐店,地址：辽宁省大连市甘井子区泉水N3区4-6号公建,电话：无,
连丰大药房苏家店,地址：辽宁省大连市甘井子区大连湾街道苏家村,电话：无,
连丰大药房七贤岭店,地址：辽宁省大连市甘井子区汇贤街22号公建,电话：无,
连丰大药房奥林园店,地址：辽宁省大连市甘井子区泉水K4区2号楼34号,电话：无,
连丰大药房天河路店,地址：辽宁省大连市甘井子区天河路A16-4-1-1号,电话：无,
连丰大药房汇达园店,地址：辽宁省大连市甘井子区汇达园60号,电话：无,
连丰大药房棉花岛店,地址：辽宁省大连市甘井子区大连湾街道棉花岛村,电话：无,
连丰大药房佳地店,地址：辽宁省大连市甘井子区佳地一期2号楼,电话：无,
连丰大药房名贵山庄店,地址：辽宁省大连市甘井子区中华西路7号公建,电话：无,
连丰大药房张家店,地址：辽宁省大连市甘井子区红旗西路100-21号,电话：0411-84284756,
连丰大药房枫丹丽城店,地址：辽宁省大连市甘井子区泉水D5区3-9号,电话：无,
连丰大药房湾家店,地址：辽宁省大连市甘井子区红旗西路30号1-4,电话：无,
连丰大药房沙岗子店,地址：辽宁省大连市甘井子区营城子街道沙岗子村,电话：无,
连丰大药房岔安店,地址：辽宁省大连市甘井子区红旗街道庙西沟一期18号1-1-1,电话：无,
连丰大药房新星绿城店,地址：辽宁省大连市甘井子区辛吉街58号7号公建,电话：无,
连丰大药房东北名苑店,地址：辽宁省大连市甘井子区西南路芳茗园5号3单元1层2号,电话：无,
连丰大药房彩霞店,地址：辽宁省大连市甘井子区彩霞园小区6号1-3,电话：无,
连丰大药房甘井子店,地址：辽宁省大连市甘井子区东山街82号1层3号公建,电话：无,
连丰大药房芳林园店,地址：辽宁省大连市甘井子区西南路芳林园5号1-1-1号公建,电话：无,
连丰大药房苑宁店,地址：辽宁省大连市甘井子区革镇堡镇后甘街924号26,电话：无,
连丰大药房红霞店,地址：辽宁省大连市甘井子区虹霞东路60号公建,电话：无,
连丰大药房中升店,地址：辽宁省大连市甘井子区辛虹园39-2号,电话：无,
连丰大药房碧海人家店,地址：辽宁省大连市甘井子区大连湾街524号1单元1层3号跃,电话：无,
连丰大药房康乐店,地址：辽宁省大连市甘井子区革镇堡镇中街17-1号,电话：无,
连丰大药房佳兆店,地址：辽宁省大连市甘井子区汇善园3号3单元1层6号,电话：无,
连丰大药房龙滕店,地址：辽宁省大连市甘井子区虹港路239-11号,电话：无,
连丰大药房惠泽店,地址：辽宁省大连市甘井子区惠泽北园38-库1号,电话：无,
连丰大药房绘春街店,地址：辽宁省大连市甘井子区绘春街61-63号,电话：无,
连丰大药房汇通店,地址：辽宁省大连市甘井子区革镇堡街道中革街1197-5号,电话：0411-86450200,
连丰大药房亿锋店,地址：辽宁省大连市甘井子区湾连园37号2-1-2号,电话：无,
连丰大药房美好店,地址：辽宁省大连市甘井子区柳树村欧洲小镇15号A3-1-1,电话：无,
连丰大药房半岛店,地址：辽宁省大连市甘井子区光明路西侧半岛泉水欣座12-2-101,电话：无,
连丰大药房杨柳店,地址：辽宁省大连市甘井子区杨柳街59-5号,电话：无,
连丰大药房运杰店,地址：辽宁省大连市甘井子区泉水H3区43号,电话：0411-65808507,
辽宁建联医药石文店,地址：辽宁省抚顺市石文镇,电话：024-54806877,
辽宁建联医药民健店,地址：辽宁省抚顺市城路东段14方块5号门市,电话：024-57490088,
辽宁建联医药望花新玛特店,地址：辽宁省抚顺市望花新玛特商场,电话：024-56492577,
辽宁建联医药慈溪店,地址：辽宁省抚顺市望花区雷锋路西段10号楼3--4门市,电话：024-56671000,
辽宁建联医药宁远店,地址：辽宁省抚顺市顺城区宁远街,电话：无,
辽宁建联医药星都店,地址：辽宁省抚顺市新宾镇星都世纪花园二期1号楼,电话：024-55081881,
辽宁建联医药体育场店,地址：辽宁省抚顺市顺城区新城路西段92号,电话：024-57106077,
辽宁建联医药柳河店,地址：辽宁省抚顺市顺城区柳河街,电话：无,
辽宁建联医药新华大街店,地址：辽宁省抚顺市新城路西段34号楼 辽宁省抚顺市新华大街7-1号楼4门市,电话：024-57679377,
辽宁建联医药李石店,地址：辽宁省抚顺市经济开发区彰武路阳光丽景9号,电话：024-56706877,
辽宁建联医药永陵店,地址：辽宁省抚顺市新宾永陵镇,电话：024-55168667,
辽宁建联医药建安店,地址：辽宁省抚顺市新城路西段34号楼,电话：024-57758377,
辽宁建联医药浙商新玛特店,地址：辽宁省抚顺市裕民路24号（浙商新玛特2号馆负一层）,电话：024-52723277,
辽宁建联医药喜来登店,地址：辽宁省抚顺市新宾喜来登商场,电话：024-55062887,
辽宁建联医药浙商店,地址：辽宁省抚顺市裕民路浙商,电话：024-52724117,
辽宁建联医药仁和堂店,地址：辽宁省抚顺市顺城区新城路8号,电话：024-57551777,
辽宁建联医药胜利店,地址：辽宁省抚顺市新宾门诊东,电话：024-55089625,
辽宁建联医药银河湾店,地址：辽宁省抚顺市河东银河湾小区,电话：024-57488377,
辽宁建联医药大什字店,地址：辽宁省抚顺市沈阳市大东区大什字街11号,电话：024-62437398,
辽宁建联医药拉古店,地址：辽宁省抚顺市县拉古村,电话：024-54024633,
辽宁建联医药建新店,地址：辽宁省抚顺市新抚区西三街17号,电话：024-52626277,
辽宁建联医药建通店,地址：辽宁省抚顺市福民路18号楼1单元东101,电话：024-52345177,
阜新市宇纲堂现代城店,地址：辽宁省阜新市海州区振兴路48号,电话：0418-6635151,
阜新市宇纲堂东山药店,地址：辽宁省阜新市太平区高德东山高东小区83号楼网2-网3,电话：0418-2437838,
阜新市宇纲堂县北环药店,地址：辽宁省阜新市阜蒙县繁荣大街北段金贵家园17号网点,电话：0418-8808555,
阜新市宇纲堂京都药店,地址：辽宁省阜新市阜蒙县文化路中段京都国际商城B20号,电话：0418-8311890,
阜新市宇纲堂西门药店,地址：辽宁省阜新市阜蒙县文化路西段（信通开发8#楼网点-118号）,电话：0418-8837666,
阜新市宇纲堂大润发店,地址：辽宁省阜新市细河区中华路63-7门,电话：0418-2992211,
阜新市宇纲堂米家药店,地址：辽宁省阜新市太平区米家农贸市场西开门南起1-3室13号、14网点,电话：0418-6094449,
阜新市宇纲堂县中心药店,地址：辽宁省阜新市阜蒙县繁荣中段（富荣委）,电话：0418-8808666,
阜新市宇纲堂金玛药店,地址：辽宁省阜新市海州区迎宾大街2号,电话：0418-2162000,
阜新市宇纲堂海泰药店,地址：辽宁省阜新市太平区煤城路海泰小区1号楼东侧1-2号,电话：0418-6642727,
阜新市宇纲堂矿工街药店,地址：辽宁省阜新市海州区西山路67号,电话：0418-6666108,
阜新市宇纲堂同和药店,地址：辽宁省阜新市新邱区新发路18-34门、18-35门,电话：0418-2658556,
阜新市宇纲堂和平路店,地址：辽宁省阜新市海州区经纬路2-2号,电话：0418-2874999,
阜新市宇纲堂盛誉药店,地址：辽宁省阜新市细河区通达路16-2-22,电话：0418-3994666,
阜新市宇纲堂西铁药店,地址：辽宁省阜新市海州区创业路79-1号,电话：0418-6642166,
阜新市宇纲堂西山药店,地址：辽宁省阜新市海州区海州街91-101,电话：0418-2874888,
阜新市宇纲堂北新药店,地址：辽宁省阜新市细河区民族街甲201号1门,电话：0418-2610688,
阜新市宇纲堂医康药店,地址：辽宁省阜新市海州区育红路36号,电话：0418-6583755,
阜新市宇纲堂正达药房,地址：辽宁省阜新市细河区常青街14-2门,电话：0418-2992211,
阜新市宇纲堂长营药店,地址：辽宁省阜新市新邱区长营子大街33-2门,电话：0418-2675755,
阜新市宇纲堂太平市场店,地址：辽宁省阜新市太平区住宅退管站,电话：0418-2460505,
阜新市宇纲堂常青药店,地址：辽宁省阜新市细河区海州街68-2号,电话：0418-3331500,
阜新市宇纲堂恒业药店,地址：辽宁省阜新市海州区解放大街圆梦园小区16号网点,电话：0418-2833955,
阜新市宇纲堂康宁药店,地址：辽宁省阜新市太平区红纬路82-20网,电话：0418-2459800,
阜新市宇纲堂键康城药店,地址：辽宁省阜新市海州区新华路117号,电话：0418-3368282,
阜新市宇纲堂新特药店,地址：辽宁省阜新市海州区新华街120号（体育场东北角网点）,电话：0418-3357272,
阜新市宇纲堂人民街药店,地址：辽宁省阜新市海州区人民大街23号,电话：0418-2837000,
阜新市宇纲堂康是福药店,地址：辽宁省阜新市海州区四合路金都4号,电话：0418-3383508,
阜新市宇纲堂新邱药店,地址：辽宁省阜新市新邱区新邱大街377-2-8门,电话：0418-2696661,
阜新市宇纲堂金曦药店,地址：辽宁省阜新市细河区八一路39-1门,电话：0418-6585278,
阜新市宇纲堂站前药店,地址：辽宁省阜新市海州区创业路45-109、110室,电话：0418-2576780,
阜新市宇纲堂平西药店,地址：辽宁省阜新市海州区大成街7-7-2号,电话：0418-2590099,
阜新市宇纲堂平中药店,地址：辽宁省阜新市海州煤城路中段,电话：0418-2550099,
阜新市宇纲堂高德药店,地址：辽宁省阜新市太平区煤城路东段,电话：0418-2498000,
阜新市宇纲堂八一路药店,地址：辽宁省阜新市海州区八一路75号,电话：0418-2902700,
阜新市宇纲堂城南药店,地址：辽宁省阜新市太平区海新路239号城南西区103、104、105号,电话：0418-2413333,
辽宁建联医药连锁有限公司阳光家园店,地址：辽宁省抚顺市顺城区新城路东段银川小区3号楼2号,电话：024-57891010,
辽宁建联医药连锁有限公司新城店,地址：辽宁省抚顺市顺城区新城路新华转盘西,电话：024-57814007,
辽宁建联医药连锁有限公司凤翔店,地址：辽宁省抚顺市新抚区凤翔路20号楼102门市,电话：024-52423677,
辽宁建联医药连锁有限公司南阳店,地址：辽宁省抚顺市新抚区南阳广场,电话：024-52662377,
辽宁建联医药连锁有限公司小南店,地址：辽宁省抚顺市小南街14号14甲,电话：024-62469300,
辽宁建联医药连锁有限公司南波湾店,地址：辽宁省抚顺市临江路东段32号,电话：024-57881877,
辽宁建联医药连锁有限公司建顺店,地址：辽宁省抚顺市顺城区临江路东段10号楼南101号,电话：024-57553777,
辽宁建联医药连锁有限公司东三路店,地址：辽宁省抚顺市新抚区站前街10号楼120号门市,电话：024-52603177,
辽宁建联医药连锁有限公司商海店,地址：辽宁省抚顺市新抚区东四路7-5号楼（抚顺市商海大厦地下一层,电话：024-52627677,
辽宁建联医药连锁有限公司河东店,地址：辽宁省抚顺市顺城区新城路东段2号楼2号门市,电话：024-57516977,
辽宁建联医药连锁有限公司东四路中医院,地址：辽宁省抚顺市东四路10-1号,电话：024-52601877,
辽宁建联医药连锁有限公司高阳店,地址：辽宁省抚顺市万客隆,电话：024-56200177,
辽宁建联医药连锁有限公司大自然店,地址：辽宁省抚顺市顺城区城东新区十方块,电话：024-57609577,
辽宁建联医药连锁有限公司万新店,地址：辽宁省抚顺市东洲区万新街兴隆一楼,电话：024-54786177,
辽宁建联医药连锁有限公司仁和店,地址：辽宁省抚顺市顺城区新城路西段抚矿胜开发46号楼C4--5号,电话：024-57709111,
