吉林省中东健康万家医药连锁有限公司开工店,地址：吉林省长春市朝阳区开运街开工胡同内，南街超市边,电话：0431-85943411,
长春同康药业连锁同康大药房,地址：吉林省长春市南关区东四马路516号,电话：0431-81619361,
德仁堂大药房驼靖线店,地址：吉林省通化市柳河县驼靖线附近,电话：0435-7577885,
德仁堂药店双朝线店,地址：吉林省吉林市磐石市双朝线附近,电话：无,
德仁堂大药房Y137店,地址：吉林省吉林市舒兰市Y137附近,电话：无,
吉林大药房四川街连锁店,地址：吉林省吉林市昌邑区四川街格林印象b2号楼1号网点,电话：无,
吉林大药房鲁辉国际城连锁店,地址：吉林省长春市二道区鲁辉国际成第5区荷兰小镇30栋106室,电话：无,
通榆益寿堂医药乌兰花分店,地址：吉林省白城市通榆县乌兰花镇红光村,电话：0436-4630007,
通榆益寿堂医药瞻榆分店,地址：吉林省白城市通榆县瞻榆镇二区二段（瞻榆二院500米处）,电话：0436-5001088,
通榆益寿堂医药富强分店,地址：吉林省白城市通榆县开通镇向海路（国储库门市2号门）,电话：无,
通榆益寿堂医药众康分店,地址：吉林省白城市通榆县开通镇建设街开通路四号门市楼,电话：0436-5002200,
通榆益寿堂医药兴东分店,地址：吉林省白城市通榆县开通镇繁荣区富强路兴东小区4号门市楼,电话：无,
通榆益寿堂医药合心分店,地址：吉林省白城市通榆县开通镇建设街长青路棚户区二期门市楼,电话：无,
通榆益寿堂医药开发区分店,地址：吉林省白城市通榆县开通镇新发街育才路（碧水东城12号楼8号门市楼）,电话：无,
通榆益寿堂医药小城花园分店,地址：吉林省白城市通榆县开通镇建设街育才路（小诚花园四期门市南数四门）,电话：0436-5001212,
通榆益寿堂医药兴隆分店,地址：吉林省白城市通榆县隆山镇长胜村（兴隆山法院住宅楼）,电话：0436-4778672,
通榆益寿堂医药长白分店,地址：吉林省白城市通榆县开通镇水利局楼下,电话：0436-5004499,
通榆益寿堂医药长青分店,地址：吉林省白城市通榆县开通镇长青（县政府北侧）,电话：0436-5002255,
通榆益寿堂医药为民分店,地址：吉林省白城市通榆县开通镇长白路东开通大路北（商业城东）,电话：无,
通榆益寿堂医药开通分店,地址：吉林省白城市通榆县开通镇开通大路（县医院对过）,电话：0436-5001133,
白山康达大药房有限公司江源五店,地址：吉林省白山市江源区明珠小区西门南侧副楼（孙家堡子一委07）101门市,电话：0439-3829979,
通榆益寿堂医药育才分店,地址：吉林省白城市通榆县开通镇兴华街育才路（老法院家属楼一楼）,电话：0436-5002266,
通榆益寿堂医药百草分店,地址：吉林省白城市通榆县开通镇繁荣街文明路（原农机三厂）,电话：0436-5001099,
白山康达大药房有限公司三十店,地址：吉林省白山市浑江区新华路18-8号（一楼南侧）,电话：0439-3247988,
白山康达大药房有限公司江源四店,地址：吉林省白山市江源区三岔镇森工街42号楼1层104号,电话：0439-3826882,
通榆益寿堂医药站前分店,地址：吉林省白城市通榆县开通镇开通大路（火车站东200米）,电话：0436-5002211,
白山康达大药房有限公司二十八店,地址：吉林省白山市浑江区红旗街祥达富苑12号楼101门市,电话：0439-3262121,
白山康达大药房有限公司江源三店,地址：吉林省白山市江源区福泰路滨江花园小区117号,电话：0439-3826501,
白山康达大药房有限公司二十六店,地址：吉林省白山市浑江区浑江大街343-8号（国检站对面）,电话：0439-3365143,
通榆益寿堂医药宏都分店,地址：吉林省白城市通榆县开通镇繁荣街文明路（原碧野剧场门市楼）,电话：无,
白山康达大药房有限公司江源二店,地址：吉林省白山市江源区三岔镇兴民小区4栋门市,电话：0439-3821828,
白山康达大药房有限公司二十五店,地址：吉林省白山市浑江区红旗街132-133号通江小区1号楼101号门市,电话：0439-3291858,
白山康达大药房有限公司江源一店,地址：吉林省白山市江源区金鼎盛世购物广场一楼,电话：0439-3670038,
白山康达大药房有限公司二十四店,地址：吉林省白山市浑江区浑江大街向阳花园D座109门市,电话：0439-3239858,
白山康达大药房有限公司二十三店,地址：吉林省白山市浑江区民中街怡滨花园9号楼106门市,电话：0439-3221881,
白山康达大药房有限公司十五店,地址：吉林省白山市浑江区健民街时代商厦122号门市,电话：0439-7928098,
白山康达大药房有限公司二十二店,地址：吉林省白山市浑江区长白山大街水岸家城小区2号楼第12门市（开发区）,电话：0439-3286792,
白山康达大药房有限公司十七店,地址：吉林省白山市通沟街中天馨苑B2区4号楼108室,电话：0439-3252699,
白山康达大药房有限公司七店,地址：吉林省白山市浑江区文良街南岭佳园小区16号楼104门市,电话：0439-8640109,
白山康达大药房有限公司十二店,地址：吉林省白山市浑江区东兴街铁路小区通房48号1单元101号（雷锋小学对面）,电话：0439-3338010,
白山康达大药房有限公司六店,地址：吉林省白山市浑江区向阳路向阳佳园3号楼1营业室,电话：0439-3268388,
白山康达大药房有限公司二十一店,地址：吉林省白山市浑江区达山路向阳佳园三期31号楼3单元102室,电话：0439-3235812,
白山康达大药房有限公司十一店,地址：吉林省白山市浑江区红旗街12-5号（惠民小区）,电话：0439-3370556,
白山康达大药房有限公司二十店,地址：吉林省白山市银河小区13号楼1号门市,电话：0439-3332086,
白山康达大药房有限公司五店,地址：吉林省白山市浑江区通江路22号（市医院对面）,电话：0439-3257811,
白山康达大药房有限公司四店,地址：吉林省白山市浑江区江北怡园小区3号楼1层9号,电话：0439-3253828,
白山康达大药房有限公司十店,地址：吉林省白山市浑江区长白山大街启明路春江花园A区商铺A营业房118号（开发区）,电话：0439-7929089,
白山康达大药房有限公司十九店,地址：吉林省白山市浑江区浑江大街金河小区71-1号门市,电话：0439-3548877,
白山康达大药房有限公司三店,地址：吉林省白山市浑江区江北新区3号楼3单元103室（开发区）,电话：0439-3289889,
白山康达大药房有限公司九店,地址：吉林省白山市浑江区星泰花园10号楼裙房107门市,电话：0439-3316881,
白山康达大药房有限公司十八店,地址：吉林省白山市浑江区东岗街金河花园8号楼6单元102门市,电话：0439-3398799,
白山康达大药房有限公司二店,地址：吉林省白山市浑江区建设街78——1号（601道口）,电话：0439-3229118,
白山康达大药房有限公司十六店,地址：吉林省白山市浑江区健民街怡滨小区6号楼1单元102门市,电话：0439-7927666,
白山康达大药房有限公司总店,地址：吉林省白山市浑江区浑江大街122-8号(一楼西侧）,电话：0439-3248098,
白山康达大药房有限公司八店,地址：吉林省白山市浑江区红旗街86号创业大厦107室,电话：0439-5112769,
吉林大药房玉山路连锁店,地址：吉林省吉林市丰满区玉山路7号楼3号网点,电话：无,
吉林大药房通化新站连锁店,地址：吉林省通化新站路\/2-4号,电话：0435-6103088,
吉林大药房浦东新城连锁店,地址：吉林省长春市经济开发区浦东路与仙台大街交汇105号,电话：无,
吉林大药房通化火车站连锁店,地址：吉林省通化市建设大街957号,电话：0435-6115596,
吉林大药房德惠和平连锁店,地址：吉林省长春市德惠市胜利办事处钢化委十二区1156栋1层1号,电话：无,
吉林大药房吉地华府连锁店,地址：吉林省长春市德惠市和惠小区A区3号楼12门,电话：无,
吉林大药房人民街连锁店,地址：吉林省长春市德惠市建设街办事处红星委十委316栋1-2层18号,电话：无,
吉林大药房飞跃路连锁店,地址：吉林省长春市汽车产业开发区飞跃路612栋,电话：无,
吉林大药房德惠新惠路连锁店,地址：吉林省长春市德惠市新惠路与西光明街锦绣世家小区Ａ１－２区１－２号楼２４门,电话：无,
吉林大药房迎新街连锁店,地址：吉林省长春市德惠市锦绣世家小区第15号楼23门（市医院对过）,电话：无,
吉林大药房南部新城连锁店,地址：吉林省长春市南关区南部新城小区E区1栋105号1楼,电话：无,
吉林大药房白城市药业有限责任公司华一家园连锁店,地址：吉林省白城市幸福大街56号楼一层东侧北1-5号,电话：0436-3366121,
吉林大药房东华路连锁店,地址：吉林省通化市二道江区东华路1-1号,电话：0435-6132411,
吉林大药房通化兴昌路连锁店,地址：吉林省通化市东昌区兴昌路新胜胡同17号,电话：0435-6171660,
吉林大药房三亚路连锁店,地址：吉林省吉林市高新区厦门街44#-（1-2）层-12号网点,电话：无,
吉林大药房建昌街连锁店,地址：吉林省长春市朝阳区湖西路67-1239号,电话：0431-85075355,
吉林大药房蓝天连锁店,地址：吉林省长春市德惠市西五道街苏宁电器对面,电话：无,
吉林大药房通化光明路连锁店,地址：吉林省通化市东昌区200-935\/116-411号,电话：无,
吉林大药房民族路连锁店,地址：吉林省长春市德惠市民族路3号,电话：无,
吉林大药房解放东路连锁店,地址：吉林省吉林市昌邑区解放东路446号青津综合楼4号网点,电话：无,
吉林大药房杏花苑连锁店,地址：吉林省长春市二道区亚泰花园杏花苑1号21-26栋,电话：0431-85075352,
吉林大药房通化新华大街连锁店,地址：吉林省通化市新华大街201号,电话：0435-6139399,
吉林大药房尚东城连锁店,地址：吉林省长春市德惠市港丰润泽苑小区第6号楼101室,电话：无,
吉林大药房建设路连锁店,地址：吉林省长春市德惠市阳光三区富裕花园九号楼五门市,电话：无,
吉林大药房通化新区连锁店,地址：吉林省通化市东昌区沿江路888号,电话：0435-3500119,
吉林大药房通化大街连锁店,地址：吉林省通化市二道江区东通化大街265-030\/630-140,电话：0435-6139116,
吉林大药房福民小区连锁店,地址：吉林省四平市铁东区七马路街长虹委福民小区1#楼3单元,电话：无,
吉林大药房凯虹市场连锁店,地址：吉林省四平市铁西区英雄街棉纺委科院小区B#楼38幢号一层,电话：0434-3672800,
吉林大药房四平九马路连锁店,地址：吉林省四平市铁东区四马路接10委1组51幢1层,电话：无,
吉林大药房南湖大路连锁店,地址：吉林省四平市铁西区站前街新开委南湖花园小区1号楼27\/486幢105号1层,电话：无,
吉林大药房四平师大连锁店,地址：吉林省四平市阳光兴海花园1-4号楼42\/424B幢114号,电话：无,
吉林大药房健康路连锁店,地址：吉林省延边延吉市局子街1558-12号,电话：0433-2528709,
吉林大药房仁兴街连锁店,地址：吉林省四平市铁西区仁兴街纬南委二组62栋1层,电话：无,
吉林大药房敖东大街连锁店,地址：吉林省延边敦化市民主街富民委26组,电话：0433-6440078,
吉林大药房锦绣华府连锁店,地址：吉林省延边敦化市民主街锦绣华府大厦104号,电话：0433-6487205,
吉林大药房爱丹路连锁店,地址：吉林省延边延吉市爱丹路296-1号1单元101室,电话：0433-4315551,
吉林大药房翰章大街连锁店,地址：吉林省延边敦化市翰章大街新华书店旁,电话：0433-6210510,
吉林大药房恒达小区连锁店,地址：吉林省延边延吉市延吉街1106号4号楼1008室,电话：0433-4363322,
吉林大药房延吉市进学街连锁店,地址：吉林省延边延吉市进学街555号,电话：无,
吉林大药房吉光路连锁店,地址：吉林省辽源市富源花园第一幢110号、210号,电话：0437-3335581,
吉林大药房药业股份有限公司农安世纪华城连锁店,地址：吉林省长春市农安县农安镇文昌路世纪华城二期1栋6门商铺,电话：无,
吉林大药房局子街连锁店,地址：吉林省延边延吉市延弘大厦1楼4号,电话：0433-5013088,
吉林大药房药业股份有限公司农安站前连锁店,地址：吉林省长春市农安县农安镇农安大路客运站东侧,电话：无,
吉林大药房丰寿路连锁店,地址：吉林省辽源市我的家园一期2号楼101 102室,电话：0437-3611172,
吉林大药房康平街连锁店,地址：吉林省长春市西安大路1192号,电话：0431-85075149,
吉林大药房万宝连锁店,地址：吉林省长春市朝阳区西朝阳路10号（万宝胡同与西朝阳路交汇）,电话：无,
吉林大药房药业股份有限公司农安一品华城连锁店,地址：吉林省长春市农安县农安镇兴隆路一品华城29幢6号门,电话：无,
吉林大药房慈光路连锁店,地址：吉林省长春市朝阳区安达街36号一楼（安达街与慈光路交汇东北方向）,电话：无,
吉林大药房光明街连锁店,地址：吉林省延边延吉市光明街1166号,电话：0433-5088639,
吉林大药房同建小区连锁店,地址：吉林省长春市朝阳区建政路773号,电话：0431-81912682,
吉林大药房康宁大街连锁店,地址：吉林省辽源市龙山区东方新城第AC座116号（东方家居广场楼下）,电话：0437-6667778,
吉林大药房平治连锁店,地址：吉林省南关区至善路平治小区2号楼106室,电话：0431-85070155,
吉林大药房东吉大路连锁店,地址：吉林省辽源市东艺春城10号楼101号,电话：0437-6155007,
吉林大药房建政路连锁店,地址：吉林省长春市朝阳区建政路22号6号、7号房,电话：0431-81912662,
吉林大药房东朝阳路连锁店,地址：吉林省长春市朝阳区同志街626号,电话：0431-85075918,
吉林大药房东瑞春城连锁店,地址：吉林省辽源市东吉大路东艺春城2号楼102室,电话：0437-3290630,
吉林大药房药业股份有限公司农安富苑连锁店,地址：吉林省长春市农安县农安镇宝塔街富苑小区综合楼10栋22号门市,电话：无,
吉林大药房长白山路连锁店,地址：吉林省延边延吉市长白山路威远城小区第91栋1008号,电话：0433-8347776,
吉林大药房龙山大街店,地址：吉林省辽源市龙山区东吉街吉光路50号,电话：0437-3250279,
吉林大药房福寿路连锁店,地址：吉林省辽源市南康街09-016号门市,电话：0437-3231518,
吉林大药房卫星广场连锁店,地址：吉林省长春市朝阳区人民大街207号卫星广场民航花园小区1-1号楼105号 ,电话：0431-8507620,
吉林大药房中金名筑连锁店,地址：吉林省长春市南关区亚泰大街3766号中金花园1\/2幢108号,电话：0431-81851311,
吉林大药房辽源辽河半岛连锁店,地址：吉林省辽源市龙山区辽河半岛小区二期E4103、104号,电话：0437-3728931,
吉林大药房药业股份有限公司农安黄龙连锁店,地址：吉林省长春市农安县农安镇黄龙路城建局综合门市房,电话：无,
吉林大药房药业股份有限公司建民街连锁店,地址：吉林省长春市我的家园38号楼,电话：0431-85075147,
吉林大药房药业股份有限公司钻石名城,地址：吉林省辽源市钻石名城小区12号楼1单元106号,电话：无,
吉林大药房西民主大街连锁店,地址：吉林省长春市朝阳区西民主大街21号,电话：无,
吉林大药房卫星路连锁店,地址：吉林省长春市南关区幸福街21号,电话：0431-85076022,
吉林大药房永安桥连锁店,地址：吉林省长春市南关区大经路151号,电话：0431-85075942,
吉林大药房白城市药业有限责任公司丰元连锁店,地址：吉林省白城市锅炉厂胡同4号楼一层门市东一户,电话：0436-3339968,
吉林大药房中海水岸春城连锁店,地址：吉林省长春市净月开发区临河街7477号107号房,电话：0431-81912591,
吉林大药房白城市药业有限责任公司瑞光街连锁店,地址：吉林省白城市洮安西路10号楼16-2号,电话：0436-3521722,
吉林大药房警官公寓连锁店,地址：吉林省长春市南关区人民大街西街以西南环城路以北省公安厅警官公寓第2幢1-102-,电话：0431-82912638,
吉林大药房白城市药业有限责任公司光明街街连锁店,地址：吉林省白城市海明西路三二一医院东200米处,电话：0436-3339688,
吉林大药房白城市药业有限责任公司福源小区连锁店,地址：吉林省白城市青年街福源小区7号楼第3户门市,电话：0436-3222553,
吉林大药房白城市药业有限责任公司万兴家园连锁店,地址：吉林省白城市长庆北街31-1号,电话：0436-3369981,
吉林大药房长春飞虹路连锁店,地址：吉林省长春市中信城浅山17栋商铺107,电话：0431-81890858,
吉林大药房中海御峰连锁店,地址：吉林省长春市南关区彩霞中海御峰DG120号,电话：0431-81890856,
吉林大药房白城市药业有限责任公司鹤城丽都连锁店,地址：吉林省白城市新华西大路,电话：0436-3516690,
吉林大药房药业股份有限公司白城洮安路连锁店,地址：吉林省白城市和平街26号,电话：无,
吉林大药房钻石礼都连锁店,地址：吉林省长春市宽城区天光路钻石礼都第B10幢2单元106号房,电话：无,
吉林大药房园丁花园店,地址：吉林省长春市境遇开发区88-78,电话：0431-85076325,
吉林大药房万科惠斯勒连锁店,地址：吉林省长春万科惠斯勒小镇M-6幢商业1单元103室,电话：无,
吉林大药房繁荣路连锁店,地址：吉林省长春市南关区繁荣路万龙原色3号楼105室,电话：无,
吉林大药房白城市药业有限责任公司新华广场连锁店,地址：吉林省白城市青年南大街29-1号,电话：无,
吉林大药房扶贫市场连锁店,地址：吉林省长春市宽城区长新街满客隆超市入口左侧及客服中心左侧,电话：无,
吉林大药房银湖柳苑连锁店,地址：吉林省长春市净月开发区逯瓦房商住区临河街柳苑小区3号楼129号,电话：无,
吉林大药房白城市药业有限责任公司明仁南街连锁店,地址：吉林省白城市明仁南街34号广益大楼一楼南侧,电话：0436-3222980,
吉林大药房白城市药业有限责任公司店,地址：吉林省白城市辽北路53号楼A区北数3户,电话：无,
吉林大药房温馨花园连锁店,地址：吉林省长春市宽城区天光路31号温馨花园5栋133号,电话：0431-81912615,
吉林大药房药业股份有限责任公司白城和平连锁店,地址：吉林省白城市和平街2-6号,电话：无,
吉林大药房豪园连锁店,地址：吉林省长春市卫星路1号豪园小区第3栋108号门市,电话：0431-81912585,
吉林大药房长春明珠连锁店,地址：吉林省长春市南关区人民大街198号长春明珠D3C1,电话：无,
吉林大药房凤凰城连锁店,地址：吉林省长春市彩云街瀚邦凤凰城第18幢南侧起第二间门市,电话：无,
吉林大药房药业股份有限责任公司白城海明路连锁店,地址：吉林省白城市海明东路69号,电话：无,
吉林大药房铁北二路连锁店,地址：吉林省长春市宽城区兴业街4号,电话：无,
吉林大药房中海国际连锁店,地址：吉林省长春市南关区临河街中海国际社区小区H3栋106号,电话：无,
吉林大药房富奥连锁店,地址：吉林省长春净月开发区富奥花园A9栋105门市,电话：0431-85075141,
吉林大药房白城市药业有限责任公司青年街街连锁店,地址：吉林省白城市青年南大街9号,电话：无,
吉林大药房美印雅苑连锁店,地址：吉林省长春市美印雅苑A区第五栋1单元103号,电话：0431-85076321,
吉林大药房药业股份有限公司白城文化东路连锁店,地址：吉林省白城市文化东路15号楼15号,电话：无,
吉林大药房中信城连锁店,地址：吉林省长春市净月区中信城枫丹白露1期25栋103室,电话：无,
吉林大药房白城市药业有限责任公司金辉小区连锁店,地址：吉林省白城市长庆街29号,电话：0436-3525117,
吉林大药房药业股份有限责任公司白城保胜路连锁店,地址：吉林省白城市幸福花园13栋保胜路143号二单元,电话：无,
吉林大药房药业股份有限责任公司白城中兴西路连锁店,地址：吉林省白城市中兴西大路7号9-7号,电话：无,
吉林大药房上和小区连锁店,地址：吉林省长春市双阳区上和城小区34栋109室,电话：无,
吉林大药房白城市药业有限责任公司塞哥维亚连锁店,地址：吉林省白城市中兴西大路57号-1,电话：0436-3511068,
吉林大药房绿地中央公馆连锁店,地址：吉林省长春市南关区南湖中街以东、南环路以南幸福街新里.中央公馆c-5幢3-106,电话：0431-81912573,
吉林大药房森杨路连锁店,地址：吉林省长春市净月开发区净月大街以东、空地以西净月5号公馆B幢102号,电话：无,
吉林大药房地铁名典连锁店,地址：吉林省长春市地铁名典小区D2-1-102,电话：0431-81178251,
吉林大药房凯旋花园连锁店,地址：吉林省长春市宽城区凯旋路48号19Ｂ幢一层１１９号房,电话：无,
吉林大药房药业股份有限公司白城玫瑰苑连锁店,地址：吉林省白城市洮北区麻纺路附9号楼东6户,电话：无,
吉林大药房复地哥德堡连锁店,地址：吉林省长春市净月开发区博学路复地康桥5#108室,电话：无,
吉林大药房药业股份有限责任公司白城长庆街连锁店,地址：吉林省白城市长庆街43号,电话：无,
吉林大药房兴业街连锁店,地址：吉林省长春市宽城区兴业街62号,电话：0431-85076311,
吉林大药房药业股份有限责任公司白城幸福大街连锁店,地址：吉林省白城市幸福南大街23栋1-2层23-5号,电话：无,
吉林大药房一匡街连锁店,地址：吉林省长春市宽城区康泰花园二期C3栋106号,电话：0431-85076317,
吉林大药房亚泰小区连锁店,地址：吉林省长春市双阳区亚泰水泥小区一号楼门市,电话：0431-81912552,
吉林大药房育新连锁店,地址：吉林省长春市宽城区黑水路7区3栋1-6轴,电话：0431-82868477,
吉林大药房长山路连锁店,地址：吉林省长春市双阳区长山路东13-1号（石油公司楼下108号）,电话：0431-85075125,
吉林大药房城市嘉园连锁店,地址：吉林省长春市双阳区鼎鹿广场以东沿河小区C区第7幢1单元169号,电话：0431-81890823,
吉林大药房常欣家园连锁店,地址：吉林省长春市宽城区常欣回迁小区1区20栋101号,电话：0431-81890818,
吉林大药房双阳上东小区连锁店,地址：吉林省长春市双阳区东双阳大街领袖阳城3幢0单元114号,电话：无,
吉林大药房滨河路连锁店,地址：吉林省长春市双阳区建龙上东国际4栋106室,电话：无,
吉林大药房华山路连锁店,地址：吉林省吉林市丰满区华山路780号吉林医药学院附属医院住宅楼01幢0001012室,电话：无,
吉林大药房双阳大街连锁店,地址：吉林省长春市双阳天力时尚百货A11号,电话：无,
吉林大药房烽火街连锁店,地址：吉林省吉林市丰满区西环江路送配电住宅小区9号楼3号网点,电话：无,
吉林大药房华大城连锁店,地址：吉林省长春市宽城区小南街华大城第9幢3单元107号房,电话：0431-81890825,
吉林大药房华大天朗连锁店,地址：吉林省长春市宽城区小南街华大天朗B-4\/5\/6-64幢2单元108号,电话：0431-81912632,
吉林大药房保利林语连锁店,地址：吉林省长春市南关区前进大街以西，保利前进大街小区F1幢107室,电话：0431-81890831,
吉林大药房兴隆街连锁店,地址：吉林省吉林市高新区前锋新村h号楼3号网点,电话：无,
吉林大药房上台花园连锁店,地址：吉林省长春市宽城区上台花园B4栋1单元109,电话：0431-81912602,
