保定万宝堂第十五分店,地址：河北省保定市高阳县建新路,电话：无,
保定万宝堂第十九分店,地址：河北省保定市易县迎宾路7号,电话：无,
保定万宝堂乐仁堂新市场药店,地址：河北省保定市新市场街171号（新市场小学南侧）,电话：0312-3025373,
保定万宝堂第四十五分店,地址：河北省保定市易县塘湖镇塘湖村,电话：0312-8821396,
保定万宝堂乐仁堂药店,地址：河北省保定市乐凯北大街2335号（秀兰城市美居底商）,电话：0312-3288129,
保定万宝堂盛兴药店,地址：河北省保定市盛兴西路保百宏泰超市内三楼,电话：0312-3373289,
保定万宝堂第四十六分店,地址：河北省保定市天威路12号（时代商厦天威超市内）,电话：0312-3266092,
保定万宝堂风帆小区大药房,地址：河北省保定市乐凯南大街风帆一区3号楼4号底商,电话：0312-3289830,
保定万宝堂第六十五分店,地址：河北省保定市保定市合作路210号（惠友购物广场内),电话：无,
保定万宝堂乐天大药房,地址：河北省保定市乐凯南大街696号（惠友超市内）,电话：0312-3233515,
保定万宝堂第八十七分店,地址：河北省保定市东方家园东B-02号,电话：0312-5990132,
保定万宝堂第八十一分店,地址：河北省保定市保定市南市区天威东路（原环城南路12号）,电话：0312-8926120,
保定万宝堂福仁药店,地址：河北省保定市乐凯南大街269号（保百购物家园内） ,电话：0312-3268299,
保定万宝堂第四十四分店,地址：河北省保定市长城北大街261号,电话：0312-5023908,
保定万宝堂乐仁堂建生药房,地址：河北省保定市裕华西路489号,电话：0312-2036287,
保定万宝堂阳光小区大药房,地址：河北省保定市阳光北大街阳光小区门口（时代商厦阳光超市内）,电话：0312-3330260,
保定万宝堂乐仁堂西苑药店,地址：河北省保定市瑞祥大街891号,电话：0312-3180295,
保定万宝堂裕华药店,地址：河北省保定市天鹅路花倾城1号楼1号底商,电话：0312-3121980,
保定万宝堂领秀世纪城大药房,地址：河北省保定市长城北大街领秀世纪城底商,电话：0312-5085352,
保定万宝堂南万宝堂药店,地址：河北省保定市莲池南大街560号（裕华小商品城南行150米路西）,电话：0312-2023559,
保定万宝堂新一代小区大药房,地址：河北省保定市恒祥北大街新一代C区东门底商,电话：0312-3152531,
保定万宝堂万宝堂药店,地址：河北省保定市西大街258号,电话：0312-5931569,
保定万宝堂万寿店,地址：河北省保定市七一东路126号（省监狱宿舍底商）,电话：0312-5931565,
保定万宝堂保北药店,地址：河北省保定市朝阳大街18号（时代商厦内）,电话：0312-5955561,
保定万宝堂长寿堂药店,地址：河北省保定市前卫路99号（前卫路小学北侧）,电话：0312-5931596,
保定万宝堂同仁药店,地址：河北省保定市朝阳北大街916号（保百购物广场超市内）,电话：0312-3183257,
保定万宝堂第十二分店,地址：河北省保定市恒祥南大街281号,电话：无,
玉田县同德堂金旺店,地址：河北省唐山市玉田县金旺玉城附一号楼三单元,电话：0315-6156855,
玉田县同德堂车站店,地址：河北省唐山市玉田县城西大街52号,电话：无,
玉田县同德堂刘典屯店,地址：河北省唐山市玉田县玉田镇郭屯乡刘典屯村,电话：无,
玉田县同德堂李家团城店,地址：河北省唐山市玉田县唐自头镇李家团城村,电话：无,
玉田县同德堂大和平店,地址：河北省唐山市玉田县鸦鸿桥镇大和平集市道东门市,电话：无,
玉田县同德堂板桥店,地址：河北省唐山市玉田县杨家板桥镇于桥村,电话：无,
玉田县同德堂舒畅华府店,地址：河北省唐山市玉田县舒畅华府G02-11号门市,电话：无,
玉田县同德堂蛮子营店,地址：河北省唐山市玉田县杨家套乡蛮子营村,电话：无,
玉田县同德堂郭桥店,地址：河北省唐山市玉田县郭家桥乡刘家桥村,电话：无,
玉田县同德堂台张庄店,地址：河北省唐山市玉田县虹桥镇台张庄村,电话：无,
玉田县同德堂窝洛沽永富街店,地址：河北省唐山市玉田县窝洛沽永富北一街3号小肖庄村,电话：无,
玉田县同德堂上坎店,地址：河北省唐山市玉田县玉田镇海子村,电话：0315-7765223,
玉田县同德堂彩亭桥店,地址：河北省唐山市玉田县彩亭桥镇河东村,电话：无,
玉田县同德堂繁荣路店,地址：河北省唐山市玉田县兴旺小区西三层5号,电话：无,
玉田县同德堂林南仓店,地址：河北省唐山市玉田县林南仓镇东唐玉宝公路北侧,电话：0315-6585188,
玉田县同德堂马头山店,地址：河北省唐山市玉田县城关镇马头山乡西马头山村,电话：无,
玉田县同德堂孤树店,地址：河北省唐山市玉田县孤树镇西尚庄村,电话：无,
玉田县同德堂亮甲店店,地址：河北省唐山市玉田县亮甲店镇亮甲店村,电话：无,
玉田县同德堂鸦鸿桥河东店,地址：河北省唐山市玉田县鸦鸿桥镇河东村东昌盛大街39号,电话：无,
玉田县同德堂窝洛沽店,地址：河北省唐山市玉田县窝洛沽镇沽一会村,电话：无,
玉田县同德堂唐自头店,地址：河北省唐山市玉田县唐自头镇西三乐台村,电话：0315-6383578,
玉田县同德堂潮云铺店,地址：河北省唐山市玉田县窝洛沽镇潮云铺村潮顺东街21号,电话：无,
玉田县同德堂后枣林庄店,地址：河北省唐山市玉田县孤树镇后枣林庄,电话：0315-6483616,
玉田县同德堂华都圣帝店,地址：河北省唐山市玉田县华都圣帝22楼1号门市楼,电话：无,
玉田县同德堂王铁铺店,地址：河北省唐山市玉田县石臼窝镇王铁铺村,电话：无,
玉田县同德堂南关店,地址：河北省唐山市玉田县玉田镇南关大街西侧,电话：0315-6138779,
玉田县同德堂华景时代店,地址：河北省唐山市玉田县华景时代30号商住楼,电话：无,
玉田县同德堂东关店,地址：河北省唐山市玉田县玉田镇东关村,电话：无,
玉田县同德堂昌盛店,地址：河北省唐山市玉田县昌盛小区二期门市26号,电话：0315-6151655,
玉田县同德堂二郎庙店,地址：河北省唐山市玉田县二郎庙市场三区1、2号1楼,电话：0315-6118156,
玉田县同德堂爱民店,地址：河北省唐山市玉田县钰鼎春园1号公寓01门市,电话：0315-6101655,
玉田县同德堂帅府店,地址：河北省唐山市玉田县帅府盛典小区20楼4、5号门市,电话：0315-5050333,
玉田县同德堂总店,地址：河北省唐山市玉田县东城路9号,电话：无,
清河县利康五十六店,地址：河北省邢台市清河县三羊东街北侧、沈儒林社区,电话：0319-8188557,
清河县利康五十二店,地址：河北省邢台市清河县浦江街南侧,电话：0319-8188557,
清河县利康三十九店,地址：河北省邢台市清河县小裴村清渡公路南侧,电话：0319-8188557,
清河县利康三十六店,地址：河北省邢台市清河县段沙土集贸街,电话：0319-8188557,
清河县利康四十一店,地址：河北省邢台市清河县邢清公路北侧,电话：0319-8188557,
清河县利康三十八店,地址：河北省邢台市清河县太行北路西侧,电话：0319-8188557,
清河县利康三十五店,地址：河北省邢台市亿力豪庭（锦江街路北）,电话：0319-8188557,
清河县利康三十一店,地址：河北省邢台市太行路（家乐园南行300米路东）,电话：0319-8188557,
清河县利康十九店,地址：河北省邢台市王官庄镇，聚仙阁饭店对过,电话：0319-8188557,
清河县利康三十二店,地址：河北省邢台市油坊镇六中对面,电话：0319-8188557,
清河县利康三十店,地址：河北省邢台市大成花园北西侧,电话：0319-8188557,
清河县利康十八店,地址：河北省邢台市武松西街北侧，一中对过,电话：0319-8188557,
清河县利康二十九店,地址：河北省邢台市清河县武松中街南侧,电话：0319-8188557,
清河县利康七店,地址：河北省邢台市清河县太行南路西侧,电话：0319-8188557,
唐人医药南湖仁泰里店,地址：河北省唐山市唐山路南区南湖金地仁泰里H西9商铺,电话：0315-2339155,
清河县利康二十八店,地址：河北省邢台市清河县谢炉镇308国道南侧，,电话：0319-8188557,
清河县利康十六店,地址：河北省邢台市清河县张宽乡集贸街西侧,电话：0319-8188557,
清河县利康六店,地址：河北省邢台市清河县坝营镇商业街,电话：0319-8188557,
唐人医药翔云道祥云西里店,地址：河北省唐山市祥云西里龙云楼102楼2号,电话：0315-2043661,
清河县利康二十六店,地址：河北省邢台市清河县赵店乡集贸街西侧,电话：0319-8188557,
清河县利康十五店,地址：河北省邢台市清河县泰山路西侧,电话：0319-8188557,
清河县利康五店,地址：河北省邢台市清河县湘江街北侧,电话：0319-8188557,
唐人医药南新西道燕京店,地址：河北省唐山市路南区南新西道燕京小学底商2号1层,电话：0315-2314289,
清河县利康二十五店,地址：河北省邢台市杜林乡清临公路西侧,电话：0319-8188557,
清河县利康十二店,地址：河北省邢台市泰山北路宇联名都楼下，,电话：0319-8188557,
清河县利康四店,地址：河北省邢台市清河县三羊东街南侧,电话：0319-8188557,
唐人医药商场公司古冶林西新林道店,地址：河北省唐山市新林道42-3与42-4号,电话：0315-2689213,
清河县利康二十二店,地址：河北省邢台市马屯邢临公路北侧,电话：0319-8188557,
清河县利康三店,地址：河北省邢台市清河县长江街南侧,电话：0319-8188557,
唐人医药南湖兴泰里店,地址：河北省唐山市南湖金地兴泰里F西14号,电话：0315-2338589,
清河县利康二十一店,地址：河北省邢台市孙洼集贸街西侧,电话：0319-8188557,
清河县利康十一店,地址：河北省邢台市黄金庄集贸街北侧，,电话：0319-8188557,
清河县利康二店,地址：河北省邢台市清河县太行路东侧,电话：0319-8188557,
唐人医药鹭港店,地址：河北省唐山市路北区兴源道鹭港小区301S09号,电话：0315-2309442,
清河县利康二十店,地址：河北省邢台市小屯中学西100米路北,电话：0319-8188557,
清河县利康九店,地址：河北省邢台市孙庄中学南100米路东,电话：0319-8188557,
清河县利康一店,地址：河北省邢台市清河县运河大街36号,电话：0319-8188557,
唐人医药唐古路税钢店,地址：河北省唐山市开平区唐古路立交桥北头东侧平房1排北三间,电话：0315-3715638,
清河县利康八店,地址：河北省邢台市杨二庄小李庄村南,电话：0319-8188557,
唐人医药开平东港龙城店,地址：河北省唐山市开平区越河镇新华东道北侧东港龙城1#地2#商业,电话：0315-2308612,
唐人医药商场丰南区新华路瑞祥店,地址：河北省唐山市丰南区丰南镇新华里新华路162号,电话：0315-8298773,
唐人医药曹妃甸建设大街通北店,地址：河北省唐山市曹妃甸区唐海镇建设大街175号,电话：0315-8752871,
唐人医药玉田察院街店,地址：河北省唐山市玉田县察院街钰鼎春园104楼2号门市,电话：0315-6121959,
唐人医药滦南南大街店,地址：河北省唐山市滦南县倴城镇南大街南侧,电话：0315-5698112,
唐人医药西山道冯大里店,地址：河北省唐山市冯大里111号楼,电话：0315-2210201,
唐人医药迁安永顺街店,地址：河北省唐山市迁安市永顺街东段南段奥特永顺嘉园1楼14号,电话：0315-8625605,
唐人医药城西店,地址：河北省唐山市丰润区曹雪芹西道448号,电话：0315-5155219,
唐人医药建华街店,地址：河北省唐山市遵化市其他东环区建华街3号,电话：0315-6628619,
唐人医药双新里店,地址：河北省唐山市南新西道附19号,电话：0315-2210368,
唐人医药荣华道店,地址：河北省唐山市路北区荣华道45,电话：0315-3262512,
唐人医药滦南中大街店,地址：河北省唐山市滦南县倴城镇二贸商城3号,电话：0315-4121103,
唐人医药西山道银安店,地址：河北省唐山市西山道95号,电话：0315-2571036,
唐人医药国防西道店,地址：河北省唐山市路南区国防道43号,电话：0315-2210339,
唐人医药文北店,地址：河北省唐山市路南区盛泰庄园沟东北街1-1号,电话：0315-6323745,
唐人医药华岩路大润发店,地址：河北省唐山市华岩路9号商店街2层大润发（电梯出口）,电话：0315-2040189,
唐人医药南购店,地址：河北省唐山市路南区西电路42-1号唐山南湖购物广场1层,电话：0315-6312012,
唐人医药唐人钓鱼台店,地址：河北省唐山市体育馆道1号,电话：0315-6326150,
唐人医药西山道店,地址：河北省唐山市西山道147号,电话：0315-2311537,
唐人医药龙泽北路店,地址：河北省唐山市路北区龙泽北路234号,电话：0315-5902828,
唐人医药八方店,地址：河北省唐山市路北区北新西道19号,电话：0315-5901758,
唐人医药韩城东店,地址：河北省唐山市丰润区韩城镇后城村1排3号,电话：0315-3317444,
唐人医药建设路店,地址：河北省唐山市建设路128号远洋城,电话：0315-2790422,
唐人医药公园道店,地址：河北省唐山市公园道36号,电话：0315-3130017,
唐人医药丰润南关店,地址：河北省唐山市曹雪芹西道152号（联通大厦西侧）,电话：0315-5155276,
唐人医药西山口店,地址：河北省唐山市新华东道63号,电话：0315-2829388,
唐人医药遵化文礼大街店,地址：河北省唐山市遵化市其他文礼大街38号,电话：0315-6615295,
唐人医药兴源道店,地址：河北省唐山市路北区兴源道4号,电话：0315-2210336,
唐人医药广场店,地址：河北省唐山市康庄街与文化路交汇处（工人医院南行200米\/广播电视局对面）,电话：0315-2827779,
唐人医药复兴店,地址：河北省唐山市复兴路211号,电话：0315-2865460,
唐人医药凤凰店,地址：河北省唐山市晨源里凤凰世嘉210,电话：0315-2255061,
唐人医药天元店,地址：河北省唐山市路北区兴源道173号,电话：0315-2210295,
唐人医药唐山永红桥店,地址：河北省唐山市车站路35号,电话：0315-2816890,
唐人医药鹭港南店,地址：河北省唐山市路北区兴源道与光明路交口西100米,电话：无,
唐人医药通华街店,地址：河北省唐山市遵化市人民医院西行200米道北,电话：0315-6615265,
唐人医药惠民园店,地址：河北省唐山市路南区惠民园小区106楼底商,电话：400-707-0111,
唐人医药裕兴楼店,地址：河北省唐山市路北区华岩北路与裕丰街交口北行100米,电话：400-707-0111,
唐人医药福乐园店,地址：河北省唐山市西电路72-1,电话：0315-2567750,
唐人医药定福里店,地址：河北省唐山市南新西道福乐园小区北门西100米,电话：0315-2210260,
唐人医药吉祥路店,地址：河北省唐山市冀东汽车交易市场斜对面,电话：400-707-0111,
唐人医药燕京小区店,地址：河北省唐山市南新道燕京小区,电话：0315-6934460,
唐人医药国防道店,地址：河北省唐山市国防西道铁一局二处东行100米道北,电话：0315-2210352,
唐人医药光明西里店,地址：河北省唐山市西山道51号小区市场北,电话：0315-2315013,
唐人医药东站店,地址：河北省唐山市唐古路2号汽车东站内,电话：0315-2869511,
唐人医药燕山路店,地址：河北省唐山市迁安市燕山大路与小三元街交口,电话：0315-7669362,
唐人医药小山店,地址：河北省唐山市小山服装批发市场斜对面,电话：0315-2866574,
唐人医药冯大里店,地址：河北省唐山市西山道与友谊路交叉口西行100米,电话：0315-2210210,
唐人医药德源里店,地址：河北省唐山市友谊路德源里小区底商（唐人医药德源里店）,电话：0315-2210291,
唐人医药文化路店,地址：河北省唐山市遵化市文化北路金缘购物中心70-72号,电话：0315-6629695,
唐人医药国防医院店,地址：河北省唐山市二五五医院门口,电话：0315-2257330,
唐人医药兴源道二店,地址：河北省唐山市兴源道与友谊路交叉口（天元大厦）,电话：0315-2210316,
唐人医药凤凰园店,地址：河北省唐山市路北区兴源道与卫国路交口（凤凰园公寓门口）,电话：0315-2256672,
唐人医药祥和里店,地址：河北省唐山市路北区华岩北路37号（建行南侧，唐人诊所旁）,电话：0315-2866479,
唐人医药远洋城店,地址：河北省唐山市远洋城正门东侧,电话：0315-2790421,
唐人医药凤祥园店,地址：河北省唐山市龙泽北路234号，凤祥园东门南行20米道西,电话：0315-2040816,
唐人医药缸窑路店,地址：河北省唐山市缸窑路东窑市场对面,电话：0315-3262508,
唐人医药钓鱼台店,地址：河北省唐山市钓鱼台华润万家对面,电话：0135-6326150,
唐人医药北新西道店,地址：河北省唐山市路北区北新西道阳光大厦正门附近,电话：0315-2210273,
唐人医药新华道店,地址：河北省唐山市路新华西道23号,电话：0315-2813479,
唐人医药凤凰世嘉店,地址：河北省唐山市路北区凤凰世嘉210楼-14号（光明路与兴源道交叉口东行100米),电话：0315-2317069,
唐人医药复兴路店,地址：河北省唐山市路南区复兴路与吉祥路交叉口,电话：0315-2862079,
廊坊市健生堂三十九分店,地址：河北省廊坊市广阳区乔治花园底商,电话：0316-5943239,
廊坊市健生堂三十八分店,地址：河北省廊坊市广阳区光明东道305-1,电话：0316-2801921,
廊坊市健生堂二十七分店,地址：河北省廊坊市富士康西住宅区，二层门帘东南角,电话：0316-2383009,
廊坊市健生堂三十六分店,地址：河北省廊坊市管道局医院南门对面,电话：0316-2055218,
廊坊市健生堂二十六分店,地址：河北省廊坊市广阳道天都东侧路北,电话：0316-2388526,
廊坊市健生堂三十五分店,地址：河北省廊坊市广阳区银河大街二中底商（长征医院对面）,电话：0316-2607556,
廊坊市健生堂二十五分店,地址：河北省廊坊市南苑小区门脸房(永华明珠对面),电话：0316-2385310,
廊坊市健生堂三十三分店,地址：河北省廊坊市安次区爱民西道广炎热力底商,电话：0316-5893665,
廊坊市健生堂二十三分店,地址：河北省廊坊市爱民西道君兰苑小区,电话：0316-2381512,
廊坊市健生堂三十二分店,地址：河北省廊坊市安次区安居花园门口,电话：0316-2605480,
廊坊市健生堂二十二分店,地址：河北省廊坊市廊坊市安次区常青小区9号门店,电话：0316-2683175,
廊坊市健生堂三十一分店,地址：河北省廊坊市盛德花园小区北门底商,电话：0316-5895298,
廊坊市健生堂二十一分店,地址：河北省廊坊市新开路与新源道交处紫金华府5-110,电话：0316-8020136,
廊坊市健生堂三十分店,地址：河北省廊坊市第八大街万和上品小区底商,电话：0316-2607339,
廊坊市健生堂十九分店,地址：河北省廊坊市建设路三中北侧,电话：0316-2018652,
廊坊市健生堂二十九分店,地址：河北省廊坊市安次区阳光逸墅北门,电话：0316-2602913,
廊坊市健生堂十八分店,地址：河北省廊坊市解放道与东安路（原东外环）交口锦瑞尚城小区西门,电话：0316-2393588,
廊坊市健生堂二十八分店,地址：河北省廊坊市广阳道燕青酒店对面,电话：0316-2605026,
廊坊市健生堂十六分店,地址：河北省廊坊市金光道与迎春路交口西南角，二小北150米,电话：0316-2119325,
廊坊市健生堂十五分店,地址：河北省廊坊市西小区爱民西道，文苑小区正门口东侧（炮校对面）,电话：0316-2651231,
廊坊市健生堂十三分店,地址：河北省廊坊市光明西道安次医院东侧汇源名居东门,电话：0316-2766625,
廊坊市健生堂十二分店,地址：河北省廊坊市广阳道西道，锦绣花苑北门西侧（月亭饭店对面）,电话：0316-5217508,
廊坊市健生堂二分店,地址：河北省廊坊市爱民道广阳妇幼对面（巨无霸海鲜城东50米）,电话：0316-2130505,
廊坊市健生堂十分店,地址：河北省廊坊市光明东道与新开路交口东行100米路北,电话：0316-2022583,
廊坊市健生堂一分店,地址：河北省廊坊市新华路京客隆对面,电话：0316-2017969,
廊坊市健生堂九分店,地址：河北省廊坊市广阳区幸福城底商14单101,电话：0316-2602027,
廊坊市健生堂八分店,地址：河北省廊坊市新源道，金桥小区南门西行50米,电话：0316-2321063,
廊坊市健生堂七分店,地址：河北省廊坊市光明东道与东外环交口，许各庄村北口。,电话：0316-2023060,
廊坊市健生堂六分店,地址：河北省廊坊市解放道农行对面，（小廊坊派出所西侧，火车站东300米）,电话：0316-2026398,
廊坊市健生堂五分店,地址：河北省廊坊市和平路与解放道交口东南角,电话：0316-2052281,
廊坊市健生堂四分店,地址：河北省廊坊市常甫路钰海嘉苑南广场东侧,电话：0316-2682869,
廊坊市健生堂三分店,地址：河北省廊坊市解放道东安商城东北角。,电话：0316-2023220,
承德百姓平价大药房庆友药店,地址：河北省承德市平泉县榆树林子镇榆树林子村,电话：无,
承德百姓平价大药房胡宪文药店,地址：河北省承德市平泉县台头山乡何杖子村,电话：无,
承德百姓平价大药房兴祥药店,地址：河北省承德市平泉县台头山乡台头山村,电话：无,
承德百姓平价大药房桲椤树药店,地址：河北省承德市平泉县郭杖子乡金杖子村,电话：无,
承德百姓平价大药房明远药店,地址：河北省承德市平泉县平房乡太平梁村,电话：无,
承德百姓平价大药房大庙药店,地址：河北省承德市平泉县杨树岭镇大庙村,电话：无,
承德百姓平价大药房付家店药店,地址：河北省承德市平泉县榆树林子镇付家店村,电话：无,
承德百姓平价大药房下店药店,地址：河北省承德市平泉县南五十家子乡下店村,电话：无,
承德百姓平价大药房君乐堂药店,地址：河北省承德市平泉县小寺沟镇黑山口村,电话：无,
承德百姓平价大药房旭升药店,地址：河北省承德市平泉县南五十家子乡杨杖子村,电话：无,
承德百姓平价大药房镇海大药店,地址：河北省承德市平泉县杨树岭镇,电话：无,
承德百姓平价大药房连锁有限公司南园药店,地址：河北省承德市双桥区南营子大街文化大厦一楼（群众电影院旁）,电话：0314-2061797,
承德百姓平价大药房春旭药店,地址：河北省承德市平泉县党坝镇党坝村,电话：无,
承德百姓平价大药房文成大药店,地址：河北省承德市平泉县小四沟镇,电话：无,
承德百姓平价大药房连锁有限公司西大街店,地址：河北省承德市双桥区西大街路北28号市图书馆西侧,电话：0314-2026667,
保定倍健医药零售连锁蠡县利民店,地址：河北省保定市蠡县维明路与蠡吾大街路口东北角（老电力局十字路口东行500米）,电话：0312-6575333,
承德百姓平价大药房春民药店,地址：河北省承德市平泉县榆树林子镇榆树林子村,电话：无,
承德百姓平价大药房成海大药店,地址：河北省承德市平泉县南五十家镇,电话：无,
承德百姓平价大药房连锁有限公司老一百店,地址：河北省承德市双桥区南营子大街百货大楼一楼,电话：0314-2108687,
保定倍健医药零售连锁蠡县电力局店,地址：河北省保定市蠡县蠡吾南大街北侧（老电力局南行200米路西）,电话：0312-6226888,
承德百姓平价大药房爱民药店,地址：河北省承德市平泉县党坝镇大吉口村,电话：无,
承德百姓平价大药房千草大药房,地址：河北省承德市平泉县南五十家镇南五十家村,电话：无,
承德百姓平价大药房连锁有限公司铁路药店,地址：河北省承德市双桥区铁路中居宅36号楼底商中居宅站点,电话：0314-2080589,
保定倍健医药零售连锁蠡县诚信店,地址：河北省保定市蠡县范蠡西路诚信商厦东入口一楼专厅,电话：0312-6221555,
承德百姓平价大药房益生药店,地址：河北省承德市承德县甲山镇黄杖子村,电话：无,
承德百姓平价大药房连锁有限公司北路药店,地址：河北省承德市平泉县市场北路东3号,电话：无,
保定倍健医药零售连锁蠡县南庄店,地址：河北省保定市蠡县南庄镇南庄中学（南庄村委会与中学中间门脸）,电话：0312-6041989,
保定倍健医药零售连锁蠡县政府街店,地址：河北省保定市蠡县范蠡东路范蠡大观小区东行100米路北,电话：0312-6220289,
承德百姓平价大药房金生堂药店,地址：河北省承德市承德县甲山镇黄杖子村,电话：无,
承德百姓平价大药房连锁有限公司北五十家子药店,地址：河北省承德市平泉县蒙和乌苏乡北五十家村,电话：无,
保定倍健医药零售连锁蠡县留史店,地址：河北省保定市蠡县留史镇孟尝大街孟尝大厦底商,电话：0312-6333523,
保定倍健医药零售连锁蠡县中医院店,地址：河北省保定市蠡县蠡吾南大街中医院对面,电话：0312-6218558,
承德百姓平价大药房宝龙药店,地址：河北省承德市平泉县卧龙镇,电话：无,
承德百姓平价大药房连锁有限公司开发区店,地址：河北省承德市开发区种子路凤凰御都小区1栋101底商,电话：0314-5708177,
保定倍健医药零售连锁蠡县辛兴店,地址：河北省保定市蠡县辛兴镇辛万路,电话：0312-6567977,
保定倍健医药零售连锁蠡县康宁店,地址：河北省保定市蠡县蠡吴南大街南关路口北行100米路东,电话：0312-6215493,
承德百姓平价大药房玉芝药店,地址：河北省承德市平泉县平泉镇,电话：无,
承德百姓平价大药房连锁有限公司民康大药房,地址：河北省承德市双桥区武烈路与都统府大街交叉路口西北角承德大润发超市南门入口,电话：0314-2026827,
