平凉市新生药业十七分店,地址：甘肃省平凉市平凉市风景嘉苑A区2号商铺,电话：0933-8598017,
平凉市新生药业七分店,地址：甘肃省平凉市平凉市崆峒区定北路新城花园5号,电话：0933-8230117,
平凉市新生药业十六分店,地址：甘肃省平凉市平凉崆峒区广成花园D区裙楼2期19号营业房,电话：0933-8299966,
平凉市新生药业六分店,地址：甘肃省平凉市平凉市西景园27号楼一楼西端,电话：0933-8235676,
平凉市新生药业二十一分店,地址：甘肃省平凉市灵台县世纪花园C区8号楼10号营业房,电话：0933-3604918,
平凉市新生药业十五分店,地址：甘肃省平凉市崆峒区红峰厂高层楼下2号门面,电话：0933-8293045,
平凉市新生药业五分店,地址：甘肃省平凉市平凉市崆峒区石家巷3号,电话：0933-8230965,
平凉市新生药业十三分店,地址：甘肃省平凉市泾川县中山街,电话：0933-3326713,
平凉市新生药业四分店,地址：甘肃省平凉市平凉市广成路平凉供电公司客服中心隔壁,电话：0933-8228791,
平凉市新生药业三分店,地址：甘肃省平凉市平凉市崆峒东路143号 ,电话：无,
肃南县众康药店,地址：甘肃省张掖市肃南县明花乡开发区,电话：无,
肃南县仁盛堂大药房,地址：甘肃省张掖市肃南县明花路203号,电话：无,
肃南裕固族自治县仁盛大药房,地址：甘肃省张掖市肃南县白银路40号,电话：无,
甘肃河西三州武威医药连锁公司大靖药店,地址：甘肃省武威市古浪县大靖镇,电话：0935-5581503,
甘肃河西三州武威医药连锁公司窑沟药店,地址：甘肃省武威市凉州区金羊镇窑沟村,电话：无,
甘肃河西三州武威医药连锁公司中沙药店,地址：甘肃省武威市凉州区清源镇中沙村,电话：无,
甘肃河西三州武威医药连锁公司东镇药店,地址：甘肃省武威市民勤县东镇红英村,电话：无,
甘肃河西三州武威医药连锁公司张义药店,地址：甘肃省武威市凉州区永昌镇张义村,电话：无,
甘肃河西三州武威医药连锁公司北河医商药店,地址：甘肃省武威市凉州区怀安乡北河村,电话：无,
甘肃河西三州武威医药连锁公司洞洞庄药店,地址：甘肃省武威市凉州区校尉乡东河村,电话：无,
甘肃河西三州武威医药连锁公司昌宁药店,地址：甘肃省武威市民勤县昌宁乡昌宁村,电话：无,
甘肃河西三州武威医药连锁公司第十八医药商店,地址：甘肃省武威市凉州区火车站广场,电话：0935-6102891,
甘肃河西三州武威医药连锁公司红星医药商店,地址：甘肃省武威市凉州区红星乡接脑村,电话：0935-2351021,
甘肃河西三州武威医药连锁公司第十六医药商店,地址：甘肃省武威市凉州区南关东路48号,电话：0935-2214964,
甘肃河西三州武威医药连锁公司金塔药店,地址：甘肃省武威市凉州区金塔乡金塔村,电话：无,
甘肃河西三州武威医药连锁公司第十五医药商店,地址：甘肃省武威市凉州区胜利新村靶场北口,电话：0935-2225935,
甘肃河西三州武威医药连锁公司和平药店,地址：甘肃省武威市凉州区和平乡大众村,电话：无,
甘肃河西三州武威医药连锁公司第十三医药商店,地址：甘肃省武威市凉州区西环路7号,电话：0935-6979393,
甘肃河西三州武威医药连锁公司建设药店,地址：甘肃省武威市凉州区怀安乡,电话：无,
甘肃河西三州武威医药连锁公司第十二医药商店,地址：甘肃省武威市凉州区东大街复兴路,电话：0935-6960651,
甘肃河西三州武威医药连锁公司柏树药店,地址：甘肃省武威市凉州区柏树乡柏树村,电话：无,
甘肃河西三州武威医药连锁公司第十一医药商店,地址：甘肃省武威市凉州区丰乐镇,电话：0935-6218037,
甘肃河西三州武威医药连锁公司第十医药商店,地址：甘肃省武威市凉州区北关什字,电话：0935-2214144,
甘肃河西三州武威医药连锁公司第九医药商店,地址：甘肃省武威市凉州区西大街,电话：0935-6979379,
甘肃河西三州武威医药连锁公司第四医药商店,地址：甘肃省武威市凉州区高坝镇新关村,电话：0935-6152455,
甘肃河西三州武威医药连锁公司第八医药商店,地址：甘肃省武威市凉州区西大街西段,电话：0935-2214585,
甘肃河西三州武威医药连锁公司第三医药商店,地址：甘肃省武威市凉州区一中巷口,电话：0935-2225935,
甘肃河西三州武威医药连锁公司第七医药商店,地址：甘肃省武威市凉州区南关东路强生2区,电话：0935-6962766,
甘肃河西三州武威医药连锁公司第二医药商店,地址：甘肃省武威市凉州区胜利街,电话：0935-6979525,
甘肃河西三州武威医药连锁公司西营医药商店,地址：甘肃省武威市凉州区西营镇营儿村,电话：0935-2390883,
甘肃河西三州武威医药连锁公司第一医药商店,地址：甘肃省武威市凉州区东大街南段,电话：0935-2220795,
甘肃河西三州武威医药连锁公司五和医药商店,地址：甘肃省武威市凉州区武南镇,电话：0935-2716996,
甘肃河西三州武威医药连锁公司第二十五药店,地址：甘肃省武威市凉州区北环路,电话：0935-6979609,
甘肃河西三州武威医药连锁公司第二十三医药商店,地址：甘肃省武威市凉州区和平镇枣园村,电话：无,
甘肃河西三州武威医药连锁公司第二十一医药商店,地址：甘肃省武威市凉州区金羊镇蔡庄村,电话：无,
甘肃河西三州武威医药连锁公司第十九医药商店,地址：甘肃省武威市凉州区双城镇,电话：0935-2898432,
甘肃河西三州武威医药连锁公司第六医药商店,地址：甘肃省武威市凉州区东大街,电话：0935-2716996,
玉门市二天堂药业连锁有限公司第八分店,地址：甘肃省酒泉市玉门市新市区建国路78号,电话：无,
玉门市二天堂药业连锁有限公司第七分店,地址：甘肃省酒泉市玉门市新市区铁人路101号,电话：无,
玉门市二天堂药业连锁有限公司第六分店,地址：甘肃省酒泉市玉门市新市区向阳路266号,电话：无,
玉门市二天堂药业连锁有限公司第五分店,地址：甘肃省酒泉市玉门市新市区玉关路176号,电话：无,
玉门市二天堂药业连锁有限公司第十三分店,地址：甘肃省酒泉市玉门市新市区通安路179号,电话：无,
玉门市二天堂药业连锁有限公司第四分店,地址：甘肃省酒泉市玉门市新市区312国道环宇宾馆1楼,电话：无,
玉门市二天堂药业连锁有限公司第十二分店,地址：甘肃省酒泉市玉门市新市区保理嘉园7号楼5号商业门店,电话：无,
玉门市二天堂药业连锁有限公司第三分店,地址：甘肃省酒泉市玉门市新市区商业步行街B座104号,电话：无,
玉门市二天堂药业连锁有限公司第十一分店,地址：甘肃省酒泉市玉门市新市区商业步行街A4-111号,电话：无,
玉门市二天堂药业连锁有限公司第二分店,地址：甘肃省酒泉市玉门市新市区玉关路112号,电话：无,
玉门市二天堂药业连锁有限公司第十分店,地址：甘肃省酒泉市玉门市新市区广宇小区38号,电话：无,
玉门市二天堂药业连锁有限公司第一分店,地址：甘肃省酒泉市玉门市新市区向阳路196号,电话：无,
玉门市二天堂药业连锁有限公司第九分店,地址：甘肃省酒泉市玉门市新市区玉关路二转盘,电话：无,
甘肃德生堂大药房连锁经营有限公司永庆路大药店,地址：甘肃省天水市秦州区藉河北路(近永庆路大药房),电话：0938-2650454,
甘肃德生堂大药房连锁经营有限公司电力家园店,地址：甘肃省酒泉市肃州区电力家园1-1-4,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司肃州医药广场店,地址：甘肃省酒泉市肃州区南大街与西文化街交叉处向北100米路东,电话：无,
甘肃德生堂大药房连锁经营有限公司欧洲苑大药店,地址：甘肃省酒泉市肃州区尚武街西(欧洲苑附近),电话：0937-2682207,
甘肃德生堂大药房连锁经营有限公司巨龙景园大药店,地址：甘肃省酒泉市肃州区巨龙景园3-1-3,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司瓜州店,地址：甘肃省酒泉市瓜州县大道197,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司成纪店,地址：甘肃省天水市麦积区成纪大道东路南(近颐佳假日宾馆),电话：0938-2650454,
甘肃德生堂大药房连锁经营有限公司晋城路店,地址：甘肃省酒泉市肃州区盘旋中路与晋城路交叉处附近,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司天水民主路大药店,地址：甘肃省天水市秦州区东关派出所附近,电话：无,
甘肃德生堂大药房连锁经营有限公司雄关路店,地址：甘肃省酒泉市肃州区雄关路17号附近紫藤家园对面,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司鑫隆花苑店,地址：甘肃省酒泉市肃州区鑫隆花苑6-1-4,电话：0937-2807676,
甘肃德生堂大药房连锁经营有限公司南大街店,地址：甘肃省酒泉市肃州区南大街54号,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司东环南路店,地址：甘肃省酒泉市肃州区东环南路25号(近汽车东站)酒泉龙腾宾馆旁边,电话：0937-2616880,
甘肃德生堂大药房连锁经营有限公司永定西路店,地址：甘肃省定西市安定区永定西路17号,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司保和解放路店,地址：甘肃省定西市安定区解放路83-117号(定西市安定区文化出版广电局附近),电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司中华桥头店,地址：甘肃省定西市安定区中华桥头家具市场门口,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司白银会师街店,地址：甘肃省白银市白银区人民广场国芳百货东侧(兰州路16号),电话：无,
甘肃德生堂大药房连锁经营有限公司东方民主东店,地址：甘肃省定西市安定区民主街6号(近定西千禧商务宾馆),电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司友谊北路店,地址：甘肃省定西市安定区友谊北路110附近,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司白银体育街店,地址：甘肃省白银市白银区王岘东路234号(白云宾馆附近),电话：0943-8233010,
甘肃德生堂大药房连锁经营有限公司医药广场店,地址：甘肃省武威市凉州区北关中路164号,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司保和北城巷店,地址：甘肃省定西市安定区北城路北(定西市安定区司法局西),电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司东大街店,地址：甘肃省定西市临洮县东大街北(临洮县洮阳镇委东),电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司友好路医药广场店,地址：甘肃省白银市白银区名仕家园1号商铺,电话：无,
甘肃德生堂大药房连锁经营有限公司西关平价医药商场店,地址：甘肃省武威市凉州区西大街167号,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司凉州西大街店,地址：甘肃省武威市凉州区西大街东南角,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司东方永定桥店,地址：甘肃省定西市安定区永定东路172号(永定桥附近),电话：无,
甘肃德生堂大药房连锁经营有限公司解放路店,地址：甘肃省定西市安定区解放路10号(近东方解放桥医药超市),电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司文化广场大药店,地址：甘肃省白银市白银区王岘东路149号(近白银天润商务酒店),电话：0943-8233010,
甘肃德生堂大药房连锁经营有限公司北街大药店,地址：甘肃省武威市凉州区东大街北33号(近北街大药房),电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司共和街店,地址：甘肃省武威市凉州区共和街2号（利君超市东侧）,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司健康广场店,地址：甘肃省定西市临洮县新街93附近,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司金街大药店,地址：甘肃省定西市临洮县其他城市金街(近金街大药房),电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司胜利街大药店,地址：甘肃省白银市白银区胜利路198号义合堂诊所旁边,电话：0943-8233010,
甘肃德生堂大药房连锁经营有限公司武威医药城店,地址：甘肃省武威市凉州区东大街52号,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司凉州南大街店,地址：甘肃省武威市凉州区南大街45号,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司临洮医药广场店,地址：甘肃省定西市临洮县311省道附近,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司双拥路店,地址：甘肃省定西市安定区双拥路,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司东星街大药店,地址：甘肃省白银市白银区东星街82号(白银饭店西南250米),电话：无,
甘肃德生堂大药房连锁经营有限公司东关店,地址：甘肃省武威市凉州区复兴路,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司西关中路店,地址：甘肃省武威市凉州区西关中路西(近强生紫金花),电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司东方镇龙路店,地址：甘肃省定西市安定区正龙路定西市人民医院东侧200米处,电话：0932-8215611,
甘肃德生堂白银八号楼店,地址：甘肃省白银市白银区永丰街6号（赛维干洗旁边）,电话：无,
甘肃德生堂大药房连锁经营有限公司国园小区大药店,地址：甘肃省白银市白银区北京路106号(泉兴住宅小区附近),电话：无,
甘肃德生堂大药房连锁经营有限公司公园路店,地址：甘肃省武威市凉州区公园路8号附近,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司民勤东大街店,地址：甘肃省武威市民勤县东大街南(民勤县审计局东),电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司东方友谊广场店,地址：甘肃省定西市安定区友谊商城,电话：0932-8215611,
甘肃德生堂大药房连锁经营有限公司白银兰州路店,地址：甘肃省白银市白银区兰州路东白银新远泰商贸公司附近(近盛源国际大酒店),电话：0943-8233010,
甘肃德生堂大药房连锁经营有限公司东山路店,地址：甘肃省白银市白银区东山路126号,电话：0943-8581698,
甘肃德生堂大药房连锁经营有限公司南关中路店,地址：甘肃省武威市凉州区南关中路235号(金鼎大厦附近),电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司昌灵路店,地址：甘肃省武威市古浪县昌灵路(古浪县人民政府附近),电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司四龙路大药店,地址：甘肃省白银市白银区四龙路与建安巷东北角,电话：无,
甘肃德生堂大药房连锁经营有限公司银都店,地址：甘肃省白银市白银区北京路(银都大厦附近),电话：0943-8233010,
甘肃德生堂大药房连锁经营有限公司福彩大厦店,地址：甘肃省武威市凉州区北大街福彩大厦1层,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司文庙路店,地址：甘肃省武威市凉州区文庙路19号,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司银光路店,地址：甘肃省白银市白银区银光路东(白银天润商务酒店附近),电话：0943-8233010,
甘肃德生堂大药房连锁经营有限公司祁连大道店,地址：甘肃省武威市凉州区祁连大道1084号,电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司张掖民主东街大药店,地址：甘肃省张掖市甘州区民主东街321,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司天一路西店,地址：甘肃省武威市凉州区天一路西(近凉州区火车站街街道办事处),电话：0935-2253222,
甘肃德生堂大药房连锁经营有限公司马神庙街平价医药店,地址：甘肃省张掖市甘州区马神庙街76,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司西关平价医药店,地址：甘肃省张掖市甘州区西大街370号,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司青年西街店,地址：甘肃省张掖市甘州区青年西街116,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司碱滩店,地址：甘肃省张掖市甘州区碱滩镇312国道东,电话：0936-8253312,
甘肃德生堂大药房连锁经营有限公司南环路店,地址：甘肃省张掖市山丹县南环路,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司医药城店,地址：甘肃省张掖市甘州区南大街112,电话：0936-8253312,
甘肃德生堂大药房连锁经营有限公司俄博岭路店,地址：甘肃省张掖市甘州区俄博岭路,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司北城店,地址：甘肃省张掖市山丹县北城拐附近,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司南街医药商场店,地址：甘肃省张掖市甘州区南大街199号佛钟大楼1楼,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司交通路店,地址：甘肃省张掖市山丹县交通路,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司山丹县东大街店,地址：甘肃省张掖市山丹县东大街77号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司饮马桥西路店,地址：甘肃省张掖市甘州区饮马桥西路新世纪超市对面,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司欧式街大药店,地址：甘肃省张掖市甘州区西关面粉厂十字青年西街346号,电话：0936-8285094,
甘肃德生堂大药房连锁经营有限公司青年东街2店,地址：甘肃省张掖市甘州区青年东街241号,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司县府西街店,地址：甘肃省张掖市高台县县府西街北(近高台县解放街小学),电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州东大街店,地址：甘肃省张掖市甘州区东大街258号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司新华路店,地址：甘肃省金昌市金川区新华东路47号(近广源商务宾馆),电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司马神庙街店,地址：甘肃省张掖市甘州区马神庙街76号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州青年东街1店,地址：甘肃省张掖市甘州区青年东街34附近,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州区东大街2店,地址：甘肃省张掖市甘州区东大街351号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司新乐小区中心药店,地址：甘肃省张掖市甘州区第三幼儿园附近,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司北京路店,地址：甘肃省金昌市金川区北京路18号(金川宾馆附近),电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司金安苑大药店,地址：甘肃省张掖市金安区苑住宅小区内,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司人民东路店,地址：甘肃省张掖市高台县人民东路232号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司山丹县南大街店,地址：甘肃省张掖市山丹县南大街(近供销大厦),电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州青年西街2店,地址：甘肃省张掖市甘州区青年西街346号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司永昌永川路大药店,地址：甘肃省金昌市永昌县北背街与玉隍庙街交汇处向东10米,电话：无,
甘肃德生堂大药房连锁经营有限公司人民西路店,地址：甘肃省张掖市高台县人民西路2,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司临泽县县府街店,地址：甘肃省张掖市临泽县县府街与自由路交叉口东北角,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州南大街店,地址：甘肃省张掖市甘州区南大街287,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州青年西街1店,地址：甘肃省张掖市甘州区青年西街116号,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司鼓楼平价医药店,地址：甘肃省金昌市永昌县312国道G312,电话：无,
甘肃德生堂大药房连锁经营有限公司新建街店,地址：甘肃省张掖市甘州区新建街195,电话：0936-8250168,
甘肃德生堂大药房连锁经营有限公司甘州县府街店,地址：甘肃省张掖市甘州区县府街68号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司张火公路店,地址：甘肃省张掖市甘州区三一二国道与张火公路交叉处向北200米路西,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司甘州西大街店,地址：甘肃省张掖市甘州区西大街370,电话：0936-8255876,
甘肃德生堂大药房连锁经营有限公司长泰健康药店,地址：甘肃省金昌市金川区长春路与泰安路交叉处附近,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司西环路店,地址：甘肃省张掖市甘州区西环路448号,电话：0936-8215611,
甘肃德生堂大药房连锁经营有限公司民乐东大街店,地址：甘肃省张掖市民乐县东大街66号(民乐县国家税务局附近),电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司大满镇店,地址：甘肃省张掖市甘州区大满镇075专用道东(张掖园艺公园附近),电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司延安路健康大药店,地址：甘肃省金昌市金川区延安路99号对面,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司玉河路医药城店,地址： 甘肃省金昌市永昌县玉河路附近,电话：无,
甘肃德生堂大药房连锁经营有限公司税亭街店,地址：甘肃省张掖市甘州区北大街与税亭街交叉处向东50米路北,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司迎宾路店,地址：甘肃省张掖市临泽县迎宾路258号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司环城北路医药城店,地址：甘肃省金昌市永昌县北街与环城北路交汇处向北10米,电话：无,
甘肃德生堂大药房连锁经营有限公司广州路药店,地址：甘肃省金昌市金川区广州路17-9,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司北环路店,地址：甘肃省张掖市甘州区北环路207号,电话：0936-8250186,
甘肃德生堂大药房连锁经营有限公司永昌县医药广场店,地址：甘肃省金昌市永昌县人民法院附近,电话：无,
甘肃德生堂大药房连锁经营有限公司金佰盛大药店,地址：甘肃省金昌市金川区泰安路路西（距离天津路150米）,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司延安路健康广场店,地址：甘肃省金昌市金川区延安路附近（荣昌新城东门）,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司长泰大药店,地址：甘肃省金昌市金川区长春路3311号,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司长春路药店,地址：甘肃省金昌市金川区长春路6号附近,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司河西大药店,地址：甘肃省金昌市永昌县河雅路(近河西大药房),电话：无,
甘肃德生堂大药房连锁经营有限公司双建药店,地址：甘肃省金昌市金川区长春路33号,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司南京路药店,地址：甘肃省金昌市金川区南京路19号（金昌市金川区中医院附近）,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司上海路药店,地址：甘肃省金昌市金川区恒昌国际上海路商铺48号,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司河雅大药店,地址：甘肃省金昌市永昌县河雅路附近,电话：无,
甘肃德生堂大药房连锁经营有限公司河西平价大药店,地址：甘肃省金昌市永昌县河西堡镇河雅路,电话：无,
甘肃德生堂大药房连锁经营有限公司滨河药店,地址：甘肃省金昌市金川区金川路102-122号,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司永昌昌宁店,地址：甘肃省金昌市永昌县北背街西段,电话：无,
甘肃德生堂大药房连锁经营有限公司银安路药店,地址：甘肃省兰州市安宁区建宁西路与万新南路交叉口西南角,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司雁滩医药商场店,地址：甘肃省兰州市城关区雁滩路3604-3622号附近,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司盘旋路店,地址：甘肃省金昌市金川区新华路86号,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司兰州路药店,地址：甘肃省金昌市金川区兰州路恒源龙自选商场附近,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司任家庄街大药店,地址：甘肃省兰州市七里河区任家庄7号,电话：0931-2669029,
甘肃德生堂大药房连锁经营有限公司耿家庄药店,地址：甘肃省兰州市城关区甘南路357号,电话：0931-2665639,
甘肃德生堂大药房连锁经营有限公司盛业丰景苑东南店,地址：甘肃省兰州市城关区金昌南路264号(甘肃省体育局家属院西),电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司永昌城关店,地址：甘肃省金昌市永昌县东街与玉隍庙街交汇处向西55米,电话：无,
甘肃德生堂大药房连锁经营有限公司永昌西街店,地址：甘肃省金昌市永昌县西街中段,电话：无,
甘肃德生堂大药房连锁经营有限公司医药广场万新北路店,地址：甘肃省兰州市安宁区费家营,电话：无,
甘肃德生堂大药房连锁经营有限公司九州中路店,地址：甘肃省兰州市城关区九州中路278号,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司中山路药店,地址：甘肃省兰州市七里河区中山路221号附近,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司宝运里大药店,地址：甘肃省金昌市金川区宝运巷4号附近,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司延安路2店,地址：甘肃省金昌市金川区延安路93号向南80米,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司西固区山丹街大药店,地址：甘肃省兰州市西固区山丹街26街附近,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司甘南路店,地址：甘肃省兰州市城关区甘南路256号附近,电话：0931-2665639,
甘肃德生堂大药房连锁经营有限公司明珠店,地址：甘肃省兰州市城关区永昌路69号明珠大厦附近,电话：0931-2665639,
甘肃德生堂大药房连锁经营有限公司新华西路店,地址：甘肃省金昌市金川区新华大道与上海路交叉口东北角,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司延安路1店,地址：甘肃省金昌市金川区延安路67-1号附近,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司贡元巷大药店,地址：甘肃省兰州市城关区静宁路399,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司雁滩路2店,地址：甘肃省兰州市城关区雁滩路3920号附近,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司沛丰店,地址：甘肃省兰州市七里河区临夏路35沛丰大厦东楼,电话：0931-2657396,
甘肃德生堂大药房连锁经营有限公司金三角店,地址：甘肃省金昌市金川区北京路61号,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司建设路店,地址：甘肃省金昌市金川区建设路107号向西100米路北,电话：0935-4984996,
甘肃德生堂大药房连锁经营有限公司医药广场西津东路店,地址：甘肃省兰州市七里河区西津东路77号,电话：无,
甘肃德生堂大药房连锁经营有限公司嘉峪关西路店,地址：甘肃省兰州市城关区嘉峪关西路67号,电话：0931-2665639,
甘肃德生堂大药房连锁经营有限公司东方红大药店,地址：甘肃省兰州市城关区庆阳路44号,电话：0931-8412101,
甘肃德生堂大药房连锁经营有限公司东方红药店,地址：甘肃省金昌市金川区宝星里5号（金川六中附近）,电话：0935-4984996,
