四川好仁堂惠民药店 ,地址：四川省攀枝花市米易县桥东街45,电话：0812-8175469,
祥力康药业连锁梓潼县民仁堂药店,地址：四川省绵阳市梓潼县文昌镇文昌路272号,电话：0816-2369895,
祥力康药业连锁丽琳药店,地址：四川省绵阳市三台县永明场镇万寿路中街农村信用社东南20米,电话：0816-2369895,
祥力康药业连锁高新区红玉店,地址：四川省绵阳市高新区石桥社区九队东门中段,电话：0816-2369895,
祥力康药业连锁安昌镇兰旭店,地址：四川省绵阳市北川羌族自治县安昌镇东风路5-2号,电话：0816-2369895,
祥力康药业连锁梓潼县王朝富药店,地址：四川省绵阳市梓潼县石牛镇兰花街20号,电话：0816-2369895,
祥力康药业连锁安县润灵药店,地址：四川省绵阳市安县花荄镇罗胜路中段70号,电话：0816-2369895,
祥力康药业连锁高新区全康店,地址：四川省绵阳市高新区永兴镇龙家碾村四组,电话：0816-2369895,
祥力康药业连锁北川利民店,地址：四川省绵阳市北川羌族自治县禹里乡老街,电话：0816-2369895,
祥力康药业连锁北川振春店,地址：四川省绵阳市北川县羌族自治县永安镇商贸街,电话：0816-2369895,
祥力康药业连锁安县永合店,地址：四川省绵阳市安县花荄镇恒源大道广厦景园C区39-40号,电话：0816-2369895,
祥力康药业连锁高新区健安店,地址：四川省绵阳市高新区普明后街32号,电话：0816-2369895,
祥力康药业连锁安昌镇仙赐堂店,地址：四川省绵阳市北川羌族自治县东风路北段,电话：0816-2369895,
祥力康药业连锁北川县田秀美药店,地址：四川省绵阳市北川县白坭乡紫杉街95号,电话：0816-2369895,
祥力康药业连锁游仙区众康店,地址：四川省绵阳市游仙区沈家坝北街17号,电话：0816-2369895,
祥力康药业连锁安县骆昌福店,地址：四川省绵阳市桑枣镇兴隆街,电话：0816-2369895,
祥力康药业连锁高新区丽丽药店,地址：四川省绵阳市高新区永兴镇兴亚路15号,电话：0816-2369895,
祥力康药业连锁永昌镇山山店,地址：四川省绵阳市北川羌族自治县永昌镇温泉路18号,电话：0816-2369895,
祥力康药业连锁万源大药房,地址：四川省绵阳市三台县芦溪镇南外街6号,电话：0816-2369895,
祥力康药业连锁安县宏麒泰店,地址：四川省绵阳市安县花荄镇大南街北段16号,电话：0816-2369895,
祥力康药业连锁北川县仁和店,地址：四川省绵阳市北川县晓坝乡街道,电话：0816-2369895,
祥力康药业连锁北川县选平店,地址：四川省绵阳市北川县坝底乡顺河中街,电话：0816-2369895,
祥力康药业连锁梓潼县立康药店,地址：四川省绵阳市梓潼县文昌镇文昌路中段89号,电话：0816-2369895,
祥力康药业连锁三台县吴氏店,地址：四川省绵阳市三台县新鲁镇三村五队,电话：0816-2369895,
祥力康药业连锁安县益康店,地址：四川省绵阳市安县花荄镇益昌东路54号,电话：0816-2369895,
祥力康药业连锁梓潼县顾斌药店,地址：四川省绵阳市梓潼县文昌镇金牛路中段22号,电话：0816-2369895,
祥力康药业连锁28店,地址：四川省绵阳市三台县芦溪镇铧厂街70号,电话：0816-2369895,
祥力康药业连锁安县祥顺堂店,地址：四川省绵阳市安县秀水镇猪市街7号,电话：0816-2369895,
祥力康药业连锁梓潼县礼斌药店,地址：四川省绵阳市梓潼县石牛镇永乐街123号,电话：0816-2369895,
祥力康药业连锁民康店,地址：四川省绵阳市三台县花园镇花园大道134号,电话：0816-2369895,
祥力康药业连锁安县万春店,地址：四川省绵阳市安县界牌镇上街,电话：0816-2369895,
祥力康药业连锁安县娟绿店,地址：四川省绵阳市安县花荄镇大北街2-4号,电话：0816-2369895,
祥力康药业连锁安县惠源店,地址：四川省绵阳市安县塔水镇商业新街,电话：0816-2369895,
祥力康药业连锁安县裕丰店,地址：四川省绵阳市安县花荄镇大南街3号,电话：0816-2369895,
祥力康药业连锁安县德翠店,地址：四川省绵阳市安县秀水镇秀丰干道13号,电话：0816-2369895,
祥力康药业连锁安县花荄华利店,地址：四川省绵阳市安县花荄花兴路,电话：0816-2369895,
祥力康药业连锁安县洪源康泰店,地址：四川省绵阳市安县黄土镇大西街41号,电话：0816-2369895,
祥力康药业连锁安县李成店,地址：四川省绵阳市安县塔水镇朝兴街53号,电话：0816-2369895,
祥力康药业连锁安县陆长友店,地址：四川省绵阳市安县桑枣镇浮山大道中段,电话：0816-2369895,
祥力康药业连锁安县清洋店,地址：四川省绵阳市安县花荄镇罗林街20号,电话：0816-2369895,
祥力康药业连锁安县乐王堂店,地址：四川省绵阳市安县花荄镇中心街,电话：0816-2369895,
祥力康药业连锁安县茂常店,地址：四川省绵阳市安县桑枣镇车站小区,电话：0816-2369895,
祥力康药业连锁安县诚龙店,地址：四川省绵阳市安县界牌镇石安村安绵大道上段,电话：0816-2369895,
祥力康药业连锁安县唐爱仁店,地址：四川省绵阳市安县塔水镇振兴街,电话：0816-2369895,
祥力康药业连锁安县林骊康店,地址：四川省绵阳市安县雎水镇宝元乡,电话：0816-2369895,
祥力康药业连锁李兴店,地址：四川省绵阳市江油市青莲镇天宝综合市场47号,电话：0816-2369895,
祥力康药业连锁天清店,地址：四川省绵阳市涪城区石塘镇红星村五社,电话：0816-2369895,
祥力康药业连锁安县济康店,地址：四川省绵阳市安县塔水镇解放街153号,电话：0816-2369895,
祥力康药业连锁河清芳草店,地址：四川省绵阳市安县河清镇富乐路61号,电话：0816-2369895,
祥力康药业连锁安县惠民药店,地址：四川省绵阳市安县茶坪场镇中街,电话：0816-2369895,
祥力康药业连锁康仁堂店,地址：四川省绵阳市江油市汇丰农贸综合市场37号,电话：0816-2369895,
祥力康药业连锁安县花荄修阳店,地址：四川省绵阳市安县花荄镇花兴路27号,电话：0816-2369895,
祥力康药业连锁东升百草堂药店,地址：四川省绵阳市安县雎水镇彩虹街,电话：0816-2369895,
祥力康药业连锁安县喻颖利民店,地址：四川省绵阳市安县秀水镇簸箕街41号、39号,电话：0816-2369895,
祥力康药业连锁寿安堂店,地址：四川省绵阳市江油市马路湾电信小区14号,电话：0816-2369895,
祥力康药业连锁15店,地址：四川省绵阳市涪城区平政九组,电话：0816-2369895,
祥力康药业连锁安县汪东店,地址：四川省绵阳市安县花荄镇正兴街,电话：0816-2369895,
祥力康药业连锁利华药店,地址：四川省绵阳市安县宝林镇邮政储蓄北50米,电话：0816-2369895,
祥力康药业连锁安县娅氏店,地址：四川省绵阳市安县秀水镇西园干道北段31号,电话：0816-2369895,
祥力康药业连锁伟康店,地址：四川省绵阳市江油市新华大道东北现代佳苑1-20号,电话：0816-2369895,
祥力康药业连锁12店,地址：四川省绵阳市涪城区塘汛镇友谊街,电话：0816-2369895,
祥力康药业连锁安县官敏店,地址：四川省绵阳市安县桑枣镇浮山大道,电话：0816-2369895,
祥力康药业连锁阳皮肤药店,地址：四川省绵阳市安县秀水镇西园干道北段5号,电话：0816-2369895,
祥力康药业连锁11店,地址：四川省绵阳市绵阳市剑门路西段38号-4,电话：0816-2369895,
祥力康药业连锁安县启富店,地址：四川省绵阳市安县桑枣镇黄金堰街中段,电话：0816-2369895,
祥力康药业连锁民愈店,地址：四川省绵阳市江油市含增镇界池村1组,电话：0816-2369895,
祥力康药业连锁安县金鑫店,地址：四川省绵阳市安县塔水镇七里村一组,电话：0816-2369895,
祥力康药业连锁鑫仁药店,地址：四川省绵阳市江油市三合镇建南路,电话：0816-2369895,
祥力康药业连锁荣富店,地址：四川省绵阳市涪城区三里村四社,电话：0816-2369895,
祥力康药业连锁安县杨艳药店,地址：四川省绵阳市安县桑枣镇兴隆街43号,电话：0816-2369895,
祥力康药业连锁46店,地址：四川省绵阳市江油市重华镇灵溪街101号,电话：0816-2369895,
祥力康药业连锁胡雪梅药店,地址：四川省绵阳市江油市景绣花园19号,电话：0816-2369895,
祥力康药业连锁罗锦阳店,地址：四川省绵阳市江油市九岭镇西河街,电话：0816-2369895,
祥力康药业连锁永德店,地址：四川省绵阳市长虹大道南段166号附1号,电话：0816-2369895,
祥力康药业连锁康健店,地址：四川省绵阳市涪城区磨家镇聚龙小区37号,电话：0816-2369895,
祥力康药业连锁星月店,地址：四川省绵阳市涪城区玉龙街10号圣水八社区,电话：0816-2369895,
祥力康药业连锁康康福药店,地址：四川省绵阳市涪城区新皂镇皂角铺社区十二组电信营业厅对面,电话：0816-2369895,
祥力康药业连锁19店,地址：四川省绵阳市涪城区圣水村八队,电话：0816-2369895,
祥力康药业连锁7店,地址：四川省绵阳市涪城区剑门路西段46号,电话：0816-2369895,
祥力康药业连锁20店,地址：四川省绵阳市涪城区关帝镇场镇,电话：0816-2369895,
祥力康药业连锁玉金店,地址：四川省绵阳市涪城区长虹大道北段139号,电话：0816-2369895,
祥力康药业连锁福康店,地址：四川省绵阳市涪城区吴家镇东街67-69号,电话：0816-2369895,
祥力康药业连锁保尔健药店,地址：四川省绵阳市涪城区梅花西街58-59号,电话：0816-2369895,
祥力康药业连锁延年堂店,地址：四川省绵阳市涪城区丰谷镇小西街30号,电话：0816-2369895,
祥力康药业连锁杏林店,地址：四川省绵阳市涪城区丰谷镇胜利路73-4-5号,电话：0816-2369895,
祥力康药业连锁166店,地址：四川省绵阳市涪城区丰谷镇大西街,电话：0816-2369895,
祥力康药业连锁如意药店,地址：四川省绵阳市荷花东街29号花园二社区五组 ,电话：0816-2369895,
祥力康药业连锁正白店,地址：四川省绵阳市牌坊社区玉女路186号,电话：0816-2369895,
祥力康药业连锁爱健药店,地址：四川省绵阳市涪城区长虹大道中段111号附38号,电话：0816-2369895,
祥力康药业连锁希希店,地址：四川省绵阳市长虹大道北段50号西城花园,电话：0816-2369895,
祥力康药业连锁蓉蓉店,地址：四川省绵阳市涪城区顺河后街4号,电话：0816-2369895,
祥力康药业连锁康达店,地址：四川省绵阳市涪城区玉泉路36号,电话：0816-2369895,
祥力康药业连锁云兰店,地址：四川省绵阳市涪城区城郊乡圣水七队213号附2－4号,电话：0816-2369895,
祥力康药业连锁康诺药店,地址：四川省绵阳市涪城区园通东街176号12幢附3号,电话：0816-2369895,
祥力康药业连锁龙门谢伟店,地址：四川省绵阳市涪城区龙门镇临街5-6号,电话：0816-2369895,
祥力康药业连锁129店,地址：四川省绵阳市涪城区长青街13号,电话：0816-2369895,
祥力康药业连锁王强药店,地址：四川省绵阳市涪城区青义镇青定坊巷17号,电话：0816-2369895,
祥力康药业连锁东辉店,地址：四川省绵阳市涪城区御林街42号-17,电话：0816-2369895,
祥力康药业连锁蒋蓉药店,地址：四川省绵阳市涪城区长青街29-30号,电话：0816-2369895,
祥力康药业连锁快康店,地址：四川省绵阳市涪城区长虹大道北段271号,电话：0816-2369895,
祥力康药业连锁胡林店,地址：四川省绵阳市涪城区高涧槽路48号,电话：0816-2369895,
祥力康药业连锁洁康药店,地址：四川省绵阳市游仙区石马镇中科小区二栋一号,电话：0816-2369895,
祥力康药业连锁健馨店,地址：四川省绵阳市涪城区城郊乡大包梁村五社九州大道旁5号门面,电话：0816-2369895,
祥力康药业连锁泽生药店,地址：四川省绵阳市涪城区花园二居委五组109号,电话：0816-2369895,
祥力康药业连锁董永明店,地址：四川省绵阳市涪城区城郊乡戈家庙村三社,电话：0816-2369895,
祥力康药业连锁王飞店,地址：四川省绵阳市涪城区城郊乡圣水社区二社110号附9号,电话：0816-2369895,
祥力康药业连锁小燕店,地址：四川省绵阳市游仙区云风乡万圣街196号,电话：0816-2369895,
祥力康药业连锁光辉店,地址：四川省绵阳市涪城区高平路9号,电话：0816-2369895,
祥力康药业连锁徐氏药店,地址：四川省绵阳市涪城区石塘镇瓦店村九组毅德商城西50米,电话：0816-2369895,
祥力康药业连锁全胜店,地址：四川省绵阳市涪城区城郊乡平政六队,电话：0816-2369895,
祥力康药业连锁立平店,地址：四川省绵阳市长虹大道北段50号西城花园9幢11-12号商铺,电话：0816-2369895,
祥力康药业连锁玉华店,地址：四川省绵阳市游仙区依江花苑7-15号,电话：0816-2369895,
祥力康药业连锁剑成药店,地址：四川省绵阳市涪城区花园批发市场E区24号,电话：0816-2369895,
祥力康药业连锁海鸥药店,地址：四川省绵阳市涪城区花园东街21号4栋5号1楼,电话：0816-2369895,
祥力康药业连锁民益药店,地址：四川省绵阳市剑门路西段247-10号,电话：0816-2369895,
祥力康药业连锁45店,地址：四川省绵阳市游仙区沈家坝东津路富乐苑,电话：0816-2369895,
祥力康药业连锁君平玲丽药店,地址：四川省绵阳涪城区石塘乡红星村568居民点,电话：0816-2369895,
祥力康药业连锁义夫康药店,地址：四川省绵阳市涪城区石塘镇红星四社绵州大道北段3-1号,电话：0816-2369895,
祥力康药业连锁虹色佳苑药店,地址：四川省绵阳市涪城区城郊乡玉龙街61号附1号,电话：0816-2369895,
祥力康药业连锁绿源药店,地址：四川省绵阳市游仙区开元村二社A区74号,电话：0816-2369895,
祥力康药业连锁联国店,地址：四川省绵阳市游仙区石马镇新街,电话：0816-2369895,
祥力康药业连锁30店,地址：四川省绵阳市游仙区石马镇紫申小区,电话：0816-2369895,
祥力康药业连锁张林店,地址：四川省绵阳市游仙区玉河镇黄金街12号,电话：0816-2369895,
祥力康药业连锁23店,地址：四川省绵阳市游仙区东宣乡场镇,电话：0816-2369895,
祥力康药业连锁仙区夏莉店,地址：四川省绵阳市游仙区汇川汉城四幢15、16号,电话：0816-2369895,
祥力康药业连锁康寿堂店,地址：四川省绵阳市游仙区小岛春天花园17-5商铺,电话：0816-2369895,
祥力康药业连锁18店,地址：四川省绵阳市游仙区徐家镇场镇,电话：0816-2369895,
祥力康药业连锁平菊店,地址：四川省绵阳市游仙区云凤场镇万圣街35号,电话：0816-2369895,
祥力康药业连锁仁心堂店,地址：四川省绵阳市游仙区开元路25号,电话：0816-2369895,
祥力康药业连锁思妙药店,地址：四川省绵阳市游仙区刘家镇圣宫巷18号,电话：0816-2369895,
祥力康药业连锁17店,地址：四川省绵阳市游仙区玉河场镇,电话：0816-2369895,
祥力康药业连锁康太店,地址：四川省绵阳市游仙区东津路东街18号俊峰花园A栋1层2号,电话：0816-2369895,
祥力康药业连锁泞泞药店,地址：四川省绵阳市游仙区沈家坝商业城15栋6号,电话：0816-2369895,
祥力康药业连锁利鑫店,地址：四川省绵阳市游仙区石马镇甘泉街48号,电话：0816-2369895,
祥力康药业连锁杨晓燕店,地址：四川省绵阳市游仙区石板场镇双兴街,电话：0816-2369895,
祥力康药业连锁长寿堂店,地址：四川省绵阳市一环路东段141号附5-6号,电话：0816-2369895,
祥力康药业连锁亚兰店,地址：四川省绵阳市游仙区沈家坝下街22-23号,电话：0816-2369895,
祥力康药业连锁鲜寿店,地址：四川省绵阳市游仙区玉河镇玉绵路18号,电话：0816-2369895,
祥力康药业连锁前锋店,地址：四川省绵阳市游仙区五里沟涪翁路24号,电话：0816-2369895,
祥力康药业连锁渝康店,地址：四川省绵阳市游仙区忠兴镇东街,电话：0816-2369895,
祥力康药业连锁王丽店,地址：四川省绵阳市游仙区开元北街8-3号、8-4号,电话：0816-2369895,
祥力康药业连锁兴模店,地址：四川省绵阳市游仙区沈家坝北街25栋3号,电话：0816-2369895,
祥力康药业连锁明翠店,地址：四川省绵阳市游仙区朝真乡新街,电话：0816-2369895,
祥力康药业连锁春明药店,地址：四川省绵阳市游仙区治平路2号芙蓉锦绣园2-11号,电话：0816-2369895,
祥力康药业连锁天时利店,地址：四川省绵阳市游仙区治平路165号,电话：0816-2369895,
祥力康药业连锁徐晓店,地址：四川省绵阳市游仙区中经路52号,电话：0816-2369895,
祥力康药业连锁菊华店,地址：四川省绵阳市游仙区五里堆开元中学内,电话：0816-2369895,
祥力康药业连锁欣荣药店,地址：四川省绵阳市游仙区民安路128号23栋9号,电话：0816-2369895,
祥力康药业连锁明东药店,地址：四川省绵阳市游仙区石板镇石板中小学校旁,电话：0816-2369895,
祥力康药业连锁何家药店,地址：四川省绵阳市游仙区魏城镇莲花社区正兴街15号,电话：0816-2369895,
重庆全兴药房邻水分店,地址：四川广安市邻水县鼎屏镇人民路南段万兴广场A-1-9、10号,电话：0826-3233946,
梓橦宫大药房顺康堂连锁店,地址：四川省内江市市中区交通路,电话：0832-2120604,
梓橦宫大药房瑞利连锁店,地址：四川省内江市市中区乐贤达到545、547号,电话：0832-2191768,
梓橦宫大药房三十一分店,地址：四川省内江市东兴区东兴大道1-5号,电话：0832-2290642,
梓橦宫大药房善缘堂连锁店,地址：四川省内江市市中区白马镇文化路191号,电话：无,
梓橦宫大药房二十八分店,地址：四川省内江市东兴区星桥街465号附16、17号,电话：0832-2196631,
梓橦宫大药房和平广场连锁店,地址：四川省内江市东兴区平安路485号2栋1、2、37、38,电话：0832-2271215,
梓橦宫大药房益寿堂连锁店,地址：四川省内江市市中区白马镇文化路2号,电话：0832-2481756,
梓橦宫大药房佑健连锁店,地址：四川省内江市市中区公园街245号附1至4号,电话：0832-2223397,
梓橦宫大药房泰康连锁店,地址：四川省内江市东兴区兴盛路600号、602号,电话：0832-2229594,
梓橦宫大药房杏林连锁店,地址：四川省内江市市中区铁站街148-150号,电话：0832-2081698,
梓橦宫大药房三十五分店,地址：四川省内江市威远县城杉坳街186号、188号、190号,电话：0832-8239959,
梓橦宫大药房乐康连锁店,地址：四川省内江市东兴区兴盛路697号附21号,电话：无,
梓橦宫大药房博兴连锁店,地址：四川省内江市东兴区凤窝街8-1号楼47至49号,电话：0832-2114779,
梓橦宫大药房大千连锁店,地址：四川省内江市东兴区大千路538-18号,电话：0832-2298594,
梓橦宫大药房寿亨堂连锁店,地址：四川省内江市市中区交通路250-254号,电话：0832-2107855,
梓橦宫大药房三十六分店,地址：四川省内江市威远县严陵镇南大街51号53号门面,电话：0832-8239959,
梓橦宫大药房爱心堂连锁店,地址：四川省内江市东兴区高桥镇内高路西街131、133、135号,电话：无,
梓橦宫大药房博健连锁店,地址：四川省内江市东兴区枇杷街194号,电话：0832-2269276,
梓橦宫大药房永惠连锁店,地址：四川省内江市东兴区胜利镇蟠龙路北段14号,电话：0832-2851164,
梓橦宫大药房雨田连锁店,地址：四川省内江市中区沱江巷2-4号,电话：0832-2109209,
梓橦宫大药房隆昌中心连锁店,地址：四川省内江市隆昌县康复中路153号、155号,电话：0832-3923987,
梓橦宫大药房黄仁堂连锁店,地址：四川省内江市东兴区汉安大道东段77-29-30号,电话：0832-2222618,
梓橦宫大药房一力堂连锁店,地址：四川省内江市东兴区汉安大道西461、463号,电话：0832-2242773,
梓橦宫大药房金色连锁店,地址：四川省内江市东兴区中兴路55-57-59号,电话：0832-2248088,
梓橦宫大药房养生堂连锁店,地址：四川省内江市市中区小东街25-27号,电话：0832-2060007,
梓橦宫大药房二店,地址：四川省内江市资中县重龙镇金带街 38号,电话：0832-5524308,
梓橦宫大药房三十三分店,地址：四川省内江市市中区江华街161号,电话：0832-2170956,
梓橦宫大药房博康连锁店,地址：四川省内江市东兴区汉安大道98号,电话：0832-2285545,
梓橦宫大药房和平街连锁店,地址：四川省内江市中区和平街72-74号,电话：0832-2121351,
梓橦宫大药房二十九连锁店,地址：四川省内江市市中区南环路160号,电话：0832-2172912,
梓橦宫大药房资中中心连锁店,地址：四川省内江市资中县浙江商城D-1楼3-4号,电话：0832-5952609,
梓橦宫大药房健民连锁店,地址：四川省内江市东兴区汉安路西366-29、30号,电话：0832-2277990,
梓橦宫大药房鸿诚连锁店,地址：四川省内江市西林新区兴盛路394号-396号,电话：0832-2277823,
梓橦宫大药房三十连锁店,地址：四川省内江市东兴区汉安大道192号,电话：0832-2224515,
梓橦宫大药房三十二分店,地址：四川省内江市东兴区汉安大道西376号附10、11、12、13号,电话：0832-2046805,
梓橦宫大药房连庆连锁店,地址：四川省内江市东兴区眺洲路106号、108号,电话：0832-2032636,
梓橦宫大药房康伟连锁店,地址：四川省内江市市中区团结街49号,电话：0832-2045014,
梓橦宫大药房葵花连锁店,地址：四川省内江市东兴区平安路103号.105号,电话：0832-2247942,
梓橦宫大药房济源堂连锁店,地址：四川省内江市市中区大西街59号,电话：无,
梓橦宫大药房中欣连锁店,地址：四川省内江市市中区民族路,电话：0832-2040828,
地森大药房新民街店,地址：四川省成都市新都区新民镇新民街132-136号,电话：028-83972141,
地森大药房维也纳店,地址：四川省成都市新都区新都街道育英路454号,电话：028-83972141,
地森大药房长龙店,地址：四川省成都市新都区三河长龙社区（毗河苑）B区19栋—8号,电话：028-83972141,
地森大药房东街店,地址：四川省成都市新都区新都镇东街151号,电话：028-63972141,
地森大药房普河店,地址：四川省成都市新都区太兴镇普河路107号附5附6,电话：028-83972141,
地森大药房第十二直营店,地址：四川省成都市新都区洪山堂中路,电话：028-83972141,
地森大药房瑞云店,地址：四川省成都市新都区龙桥镇瑞云社区家具园区活动中心A-E14-17号,电话：028-83972141,
地森大药房新中路店,地址：四川省成都市新都区新中路149号,电话：028-63972141,
地森大药房西街店,地址：四川省成都市新都区新都镇西街133—135号,电话：028-63972141,
地森大药房第一直营店,地址：四川省成都市新都区毗河苑A区6号,电话：028-83972141,
地森大药房电子店,地址：四川省成都市新都区新都镇电子路123号,电话：028-83972141,
地森大药房普河二店,地址：四川省成都市新都区九龙路九龙工业港,电话：028-83972141,
地森大药房繁崇店,地址：四川省成都市新都区新繁镇繁崇路23—25号,电话：028-83972141,
地森大药房总店,地址：四川省成都市新都区上南街54-60号,电话：028-63972141,
地森大药房外南店,地址：四川省成都市新都区外南街44—46号,电话：028-83952665,
地森大药房宝光店,地址：四川省成都市新都区宝光大道203—205号,电话：028-83972141,
武侯区兴玉林大药房,地址：四川省成都市武侯区玉林南路3号,电话：无,
四川好仁堂米易县益康药店 ,地址：四川省攀枝花市米易县育才路46,电话：0812-8185198,
四川好仁堂东区景鹏药店 ,地址：四川省攀枝花市东区钢城大道东段344附1,电话：无,
四川好仁堂华山店 ,地址：四川省攀枝花市东区攀枝花大道中段375,电话：0812-2510180,
四川好仁堂万泰大药房,地址：四川省德阳市旌阳区玉泉路234,电话：0838-2512121,
四川好仁堂温江金利大药房,地址：四川省成都市温江区柳城西路北段68-69号1栋9-10号,电话：028-82748271,
四川好仁堂天川店 ,地址：四川省攀枝花市东区弄弄坪中路209,电话：0812-3311530,
四川好仁堂杏仁堂大药房,地址：四川省成都市龙泉驿区龙泉街办建设路264-266号,电话：028-84855111,
四川好仁堂炳草岗店 ,地址：四川省攀枝花市东区攀枝花大道东段400,电话：0812-2510007,
四川好仁堂德泰堂大药房,地址：四川省德阳市黄河西路6号 ,电话：0838-2408313,
四川好仁堂绵阳先锋药房,地址：四川省绵阳市涪城区长虹大道84号,电话：0816-2307305,
四川好仁堂民生药房 ,地址：四川省攀枝花市米易县文体路21号,电话：0812-6371869,
四川好仁堂金沙店 ,地址：四川省成都市金牛区金沙路15号附7号,电话：028-87663537,
四川好仁堂人民店,地址：四川省成都市青羊区人民中二段8号,电话：028-86255570,
成都市康福隆药品益寿堂店,地址：四川省成都市温江区两河路东段4号,电话：028-82766169,
成都市康福隆药品西门店,地址：四川省成都市营门口路45号迅驰大厦,电话：028-87789858,
成都市康福隆药品天康店,地址：四川省成都市双林路100号,电话：028-84378355,
成都市康福隆药品西郊店,地址：四川省成都市一环路西三段1号,电话：无,
成都市康福隆药品沙湾店,地址：四川省成都市一环路北一段125号,电话：028-87680861,
