宣城市言午氏药店桃州路店,地址：安徽省宣城市广德县桃州镇桃州南路东B1-2号,电话：0563-6026508,
马鞍山市川洋大药房连锁有限公司示范园店,地址：安徽省马鞍山市承接产业转移示范园区年陡镇年丰小区新街68号,电话：0555-6476904,
马鞍山市川洋大药房连锁有限公司东方翡翠店,地址：安徽省马鞍山市雨山区东方翡翠小区28栋103号 ,电话：0555-2382295 ,
马鞍山市川洋大药房连锁有限公司师苑小学店,地址：安徽省马鞍山市花园路4栋底商1-15,电话：0555-8364068,
马鞍山市川洋大药房连锁有限公司黄山小区店,地址：安徽省马鞍山市当涂姑孰镇黄山花园小区6号门市,电话：0555-6612157,
马鞍山市川洋大药房连锁有限公司金瑞店,地址：安徽省马鞍山市市金家庄区金瑞新城二村9-108,电话：0555-3550231,
马鞍山市川洋大药房连锁有限公司秀山店,地址：安徽省马鞍山市花山区秀山湖壹号公馆2栋105室,电话：0555-2211238,
马鞍山市川洋大药房连锁有限公司太白佳苑店,地址：安徽省马鞍山市当涂县太白镇太白佳苑2栋7号,电话：0555-6812724,
马鞍山市川洋大药房连锁有限公司藏汉店,地址：安徽省马鞍山市当涂姑孰镇藏汉皇秀苑小区门面房,电话：0555-6737759,
马鞍山市川洋大药房连锁有限公司钢城花园店,地址：安徽省马鞍山市钢城花园1村41-3-4底商,电话：0555-2213759,
马鞍山市川洋大药房连锁有限公司马桥店,地址：安徽省马鞍山市当涂县石桥镇马桥街道,电话：0555-6251353,
马鞍山市川洋大药房连锁有限公司为民店,地址：安徽省马鞍山市当涂县乌溪镇街道新建路,电话：0555-6782358,
马鞍山市川洋大药房连锁有限公司西湖花园店,地址：安徽省马鞍山市花山区东晖路1-101,电话：0555-2455223,
马鞍山市川洋大药房连锁有限公司和县超市店,地址：安徽省马鞍山市和县苏果超市,电话：0555-5328281,
马鞍山市川洋大药房连锁有限公司五区店,地址：安徽省马鞍山市雨山区西苑路22栋103号底商,电话：0555-2318659,
马鞍山市川洋大药房连锁有限公司茂源店,地址：安徽省马鞍山市当涂县太白镇太白街道（太白中学对面）,电话：0555-6686276,
马鞍山市川洋大药房连锁有限公司西塘路店,地址：安徽省马鞍山市天泽水岸9栋103室,电话：0555-3509772,
马鞍山市川洋大药房连锁有限公司尚景苑店,地址：安徽省马鞍山市尚景苑6栋6-7-8室,电话：0555-3503898,
马鞍山市川洋大药房连锁有限公司博佳店,地址：安徽省马鞍山市博望区博望镇春江花月园7-48、7-50,电话：0555-6769547,
马鞍山市川洋大药房连锁有限公司焦家店,地址：安徽省马鞍山市当涂焦家开发区济美路61-62,电话：0555-6729870,
马鞍山市川洋大药房连锁有限公司大陇店,地址：安徽省马鞍山市当涂县大陇新街81号,电话：0555-6271712,
马鞍山市川洋大药房连锁有限公司湖西北路店,地址：安徽省马鞍山市雨山区湖西北路1号（西苑小区对面）,电话：0555-3503020,
马鞍山市川洋大药房连锁有限公司兰馨佳苑店,地址：安徽省马鞍山市兰馨佳苑3栋102-103号,电话：0555-2382729,
马鞍山市川洋大药房连锁有限公司博南店,地址：安徽省马鞍山市博望区博望镇平桥杨家甸1号,电话：0555-6763237,
马鞍山市川洋大药房连锁有限公司博星店,地址：安徽省马鞍山市当涂县博望镇建设中路农行斜对面,电话：0555-6765562,
马鞍山市川洋大药房连锁有限公司新博店,地址：安徽省马鞍山市博望区博望镇新博粮站新楼门面房,电话：0555-6065501,
马鞍山市川洋大药房连锁有限公司东大街店,地址：安徽省马鞍山市当涂县姑孰镇三条巷一号门面房,电话：0555-6716752,
马鞍山市川洋大药房连锁有限公司印山路店,地址：安徽省马鞍山市春江雅苑17栋104-105号,电话：0555-2386729,
马鞍山市川洋大药房连锁有限公司望江路店,地址：安徽省马鞍山市和县望江路208号,电话：0555-5305078,
马鞍山市川洋大药房连锁有限公司亭头店,地址：安徽省马鞍山市当涂县黄池镇亭头街道,电话：0555-6128486,
马鞍山市川洋大药房连锁有限公司兴永店,地址：安徽省马鞍山市当涂县兴永街道,电话：0555-6133959,
马鞍山市川洋大药房连锁有限公司博环路店,地址：安徽省马鞍山市博望区博望镇敬民路与南环路交叉口,电话：0555-2333888,
马鞍山市川洋大药房连锁有限公司万嘉颐园店,地址：安徽省马鞍山市万嘉颐园五村20栋102#,电话：0555-2467721,
马鞍山市川洋大药房连锁有限公司南山矿店,地址：安徽省马鞍山市雨山区向山镇平南三村80栋一层,电话：0555-3158955,
马鞍山市川洋大药房连锁有限公司石中店,地址：安徽省马鞍山市当涂县石桥镇中心街23号,电话：0555-6213397,
马鞍山市川洋大药房连锁有限公司新丰店,地址：安徽省马鞍山市当涂县新丰供销社办公楼,电话：0555-6582601,
马鞍山市川洋大药房连锁有限公司博联店,地址：安徽省马鞍山市当涂县博望镇南环路世纪联华超市,电话：0555-6763411,
马鞍山市川洋大药房连锁有限公司湖南路店,地址：安徽省马鞍山市荷西嘉园11栋105号,电话：0555-2365895,
马鞍山市川洋大药房连锁有限公司护河店,地址：安徽省马鞍山市当涂县护河镇护新路（护河中学旁）,电话：0555-6792706,
马鞍山市川洋大药房连锁有限公司石桥店,地址：安徽省马鞍山市当涂县石桥镇街道,电话：0555-6213037,
马鞍山市川洋大药房连锁有限公司轻工新村店,地址：安徽省马鞍山市花山区轻工新村5栋,电话：0555-2482531,
马鞍山市川洋大药房连锁有限公司査湾店,地址：安徽省马鞍山市承接转移示范园区年陡镇查湾街道,电话：0555-6411965,
马鞍山市川洋大药房连锁有限公司博望店,地址：安徽省马鞍山市博望区博望镇老314省道南侧桥西路中段,电话：0555-6760551,
马鞍山市川洋大药房连锁有限公司年陡店,地址：安徽省马鞍山市承接转移示范园区年陡镇年陡新街,电话：0555-6476584,
马鞍山市川洋大药房连锁有限公司湖西路店,地址：安徽省马鞍山市雨山区湖西路集贸市场,电话：0555-2328195,
马鞍山市川洋大药房连锁有限公司黄池店,地址：安徽省马鞍山市当涂县黄池镇步行街,电话：0555-6193501,
马鞍山市川洋大药房连锁有限公司大华国际广场店,地址：安徽省马鞍山市花山区大华国际广场AH-03,电话：0555-2354740,
马鞍山市川洋大药房连锁有限公司姑孰中路店,地址：安徽省马鞍山市当涂县姑孰镇姑孰中路687-689号,电话：0555-6740220,
马鞍山市川洋大药房连锁有限公司健康路店,地址：安徽省马鞍山市健康路八队新村,电话：0555-2476836,
马鞍山市川洋大药房连锁有限公司米井巷店,地址：安徽省马鞍山市当涂姑孰镇大城坊米井巷87号,电话：0555-6748175,
马鞍山市川洋大药房连锁有限公司丹阳店,地址：安徽省马鞍山市当涂县丹阳镇粮站门面房,电话：0555-6915643,
马鞍山市川洋大药房连锁有限公司梅园店,地址：安徽省马鞍山市梅园新村28栋2号底商,电话：0555-2472366,
马鞍山市川洋大药房连锁有限公司乌溪店,地址：安徽省马鞍山市当涂县乌溪镇振兴路中段,电话：0555-6781258,
马鞍山市川洋大药房连锁有限公司师苑店,地址：安徽省马鞍山市花山区名雅居8栋108-1号,电话：0555-8363073,
马鞍山市川洋大药房连锁有限公司佳山店,地址：安徽省马鞍山市花山区大北庄92-5号,电话：0555-2347733,
马鞍山市川洋大药房连锁有限公司新市店,地址：安徽省马鞍山市博望区新市镇中瑞门面房居委会新街10-2号,电话：0555-6141317,
马鞍山市川洋大药房连锁有限公司采秣店,地址：安徽省马鞍山市生化新村8栋101号,电话：0555-8364073,
马鞍山市川洋大药房连锁有限公司花园路店,地址：安徽省马鞍山市瑞祥家园1号楼108号底商,电话：0555-2771228,
马鞍山市川洋大药房连锁有限公司太白店,地址：安徽省马鞍山市当涂县太白镇太白街道,电话：0555-6682010,
马鞍山市川洋大药房连锁有限公司联华店,地址：安徽省马鞍山市红旗南路上海联华超市内,电话：0555-2211049,
马鞍山市川洋大药房连锁有限公司当涂店,地址：安徽省马鞍山市当涂县焦家开发区中段,电话：0555-6743786,
马鞍山市川洋大药房连锁有限公司马军寨店,地址：安徽省马鞍山市当涂县姑孰镇马军寨路150号,电话：0555-6748172,
马鞍山市川洋大药房连锁有限公司关马店,地址：安徽省马鞍山市当涂县姑孰镇关马村,电话：0555-6863347,
马鞍山市川洋大药房连锁有限公司金字塘店,地址：安徽省马鞍山市金家庄区紫金花园12栋101-102,电话：0555-2822878,
马鞍山市川洋大药房连锁有限公司姑山矿店,地址：安徽省马鞍山市当涂县太白镇双梅马坟村15号,电话：0555-6671742,
马鞍山市川洋大药房连锁有限公司花和佳苑店,地址：安徽省马鞍山市花山区湖北东路16号1-101,电话：0555-2815486,
马鞍山市川洋大药房连锁有限公司湖东南路店,地址：安徽省马鞍山市花山区康嘉大景城6-42,电话：0555-8363745,
马鞍山市川洋大药房连锁有限公司龙山桥店,地址：安徽省马鞍山市当涂县太白镇新风街66号门面房,电话：0555-6674654,
马鞍山市川洋大药房紫霞店,地址：安徽省马鞍山市花山区珍珠园七村17栋,电话：0555-2353999,
马鞍山市川洋大药房连锁有限公司艳阳路店,地址：安徽省马鞍山市艳阳路1-4-5,电话：0555-2336177,
马鞍山市川洋大药房连锁有限公司塘南店,地址：安徽省马鞍山市当涂县塘南镇街道,电话：0555-6130840,
马鞍山市川洋大药房连锁有限公司采石店,地址：安徽省马鞍山市雨山区采石芦场小区路,电话：0555-2103698,
马鞍山市川洋大药房连锁有限公司梨苑店,地址：安徽省马鞍山市梨苑新村2栋7-8号,电话：0555-2342218,
马鞍山市川洋大药房连锁有限公司红星店,地址：安徽省马鞍山市花山区红星村31栋,电话：0555-2485038,
合肥德胜药房,地址：安徽省合肥市庐阳区阜阳路与沿河路交口北10米,电话：0551-655252315,
合肥德顺大药房有限公司,地址：安徽省合肥市长江东路1137号安徽圣达国际商贸中心,电话：0551-64693335,
合肥市普德堂大药房有限公司,地址：安徽省合肥市庐阳区宿州路8号商之都负一楼,电话：0551-62629211,
周边药店优化店铺刘翔专用的测试店铺,地址：学院路35号 世宁大厦,电话：无,
六安市平安医药连锁有限公司霍山九店,地址：安徽省六安市霍山县衡山镇诸佛庵中路南潭苑小区29-18号,电话：0564-5103861,
六安市平安医药连锁有限公司梅山华润店,地址：安徽省六安市金寨县梅山镇史河路县委党校北20米,电话：0564-7063608,
六安市平安医药连锁有限公司霍山八店,地址：安徽省六安市霍山县迎驾大道金圆华都2幢108门面,电话：0564-5566080,
六安市平安医药连锁有限公司梅山新桥店,地址：安徽省六安市金寨县梅山镇梅南路,电话：0564-7066306,
六安市平安医药连锁有限公司皖西路店,地址：安徽省六安市皖西路华安新宇1号门面,电话：0564-3218875,
六安市平安医药连锁有限公司霍山六店,地址：安徽省六安市霍山县文峰北路178号附103号门面,电话：0564-5566030,
六安市平安医药连锁有限公司梅山好又多店,地址：安徽省六安市金寨县梅山镇史河路中段（好又多超市内）,电话：0564-7067206,
六安市平安医药连锁有限公司霍山五店,地址：安徽省六安市霍山县大地花园商3幢9-10号门面,电话：0564-5031050,
六安市平安医药连锁有限公司金寨新城总店,地址：安徽省六安市金寨县新城顾梅路凤城小区23号楼1—3号,电话：0564-7353306,
六安市平安医药连锁有限公司霍山四店,地址：安徽省六安市霍山县南岳东路惠民小区安置房3、4号门面,电话：0564-5105756,
六安市平安医药连锁有限公司天盈星城店,地址：安徽省六安市佛子岭路55号104-106铺位,电话：0564-3382880,
六安市平安医药连锁有限公司霍山三店,地址：安徽省六安市霍山县迎驾大道县医院门诊部对门面18-19门面,电话：0564-5105796,
六安市平安医药连锁有限公司商之都店,地址：安徽省六安市解放路徽商小区16、17号,电话：0564-3279986,
六安市平安医药连锁有限公司霍山二店,地址：安徽省六安市霍山县衡山镇嘉星城5号楼101、102商铺,电话：0564-5105786,
六安市平安医药连锁有限公司星汇苑店,地址：安徽省六安市解放北路星汇苑小区3号楼,电话：0564-3681186,
六安市平安医药连锁有限公司霍山一店,地址：安徽省六安市霍山县衡山镇迎驾大道（大圆盘西侧）,电话：0564-5105776,
六安市平安医药连锁有限公司人民路店,地址：安徽省六安市人民路阳光威尼斯北区41号楼102铺,电话：0564-3316456,
六安市平安医药连锁有限公司叶集一店,地址：安徽省六安市叶集改革试验区史河路好又多超市一楼,电话：0564-6368678,
六安市平安医药连锁有限公司东城店,地址：安徽省六安市开发区纬三路东都雅苑32幢116号门面,电话：0564-3341018,
六安市平安医药连锁有限公司北塔店,地址：安徽省六安市解放北路金城华庭1号楼108门面,电话：0564-3231183,
先声再康药业铜陵笔架山药店,地址：安徽省铜陵市笔架山路88号,电话：0562-2885616,
先声再康药业安庆菱湖南路店,地址：安徽省安庆市迎江区菱南路商住楼一层1室（南1、2、3室）,电话：0556-8766006,
先声再康药业安庆任家坡药店,地址：安徽省安庆市王府小区2-14二楼,电话：0556-8761800,
先声再康药业安庆回祥路药店,地址：安徽省安庆市回祥新村综合楼2-14号,电话：0556-5501112,
先声再康药业安庆纺织南路药店,地址：安徽省安庆市纺织南路42-44号,电话：0556-5501579,
安徽立方连锁药房文昌路店,地址：安徽省合肥市庐江县庐城镇育才花园10栋128-129室,电话：0551-65981027,
安徽立方连锁药房金色池塘店,地址：安徽省合肥市樊洼路金色池塘小区三期3D-28号商铺,电话：0551-65328318,
安徽立方连锁药房二院店,地址：安徽省合肥市铜陵路与大通路交口万和新城广场,电话：0551-65981704,
安徽立方连锁药房阜阳北路店,地址：安徽省合肥市阜阳北路与龙潭桥路交口阳光帝景小区商铺(阜阳北路400号）,电话：0551-65524311,
安徽立方连锁药房怀宁路店,地址：安徽省合肥市蜀山区大溪地现代城商住楼106号门面,电话：0551-65981411,
安徽立方连锁药房龙泉西路店,地址：安徽省合肥市肥东县龙泉西路原老仪表厂西侧三间门面,电话：0551-67755611,
安徽立方连锁药房杏林花园店,地址：安徽省合肥市阜阳路杏林花园北区33栋108号（阜阳路与固镇陆交口往东）,电话：0551-65538637,
安徽立方连锁药房淝河路店,地址：安徽省合肥市包河区铜陵路与淝河路交口,电话：0551-67688696,
安徽立方连锁药房龙泉东路店,地址：安徽省合肥市肥东县店埠镇定光居委会定西村民组,电话：0551-67720711,
安徽立方连锁药房三里街店,地址：安徽省合肥市长江东路855号1栋108室,电话：0551-64231063,
安徽立方连锁药房合裕路店,地址：安徽省合肥市唐桥钢材市场37、38、39门面（红旗建材市场正对面）,电话：0551-64259520,
安徽立方连锁药房东流路店,地址：安徽省合肥市东流路19号1栋105-106号门面,电话：0551-63422183,
安徽立方连锁药房撮镇店,地址：安徽省合肥市肥东撮镇义之和街7栋153号,电话：0551-67600711,
安徽立方连锁药房塔山东路店,地址：安徽省合肥市庐江县庐城镇军二中路工行巷61号1栋,电话：0551-87313321,
安徽立方连锁药房庐江一店,地址：安徽省合肥市庐江县庐城镇文昌路以北老自来水厂东100米,电话：0551-87428888,
安徽立方连锁药房新文彩店,地址：安徽省合肥市新文彩花园1东区106店面,电话：0551-65894627,
安徽立方连锁药房人民路店,地址：安徽省合肥市肥东县店埠镇人民路青春苑小区108、109号,电话：0551-67703778,
安徽立方连锁药房龚大塘店,地址：安徽省合肥市张洼路与凤台路交叉口好实惠超市内,电话：0551-64393681,
安徽立方连锁药房清溪路店,地址：安徽省合肥市长丰路与清溪路交叉口军转门面,电话：0551-65152661,
安徽立方连锁药房龙岗店,地址：安徽省合肥市龙岗开发区朱小郢1栋108、109室,电话：0551-67696711,
安徽立方连锁药房站塘路店,地址：安徽省合肥市瑶海区站塘路瑞园小区1-2#楼商业,电话：0551-64319641,
安徽立方连锁药房塘杨路店,地址：安徽省合肥市肥东塘杨路综合楼,电话：0551-67711475,
安徽立方连锁药房湖光路店,地址：安徽省合肥市蜀山区新产业园红皖路与湖光路交叉福乐家超市内,电话：0551-65746832,
安徽立方连锁药房新安江店,地址：安徽省合肥市瑶海区新安江支路合家福超市静安新城店一层门面,电话：0551-67675219,
安徽立方连锁药房兴园店,地址：安徽省合肥市高新区海棠路兴园小区62-103,电话：0551-65329296,
安徽立方连锁药房石塘路店,地址：安徽省合肥市肥东店埠镇石塘路刘墩村河院队175号,电话：0551-67759665,
安徽立方连锁药房碧桂园店,地址：安徽省合肥市肥东县龙泉路碧桂园合家福超市,电话：0551-67759219,
安徽立方连锁药房芙蓉路店,地址：安徽省合肥市芙蓉路689号翠微苑二期15栋,电话：0551-63693180,
安徽立方连锁药房亳州路店,地址：安徽省合肥市亳州路307号盛世花园2号楼门面,电话：0551-65631123,
安徽立方连锁药房上城国际,地址：安徽省合肥市庐阳区上城国际樱花苑1栋商114室,电话：0551-64202509,
安徽立方连锁药房龙岗二店,地址：安徽省合肥市龙岗开发区史城村史城组,电话：0551-67679711,
安徽立方连锁药房青年城店,地址：安徽省合肥市始信路青年公寓1号2栋商业103,电话：0551-63849529,
安徽立方连锁药房城关店,地址：安徽省合肥市肥东好又多购物广场收银台前通道处,电话：0551-67757558,
安徽立方连锁药房方桥店,地址：安徽省合肥市瑶海工业园纬D路方桥新镇社区25栋1楼,电话：0551-64394726,
安徽立方连锁药房通达路店,地址：安徽省合肥市瑶海区军民路恢复楼105、106号,电话：0551-67673131,
安徽立方连锁药房玉兰苑店,地址：安徽省合肥市瑶海区龙岗玉兰苑路口,电话：0551-67671578,
安徽立方连锁药房元一名城店,地址：安徽省合肥市新站区临泉路元一名城C-53商110,电话：0551-64264176,
安徽省宣城康宁医药仙霞镇药店,地址：安徽省宣城市仙霞镇,电话：0563-4731539,
安徽省宣城康宁医药郎溪苏果店,地址：安徽省宣城市郎溪苏果超市,电话：0563-7600700,
安徽省宣城康宁医药南陵六福二店,地址：安徽省芜湖市永辉超市旁边,电话：0553-6828716,
安徽省宣城康宁医药绿宝店,地址：安徽省宣城市宁城北路锦苑广场12栋106号,电话：0563-4112258,
安徽省宣城康宁医药南陵六福店,地址：安徽省芜湖市南陵苏果超市,电话：0553-6837059,
安徽省宣城康宁医药宁墩路店,地址：安徽省宣城市中鼎公寓门口,电话：0563-4026628,
安徽省宣城康宁医药宁阳公园店,地址：安徽省宣城市宁阳公园旁边,电话：0563-4455559,
安徽省宣城康宁医药广德三店,地址：安徽省宣城市广德县团结路B区,电话：0563-6846160,
安徽省宣城康宁医药广德二店,地址：安徽省宣城市广德县县医院门口,电话：0563-6088183,
安徽省宣城康宁医药宁广路店,地址：安徽省宣城市宁广路东津商厦1幢116-117号,电话：0563-4024881,
安徽省宣城康宁医药广德一店,地址：安徽省宣城市广德县万桂山路31栋2-4号,电话：0563-6091618,
安徽省宣城康宁医药广德桃园药房,地址：安徽省宣城市广德县桃州镇桃州南路东,电话：0563-6817750,
安徽省宣城康宁医药郎溪涛峰路店,地址：安徽省宣城市郎溪县建平镇涛峰58号,电话：0563-7600100,
安徽省宣城康宁医药广德横山南路店,地址：安徽省宣城市广德县横山南路东17幢15-16号 ,电话：0563-6683168,
安徽省宣城康宁医药广德大店,地址：安徽省宣城市广德县桃州南路46号,电话：0563-6026691,
安徽省宣城康宁医药兴盛苑店,地址：安徽省宣城市城关幼儿园斜对面,电话：0563-4013399,
安徽省宣城康宁医药中溪镇药店,地址：安徽省宣城市中溪镇,电话：0563-4675219,
安徽省宣城康宁医药宁城南路店,地址：安徽省宣城市宁中高中部对面 ,电话：0563-4133040,
安徽省宣城康宁医药津河路店,地址：安徽省宣城市宁国市红鹰房产5-7号市工行右侧,电话：0563-4112247,
安徽省宣城康宁医药青龙东路店,地址：安徽省宣城市青龙东路,电话：0563-4171628,
安徽省宣城康宁医药宥安店,地址：安徽省宣城市清华路荷香嘉苑门面房,电话：0563-4026236,
安徽省宣城康宁医药山门南路店,地址：安徽省宣城市宁国市丰盛苑转角4号水利局对面,电话：0563-4180505,
安徽省宣城康宁医药清华苑店,地址：安徽省宣城市清华苑小区3幢11号门面房,电话：0563-4022380,
安徽省宣城康宁医药中溪路店,地址：安徽省宣城市宁国市中溪北路三鼎阳光楼5-8号门面,电话：0563-4034690,
安徽省宣城康宁医药北园路店,地址：安徽省宣城市津园村对面,电话：0563-4033566,
安徽省宣城康宁医药宁城北路店,地址：安徽省宣城市宁国市宁城北路东侧（敬亭第一楼对面）,电话：0563-4116758,
安徽省宣城康宁医药宁川西路店,地址：安徽省宣城市宁国市宁川西路与山门路交界处,电话：0563-4022587,
安徽省宣城康宁医药东风路店,地址：安徽省宣城市宁国市老美食街13-19号市医院西门对面,电话：0563-4026688,
安徽省宣城康宁医药宁川路店,地址：安徽省宣城市城西路109号原胡仲景药房,电话：0563-4026278,
安徽省宣城康宁医药宁阳西路店,地址：安徽省宣城市宁国市宁阳西路豪辰丽景门面房1020-1021号 ,电话：0563-4171758,
安徽省宣城康宁医药凤形路店,地址：安徽省宣城市宁国市医院西区斜对面,电话：0563-4175912,
安徽省宣城康宁医药宁阳东路店,地址：安徽省宣城市宁国市宁阳东路津东小区1幢110号,电话：0563-4021508,
安徽省宣城康宁医药东岸路店,地址：安徽省宣城市宁国市健康大楼对面,电话：0563-4110282,
安徽省宣城康宁医药柳春堂店,地址：安徽省宣城市宁国市凤形路与后弄巷交叉口市医院西区正对面,电话：0563-4175280,
安徽省宣城康宁医药宁阳路店,地址：安徽省宣城市宁国市宁阳路台客隆超市旁,电话：0563-4022169,
