重庆全兴药房金龙路分店,地址：重庆市渝北区龙溪镇金龙路242号,电话：023-67607175,
重庆全兴药房界石分店,地址：重庆市巴南区界石镇界新街58号附3号,电话：023-66410947,
重庆全兴药房白马凼店,地址：重庆市九龙坡区白马凼101号,电话：023-68790059,
重庆全兴药房忠县分店,地址：重庆市忠县三峡枫时代购物广场7号,电话：023-54233058,
重庆全兴药房道门口店,地址：重庆市渝中区道门口16号A栋,电话：023-63770393,
重庆全兴药房青木关分店,地址：重庆市沙坪坝区青木关镇原老农贸市场,电话：023-65604794,
重庆全兴药房大渡口二店,地址：重庆市大渡口区九宫庙街道八桥街1栋9号、11号,电话：023-68929577,
重庆全兴药房工人村店,地址：重庆市沙坪坝区教改村61号,电话：023-65420807,
重庆全兴药房北碚分店,地址：重庆市北碚碚峡西路2号附4号,电话：023-68296585,
重庆全兴药房花卉园店,地址：重庆市渝北区龙溪街道花卉园西路12号1幢1-8,电话：023-67612965,
重庆全兴药房黔江一店,地址：重庆市黔江区新华东路新禹苑,电话：023-79223776,
重庆全兴药房沙北分店,地址：重庆市沙坪坝区沙北街88-3-22号,电话：023-65409642,
重庆全兴药房观音桥二店,地址：重庆市江北区杨河二村二号,电话：023-67733130,
重庆全兴药房江津分店,地址：重庆市江津区几江大同路438号,电话：023-47524768,
重庆全兴药房高新区店,地址：重庆市九龙坡高新区石新路23-9号,电话：023-68625684,
重庆全兴药房綦江分店,地址：重庆市綦江古南镇石佛岗22号,电话：023-48668990,
重庆全兴药房荣昌分店,地址：重庆市荣昌县昌元镇西大街商住楼1幢4号门面,电话：023-46792386,
重庆全兴药房学田湾店,地址：重庆市渝中区学田湾正街53号,电话：023-63602823,
重庆全兴药房李家沱二店,地址：重庆市巴南区李家沱马王坪正街47号3号门面,电话：023-62403795,
重庆全兴药房南坪分店,地址：重庆市南岸区南坪东路37号,电话：023-62964385,
重庆全兴药房解放碑店,地址：重庆市渝中区民生大厦181号平街层,电话：023-63702019,
重庆全兴药房李家沱店,地址：重庆市巴南区李家沱正街160号临街门面,电话：023-62856833,
重庆全兴药房五里店店,地址：重庆市江北区建新东路286号负三层E区,电话：023-67720770,
重庆全兴药房龙水分店,地址：重庆市大足龙水镇新龙水广场底楼38-42、54-68、72-75号,电话：023-43627298,
重庆全兴药房空港分店,地址：重庆市渝北空港大道345号金易上品源1、2幢裙房幢1-11,电话：023-67189663,
重庆全兴药房永川二店,地址：重庆市永川萱花路163号,电话：023-49875350,
重庆全兴药房小龙坎店,地址：重庆市沙坪坝区小龙坎下街86-13号,电话：023-65311679,
重庆全兴药房彭水分店,地址：重庆市彭水县北大街江北派出所办公楼门面4、5号,电话：023-78493245,
重庆全兴药房七星岗店,地址：重庆市渝中区纯阳洞1、2号同属中一支路54-72号,电话：023-63512676,
重庆全兴药房两路分店,地址：重庆市渝北区双凤桥街道渝长路14号,电话：023-67812765,
重庆全兴药房璧山一店,地址：重庆市壁山县壁城街道向阳街农贸市场一楼24、25、26号门面,电话：023-41698531,
重庆全兴药房石桥铺店,地址：重庆市九龙坡区石桥铺石杨路17号附9号,电话：023-68192217,
重庆全兴药房杨家坪店,地址：重庆市九龙坡区杨家坪新胜一村荣州苑负一层商场,电话：023-68654856,
重庆全兴药房潼南西市场店,地址：重庆市潼南梓潼街道办事处东安大道67号（天元商贸城1-1幢）,电话：023-44562916,
重庆全兴药房大坪分店,地址：重庆市渝中区长江二路46号附2号,电话：023-68708102,
重庆全兴药房永川一店,地址：重庆市永川渝西光华世纪广场新华楼一层3-7号,电话：023-49881826,
重庆全兴药房永川四店,地址：重庆市永川区人民西路华创•渝西新天地一期商业街一层商铺8-29、30、31号,电话：023-49581312,
重庆全兴药房观音桥店,地址：重庆市江北建新东路10号,电话：023-67851157,
重庆全兴药房长寿分店,地址：重庆市长寿向阳路30号20-25号门面,电话：023-40253718,
重庆全兴药房万盛店,地址：重庆市万盛区万新路30、36、38号（尚科•上城一期临街一层1号商铺）,电话：023-48264770,
重庆全兴药房观音桥三店,地址：重庆市江北区嘉陵三村311号,电话：023-67701838,
重庆全兴药房弹子石店,地址：重庆市南岸区弹子石卫国路38号,电话：023-62504401,
重庆全兴药房合川一店,地址：重庆市合川市瑞山路1号（合州大酒店4号门面）,电话：023-42834196,
重庆全兴药房渔洞分店,地址：重庆市巴南区下河路平街层A幢13号,电话：023-66231226,
重庆全兴药房和平路店,地址：重庆市渝中区和平路156号“石油大厦”平街9、10号门面,电话：023-63802026,
重庆琪宏宏声桥大药房丰都十一店,地址：重庆市丰都县外贸小区公交车站旁,电话：023-70615525,
重庆琪宏宏声桥大药房丰都二店,地址：重庆市丰都县三合街道平都大道147号,电话：023-70704717,
重庆琪宏宏声桥大药房丰都十店,地址：重庆市丰都县开心超市对面,电话：023-70618398,
重庆琪宏宏声桥大药房丰都一店,地址：重庆市丰都县三合街道平都大道西段249号附3号,电话：023-70728873,
重庆琪宏宏声桥大药房丰都九店,地址：重庆市丰都县三合街道雪玉路193号,电话：023-70721547,
重庆琪宏医药涪陵宏声桥三十九店,地址：重庆市涪陵区李渡新区杨二坪社区,电话：023-72205532,
重庆琪宏宏声桥大药房丰都八店,地址：重庆市丰都县名山街道花园街58号,电话：023-70712284,
重庆琪宏医药涪陵宏声桥三十八店,地址：重庆市涪陵区李渡新区聚龙大道168号C-27、C-28门面,电话：023-72105027,
重庆琪宏宏声桥大药房丰都七店,地址：重庆市丰都县三合街道商业一路268号,电话：023-70722382,
重庆琪宏医药涪陵宏声桥三十七店,地址：重庆市涪陵区人民西路37号（13-14轴门面）,电话：023-72255926,
重庆琪宏宏声桥大药房丰都六店,地址：重庆市丰都县三合街道平都大道西段244、246号,电话：023-70722260,
重庆琪宏医药涪陵宏声桥三十六店,地址：重庆市涪陵区实验路3号（就业大厦）1-4,电话：023-72252234,
重庆琪宏宏声桥大药房丰都五店,地址：重庆市丰都县三合街道南天湖中路25号附12-13号,电话：023-70618128,
重庆琪宏医药涪陵宏声桥三十五店,地址：重庆市涪陵区滨江大道二段58号,电话：023-72270661,
重庆琪宏宏声桥大药房丰都四店,地址：重庆市丰都县三合街道平都大道东段183号,电话：023-70711500,
重庆琪宏医药涪陵宏声桥三十四店,地址：重庆市涪陵区南门山,电话：023-72281123,
重庆琪宏宏声桥大药房丰都三店,地址：重庆市丰都县三合街道庙坡路22号,电话：023-70731202,
重庆琪宏医药涪陵宏声桥三十三店,地址：重庆市涪陵区兴华西路2号1、2层31号,电话：023-72886180,
重庆琪宏医药涪陵宏声桥三十二店,地址：重庆市涪陵区顺江大道2号,电话：023-72250112,
重庆琪宏医药涪陵宏声桥三十一店,地址：重庆市涪陵区广场路56号,电话：023-72205148,
重庆琪宏医药涪陵宏声桥三十店,地址：重庆市涪陵区黎明路51号,电话：023-72218213,
重庆琪宏医药涪陵宏声桥二十一店,地址：重庆市涪陵区黎明南路黎明六组（三爱海陵花园)8幢1-1,电话：023-72866135,
重庆琪宏医药涪陵宏声桥二十九店,地址：重庆市涪陵区望州路11号附3号,电话：023-72250046,
重庆琪宏医药涪陵宏声桥二十店,地址：重庆市涪陵区人民西路43号,电话：023-72221817,
重庆琪宏医药涪陵宏声桥十一店,地址：重庆市涪陵区巴都东路26号,电话：023-72370968,
重庆琪宏医药涪陵宏声桥二十八店,地址：重庆市涪陵李渡马鞍社区居委三组1幢1-2、1-5门面,电话：023-72182822,
重庆琪宏医药涪陵宏声桥十九店,地址：重庆市涪陵区望州路（原潘家坡建涪四组和八组之间）,电话：023-72221961,
重庆琪宏医药涪陵宏声桥十店,地址：重庆市涪陵区滨江路滨江国际A1栋4号门面,电话：023-72232507,
重庆琪宏医药涪陵宏声桥二十七店,地址：重庆市涪陵区建涪路48号9幢1-9,电话：023-72227204,
重庆琪宏医药涪陵宏声桥十八店,地址：重庆市涪陵区育才路11号,电话：023-72225105,
重庆琪宏医药涪陵宏声桥九店,地址：重庆市涪陵区顺江花园香江苑A、B层门面,电话：023-72303000,
重庆琪宏医药涪陵宏声桥五店,地址：重庆市涪陵区黎明路32号,电话：023-72873380,
重庆琪宏医药涪陵宏声桥十七店,地址：重庆市涪陵区黎明西路黎明四组（黎都大厦）,电话：023-72865101,
重庆琪宏医药涪陵宏声桥二十六店,地址：重庆市涪陵区四环路太极大道64号,电话：023-72251473,
重庆琪宏医药涪陵宏声桥八店,地址：重庆市涪陵区太极大道10号宏泰商城1-16号,电话：023-72866218,
重庆琪宏医药涪陵宏声桥二十五店,地址：重庆市涪陵区黎明路13号1-2号门面,电话：023-72251471,
重庆琪宏医药涪陵宏声桥十六店,地址：重庆市涪陵区人民西路96号,电话：023-72888482,
重庆琪宏医药涪陵宏声桥七店,地址：重庆市涪陵区兴华中路22号,电话：023-72230634,
重庆琪宏医药涪陵宏声桥十五店,地址：重庆市涪陵区兴华东路55号,电话：023-72260548,
重庆琪宏医药涪陵宏声桥二十四店,地址：重庆市涪陵区人民西路36号,电话：023-72259919,
重庆琪宏医药涪陵宏声桥二十三店,地址：重庆市涪陵区南门山广场路5号,电话：023-72220187,
重庆琪宏医药涪陵宏声桥十四店,地址：重庆市涪陵区兴华西路13号,电话：023-72869228,
重庆琪宏医药涪陵宏声桥四店,地址：重庆市涪陵区黎明路1号,电话：023-72235094,
重庆琪宏医药涪陵宏声桥二十二店,地址：重庆市涪陵区兴华东路顺江安置房A栋1-2号,电话：023-72230073,
重庆琪宏医药涪陵宏声桥十三店,地址：重庆市涪陵区体育南路26号1栋10-1,电话：023-72371581,
重庆琪宏医药涪陵宏声桥十二店,地址：重庆市涪陵区兴华西路金穗香榭8号,电话：023-72228171,
重庆琪宏医药涪陵宏声桥六店,地址：重庆市涪陵区兴华中路81号,电话：023-72280212,
重庆琪宏医药涪陵宏声桥三店,地址：重庆市涪陵区滨江大道二段8号涪陵客运中心。香江豪庭3号楼1-2,电话：023-72242393,
重庆琪宏医药涪陵宏声桥一店,地址：重庆市涪陵区人民西路47号,电话：023-72223863,
重庆宏声桥大药房李家沱二店,地址：重庆市巴南区李家沱马王坪正街道2号附11号,电话：023-62599925,
重庆宏声桥大药房鱼洞店,地址：重庆市巴南区鱼洞巴县大道55号-1、2、3号,电话：023-66237376,
重庆宏声桥大药房谢家湾万象城店,地址：重庆市九龙坡区谢家湾正街55号21幢1-6、1-7,电话：023-68126178,
重庆宏声桥大药房渝北旗舰店,地址：重庆市渝北区双龙湖街道双龙大道258号1栋1-2,电话：023-67341375,
重庆琪宏医药涪陵宏声桥二店,地址：重庆市涪陵区清溪沟金瑞大厦A1门面,电话：023-72266783,
重庆宏声桥大药房陈家坪花市店,地址：重庆市九龙坡陈家坪南花街765、763号,电话：023-68529266,
重庆宏声桥大药房45店,地址：重庆市沙坪坝区台湾花园菜市场1楼肉市旁,电话：023-68659463,
重庆宏声桥大药房直港大道店,地址：重庆市九龙坡区杨家坪直港大道天宝新城商住楼A栋3-1-1号,电话：023-68171949,
重庆宏声桥大药房曾家2店,地址：重庆市沙坪坝区曾家镇中兴街33号,电话：023-65233824,
重庆宏声桥大药房渝碚路店,地址：重庆市沙坪坝区向乐村工商局对面,电话：023-65624775,
重庆宏声桥大药房324店,地址：重庆市江北区建新东路324医院斜对面,电话：023-67123702,
重庆宏声桥大药房,地址：重庆市巴南区李家沱新坪村128号,电话：023-6832685,
重庆宏声桥大药房天星桥店,地址：重庆市沙坪坝区天星桥正街40-8、40-9号,电话：023-65161450,
重庆宏声桥大药房陈青路店,地址：重庆市沙坪坝区陈家桥陈青路129号,电话：无,
重庆宏声桥大药房茶园长生店,地址：重庆市南岸区长生路46号附8号,电话：023-62516334,
重庆宏声桥大药房曾家店,地址：重庆市沙坪坝区曾家镇五里冲村1社,电话：023-65755465,
重庆宏声桥大药房学田湾店,地址：重庆市渝中区上清寺学田湾,电话：023-63038175,
重庆宏声桥大药房陈家桥店,地址：重庆市沙坪坝区陈家桥农贸市场右行100米,电话：023-65268664,
重庆宏声桥大药房龙永街店,地址：重庆市渝北区龙湖街道龙永街,电话：023-67214244,
重庆宏声桥大药房华宇名都店,地址：重庆市九龙坡区石桥铺华宇名都46号,电话：023-68446263,
重庆宏声桥大药房沙中路店,地址：重庆市沙坪坝区沙中路电网营业厅上行100米,电话：023-65330930,
重庆宏声桥大药房半月楼店,地址：重庆市沙坪坝区沙杨路67号附18号,电话：023-65469029,
重庆宏声桥大药房红旗河沟店,地址：重庆市渝北区红锦大道19号,电话：023-63087216,
重庆宏声桥大药房地博春天店,地址：重庆市九龙坡区石坪桥正街12号附1-6,电话：023-68660498,
重庆宏声桥大药房石坪桥店,地址：重庆市九龙坡区石坪桥横街附6号,电话：023-68824523,
重庆宏声桥大药房上清寺店,地址：重庆市渝中区中山三路165号,电话：023-63631755,
重庆宏声桥大药房农贸市场店,地址：重庆市沙坪坝区陈家桥镇沿河北路51号,电话：023-65832805,
重庆宏声桥大药房白马凼店,地址：重庆市九龙坡区石小路187号,电话：023-68693169,
重庆宏声桥大药房曾家旗舰店,地址：重庆市沙坪坝区曾家镇中兴街135-1号,电话：023-65359713,
重庆宏声桥大药房石桥铺店,地址：重庆市九龙坡区石桥铺17号1-6,电话：023-68108627,
重庆宏声桥大药房江北新竹路店,地址：重庆市江北区兴竹路68号附2号,电话：023-67727916,
重庆宏声桥大药房龙湖西苑店,地址：重庆市渝北区龙山街道新南路219号,电话：023-67629277,
重庆宏声桥大药房步行街店,地址：重庆市大渡口区松青路1046号4幢1-11,电话：023-68906693,
重庆宏声桥大药房热水瓶厂店,地址：重庆市九龙坡高新区陈家坪石杨村一号,电话：023-68856973,
重庆宏声桥大药房松树桥店,地址：重庆市渝北区龙溪镇武陵路162号,电话：023-67562663,
重庆宏声桥大药房杨家坪土坝子店,地址：重庆市九龙坡区石坪桥五一新村16幢1-10号,电话：023-68171769,
重庆宏声桥大药房李家沱店,地址：重庆市巴南区李家沱马王坪正街道27号附7号、8号,电话：023-62864897,
重庆宏声桥大药房嘉陵三村店,地址：重庆市江北区建新西路81号,电话：023-67861542,
重庆宏声桥大药房元佳广场店,地址：重庆市江北区大石坝元佳广场永辉超市出口,电话：023-67930402,
重庆宏声桥大药房金岛花园店,地址：重庆市渝北区龙溪街道松石大道56号,电话：023-67906853,
重庆宏声桥大药房石碾盘店,地址：重庆市沙坪坝区天陈路54号重庆市,电话：023-65335221,
重庆宏声桥大药房建专店,地址：重庆市沙坪坝区渝培路街135号附1-3,电话：023-65468220,
重庆真善美药房金开店,地址：重庆市渝北区金开大道355号1-8,电话：无,
重庆真善美药房173店,地址：重庆市渝北区高新园人和雪松路2号中兴渝景苑22号门面,电话：023-63053470,
重庆真善美药房南川一店,地址：重庆市南川区南城街道办事处南大街7号第4、5号门市,电话：023-71432819,
重庆真善美药房鲁能店,地址：重庆市渝北区龙塔街道渝鲁大道737号鲁能星城三街区4幢1-10号,电话：023-63088472,
重庆真善美药房大坪二店,地址：重庆市渝中区煤建新村91号第一层附7#、附8#,电话：023-63860692,
重庆真善美药房璧山三店,地址：重庆市璧山县璧城街道沿河西路北段1幢32-11,39号,电话：023-41639391,
重庆真善美药房大渡口三店,地址：重庆市大渡口区春晖路街道松青路1048号翠云街18号1-1-18,电话：023-86687301,
重庆真善美药房双福二店,地址：重庆市江津区双福镇罗盘村2组,电话：023-47777998,
重庆真善美药房回兴二店,地址：重庆市渝北区回兴街道服装城大道48号附2号国际家纺城2区3幢附85,86号,电话：023-67287862,
重庆真善美药房双碑店,地址：重庆市沙坪坝区双碑九重锦1号楼1A-24号,电话：023-65218427,
重庆真善美药房西彭店,地址：重庆市九龙坡区南彭镇南城小区11幢25号、26号、27号,电话：023-68445976,
重庆真善美药房盘龙花园店,地址：重庆市南岸区涂山镇藤黄路30号14栋附27-2、28-2号商铺,电话：023-62509454,
重庆真善美药房真福店,地址：重庆市沙坪坝区曾家镇曾福路7号附22、23号,电话：023-88219719,
重庆真善美药房大湾店,地址：重庆市江北区桥北苑5号附1-1号,电话：023-88798075,
重庆真善美药房英利店,地址：重庆市渝中区大坪支路18号1、2单元裙楼1-商业5、6号,电话：023-63300770,
重庆真善美药房陈家桥二店,地址：重庆市沙坪坝区陈家桥镇政府集资大楼一楼,电话：无,
重庆真善美药房江津六店,地址：重庆市江津区珞璜镇华兴路192#194#196#,电话：023-61087138,
重庆真善美药房诗情路店,地址：重庆市大渡口区八桥镇诗情路1号独立1号,电话：无,
重庆真善美药房江津瑞跃店,地址：重庆市江津区几江菜市街建委综合楼,电话：023-47216832,
重庆真善美药房国奥村店,地址：重庆市江北区石马河国惠路26号,电话：023-62809399,
重庆真善美药房南川三店,地址：重庆南川区南城街道办事处南园路69号香格里拉花园11号楼负1-1，,2-1,电话：023-71432003,
重庆真善美药房永川四店,地址：重庆市永川区中山大道西段218、220号,电话：023-49380078,
重庆真善美药房江津云辉店,地址：重庆市江津区几江镇三倒拐2号楼,电话：023-47216883,
重庆真善美药房江津五店,地址：重庆市江津区几江蒲草田片区奎星广场D-1幢7号门面,电话：无,
重庆真善美药房奥园三店,地址：重庆渝北区金童路201号、203号,电话：023-62949728,
重庆真善美药房回兴三店,地址：重庆市渝北区渝航路39号,电话：023-67284674,
重庆真善美药房江津双福店,地址：重庆市江津区双福街道双清路1号福成中央一期工程A2幢1-20、21号,电话：023-47289300,
重庆真善美药房南川二店,地址：重庆市南川区南大街95号平街层9号门面,电话：023-71432859,
重庆真善美药房永川三店,地址：重庆市永川区昌州大道316号,电话：023-85379826,
重庆真善美药房直港大道店,地址：重庆市九龙坡区杨家坪直港大道26号3幢1-38#,电话：023-68198491,
重庆真善美药房鱼洞店,地址：重庆市巴南区鱼洞新农街65-4、6号,电话：023-86530456,
重庆真善美药房杨家坪元涛店,地址：重庆市九龙坡区杨家坪西郊路3号负一层1-1、1-2号,电话：023-68152550,
重庆真善美药房人和店,地址：重庆市渝北区金开大道70号L1层13号,电话：023-67640390,
重庆真善美药房奥园二店,地址：重庆市渝北区金童路9号附16、17号,电话：023-63206427,
重庆真善美药房回兴店,地址：重庆市渝北区回兴兴科大道299号(水木年华)SP1\\\\3\\\\5-10,电话：023-67815089,
重庆真善美药房璧山二店,地址：重庆市璧山县青杠街道民安街93、95、97号门市,电话：023-41406943,
重庆真善美药房璧山一店,地址：重庆市璧山县壁泉街道文星路277号2、3、4号门面,电话：023-41660214,
重庆真善美药房永川二店,地址：重庆市永川区渝西大道中段1533号阳光花园B1栋7-8号,电话：023-49862751,
重庆真善美药房永川一店,地址：重庆市永川区红河大道116号附1-23到26号商铺,电话：023-49784078,
重庆真善美药房陈家桥店,地址：重庆市沙坪坝区陈家桥镇陈东路EF幢1单元2层50-51号,电话：023-65761839,
重庆真善美药房二郎店,地址：重庆市九龙坡区科城路99号3幢51号,电话：023-86972951,
重庆真善美药房华新街店,地址：重庆市江北区建新南路18号城市领地附71号,电话：023-67708572,
重庆唐氏药业有限公司金山路店,地址：重庆市金山路146号附8号,电话：023-86854898,
重庆唐氏药业有限公司五江路店,地址：重庆市五江路14号附25号,电话：023-67721385,
重庆唐氏大药房连锁有限公司鱼洞店,地址：重庆市巴南区新农街85号-1号（华联超市内108号商铺）,电话：023-63656816,
重庆唐氏药业有限公司渝州路分店,地址：重庆市九龙坡区渝州路51-23号,电话：023-63658816,
重庆唐氏药业有限公司天辰美苑店,地址：重庆市大渡口区春晖路街道E37-4、02.E37-6、02地块,电话：023-68150763,
重庆唐氏药业有限公司大田坝店,地址：重庆市南岸区芭蕉湾71号附2号（大田坝街）,电话：023-66218739,
重庆唐氏药业有限公司民主新村店,地址：重庆市巴南区花溪镇民主新村14栋,电话：023-66288939,
重庆唐氏药业有限公司中山北路店,地址：重庆市璧山县中山北路84号,电话：023-67958083,
重庆唐氏药业有限公司大渡口区中心店,地址：重庆市大渡口区春晖路69号,电话：023-68958186,
重庆唐氏药业有限公司兴隆街店,地址：重庆市兴隆街3号附4、6号,电话：023-63850460,
重庆唐氏药业有限公司渝南分店,地址：重庆市巴南区渝南大道108号（巴蜀怡苑3号楼）,电话：023-62590823,
重庆唐氏药业有限公司新农街店,地址：重庆市巴南区鱼洞新农街18号2栋1-1号,电话：023-66216739,
重庆唐氏药业有限公司鸳鸯分店,地址：重庆市北部新区经开园鸳鸯北路33号12栋173号跃1号,电话：023-67309287,
重庆唐氏药业有限公司黄泥磅店,地址：重庆市渝北区龙溪街道黄泥磅荷塘路11号门面,电话：023-67985083,
渝北区龙溪街道唐氏正兰药店,地址：重庆市渝北区龙溪街道新牌坊一路349号香山花园B区4幢1-3,电话：023-67521028,
重庆唐氏药业有限公司中梁山分店,地址：重庆市九龙坡区中梁山田坝一村17号附7号,电话：023-65255515,
重庆唐氏药业有限公司新牌坊分店,地址：重庆市渝北区新牌坊一路30号,电话：023-67520931,
重庆唐氏药业有限公司同心家园店,地址：重庆市九龙坡朝阳路106号、27号门面的一部分（既临26号门面一半宽度）,电话：023-68409340,
重庆唐氏药业有限公司六店子分店,地址：重庆市九龙坡区渝州路街道六店子区13号附5号,电话：023-68488503,
重庆唐氏药业有限公司桥北苑分店,地址：重庆市江北区桥北苑5号（附1号一层L-B、10-12）,电话：023-67721385,
重庆唐氏药业有限公司袁家岗店,地址：重庆市九龙坡区谢家湾正街11栋第一层8#,电话：023-60845948,
重庆唐氏药业有限公司兰花小区分店,地址：重庆市高新区兰花一小区1号附28、29号,电话：023-68194280,
重庆唐氏药业有限公司铜元局分店,地址：重庆市南岸区铜元局大田坝1号,电话：023-62319857,
重庆唐氏药业有限公司花园新村店,地址：重庆市渝北区龙溪街道松石北路107号,电话：023-67794658,
重庆唐氏药业有限公司奥韵路分店,地址：重庆市九龙坡区奥韵路2号2栋奥体运动街125号,电话：023-68055210,
重庆唐氏药业有限公司回龙湾店,地址：重庆市经开区回龙路66号1栋附3号,电话：023-62967661,
重庆唐氏药业有限公司璧山六店,地址：重庆市璧山区璧城街道璧兴路63号-12号,电话：023-41420676,
重庆唐氏药业有限公司红旗河沟店,地址：重庆市江北区红锦大道1号理想大厦A栋1楼3号,电话：023-67517350,
重庆唐氏药业有限公司石坪桥二店,地址：重庆市九龙坡区石坪桥正街25号1栋1#门面,电话：023-68658422,
重庆唐氏药业有限公司万寿路店,地址：重庆市南岸区南坪街道万寿二村1-2层,电话：023-62757611,
重庆唐氏药业有限公司璧山四店,地址：重庆市璧山县璧城镇中山北路104、106号,电话：023-41660281,
重庆唐氏药业有限公司建北分店,地址：重庆市江北区建北四支路4号信一金典2-1、2-2、2-3、2-4号,电话：023-86878698,
重庆唐氏药业有限公司石坪桥分店,地址：重庆市九龙坡区石坪桥正街83号附4号,电话：023-68662653,
重庆唐氏药业有限公司长生桥店,地址：重庆市南岸区长生桥镇长生路9号附27-28号,电话：023-62457319,
重庆唐氏药业有限公司璧山五店,地址：重庆市璧山县壁泉街道文星路277号附14号,电话：023-41438159,
重庆唐氏药业有限公司丽景花园店,地址：重庆市九龙坡区华庆路9号10幢3号商铺,电话：023-65660661,
重庆唐氏药业有限公司兰花一店,地址：重庆市九龙坡区石桥镇兰花小区699号,电话：023-68648056,
