齐齐哈尔齐泰医药红星分店,地址：黑龙江省齐齐哈尔市龙沙区民意路63号,电话：0452-2831117,
哈尔滨百年一辰新地店,地址：黑龙江省哈尔滨市哈市香坊区新地街106号顺水小区1栋1层15-16号,电话：无,
鹤岗百年一辰医药九十二分店,地址：黑龙江省哈尔滨市兴安区永吉家园一层商服,电话：无,
鹤岗百年一辰医药三十二分店,地址：黑龙江省鹤岗市萝北县凤翔镇9委（千禧楼一楼),电话：无,
鹤岗百年一辰医药七十八分店,地址：黑龙江省鹤岗市工农区34委蔬园综合楼111室,电话：无,
鹤岗百年一辰医药五十九分店,地址：黑龙江省鹤岗市鹿林山翔璐商贸市场,电话：无,
鹤岗百年一辰医药五十三分店,地址：黑龙江省鹤岗市南山区九州兴建小区10号101室,电话：无,
鹤岗百年一辰医药九十一分店,地址：黑龙江省鹤岗市南山区芙蓉花园居住组团一层商服,电话：无,
鹤岗百年一辰医药二十九分店,地址：黑龙江省鹤岗市萝北县凤翔镇凤翔大街百货小区,电话：无,
鹤岗百年一辰医药七十七分店,地址：黑龙江省鹤岗市工业大厦一楼,电话：无,
鹤岗百年一辰医药五十八分店,地址：黑龙江省鹤岗市光宇小区48号104户,电话：无,
哈尔滨百年一辰汉广店,地址：黑龙江省哈尔滨市汉广街81-7号,电话：0451-86317572,
鹤岗百年一辰医药十八分店,地址：黑龙江省鹤岗市萝北县凤翔镇南二道街中段,电话：无,
鹤岗百年一辰医药九十分店,地址：黑龙江省鹤岗市兴安区30委兴东花园1#楼108室,电话：无,
鹤岗百年一辰医药六十六分店,地址：黑龙江省鹤岗市工农区世纪花园4号楼136室,电话：无,
黑龙江省密山市金沙宏德大药房,地址：黑龙江省鸡西密山市八五五农场中心街邮局楼门市,电话：0467-5073999,
鹤岗百年一辰医药五十二分店,地址：黑龙江省鹤岗市兴山区政府楼下（22委综合楼）,电话：无,
鹤岗百年一辰医药八十九分店,地址：黑龙江省鹤岗市向阳区14委9组红军街金鹤小区一组团2号楼104室,电话：无,
鹤岗百年一辰医药六十五分店,地址：黑龙江省鹤岗市自来水10号楼108号,电话：无,
鹤岗百年一辰医药五十七分店,地址：黑龙江省鹤岗市工农区4委2组站前2号楼1层东侧,电话：无,
哈尔滨百年一辰赣水店,地址：黑龙江省哈尔滨市开发区赣水路39号,电话：0451-87221805,
鹤岗百年一辰医药六十三分店,地址：黑龙江省鹤岗市兴安区华盛木业小区A栋综合楼,电话：无,
鹤岗百年一辰医药五十六分店,地址：黑龙江省鹤岗市工农区黎明花园,电话：无,
鹤岗百年一辰医药五十一分店,地址：黑龙江省鹤岗市工农区东解放路北一道街A栋106室,电话：无,
哈尔滨百年一辰大方里店,地址：黑龙江省哈尔滨市大方里小区201栋1单元1层1号,电话：0451-58956851,
哈尔滨百年一辰宣化店,地址：黑龙江省哈尔滨市南岗区靖宇街243号,电话：无,
鹤岗百年一辰医药五十分店,地址：黑龙江省鹤岗市东山区沿河南D组1号楼101室,电话：无,
哈尔滨百年一辰顺通店,地址：黑龙江省哈尔滨市南岗区上夹街92号,电话：0451-86485245,
鹤岗百年一辰医药四十九分店,地址：黑龙江省鹤岗市南山区汇东商厦109室,电话：无,
鹤岗百年一辰医药四十分店,地址：黑龙江省鹤岗市工农区华隆路北财达综合楼B栋一层商服118室,电话：无,
哈尔滨百年一辰安国店,地址：黑龙江省哈尔滨市道里区尚志大街178号,电话：0451-86775545,
鹤岗百年一辰医药二十八分店,地址：黑龙江省鹤岗市工农区禾友路商服2号楼111房,电话：无,
鹤岗百年一辰医药三十九分店,地址：黑龙江省鹤岗市南山区79委鹿林汽配综合楼,电话：无,
鹤岗百年一辰医药四十八分店,地址：黑龙江省鹤岗市兴山区红卫小区B1栋121户,电话：无,
鹤岗百年一辰医药二十七分店,地址：黑龙江省鹤岗市兴安区47委6组北五道街北22栋1单元1室,电话：无,
鹤岗百年一辰医药三十八分店,地址：黑龙江省鹤岗市工农区无线电厂综合楼110-210的门市房,电话：无,
鹤岗百年一辰医药十四分店,地址：黑龙江省鹤岗市南山区选煤街16号101,电话：无,
鹤岗百年一辰医药四十七分店,地址：黑龙江省鹤岗市兴安区新一街03楼1--1号,电话：无,
鹤岗百年一辰医药二十六分店,地址：黑龙江省鹤岗市向阳区振兴路5号门房1户,电话：无,
鹤岗百年一辰医药三十七分店,地址：黑龙江省鹤岗市工农区铁西路综合楼(龙宇花园A栋)106户的门市房.,电话：无,
鹤岗百年一辰医药十三分店,地址：黑龙江省鹤岗市工农区4委铁路综合楼105号,电话：无,
鹤岗百年一辰医药四分店,地址：黑龙江省鹤岗市工农区中心站（禧龙宾馆对面）,电话：无,
鹤岗百年一辰医药四十五分店,地址：黑龙江省鹤岗市工农区28委西解放路7号,电话：无,
鹤岗百年一辰医药二十五分店,地址：黑龙江省鹤岗市向阳区10委6组红军街二院住宅楼107室,电话：无,
鹤岗百年一辰医药三十六分店,地址：黑龙江省鹤岗市工农区40委育才路52号,电话：无,
鹤岗百年一辰医药十二分店,地址：黑龙江省鹤岗市二百综合楼23号门市,电话：无,
鹤岗百年一辰医药三分店,地址：黑龙江省鹤岗市防疫站十号门市,电话：无,
鹤岗百年一辰医药四十四分店,地址：黑龙江省鹤岗市工农区16委东北亚住宅楼154号,电话：无,
鹤岗百年一辰医药二十四分店,地址：黑龙江省鹤岗市工农区61委群楼1号楼110室,电话：0468-3350854,
鹤岗百年一辰医药三十五分店,地址：黑龙江省鹤岗市兴安区新一街010楼1--10号,电话：无,
鹤岗百年一辰医药十一分店,地址：黑龙江省鹤岗市兴安区10委东升综合楼120室,电话：无,
鹤岗百年一辰医药二分店,地址：黑龙江省鹤岗市解放路商厦一楼,电话：无,
鹤岗百年一辰医药四十三分店,地址：黑龙江省鹤岗市东山区东兴路63号,电话：无,
鹤岗百年一辰医药二十三分店,地址：黑龙江省鹤岗市向阳区新华1栋楼108室,电话：无,
鹤岗百年一辰医药三十四分店,地址：黑龙江省鹤岗市向阳区南翼曙光新村1号楼101室商服一楼,电话：无,
鹤岗百年一辰医药十分店,地址：黑龙江省鹤岗市东山区岭北综合楼,电话：无,
鹤岗百年一辰医药一分店,地址：黑龙江省鹤岗市向阳区新华书店一楼,电话：无,
鹤岗百年一辰医药四十二分店,地址：黑龙江省鹤岗市糖果厂综合楼商服109#、209#门市,电话：无,
鹤岗百年一辰医药二十二分店,地址：黑龙江省鹤岗市南山区50委1组大陆百货综合楼108室,电话：无,
鹤岗百年一辰医药三十三分店,地址：黑龙江省鹤岗市工农区34委兴择花园综合楼（比优特旗舰店旁）,电话：无,
鹤岗百年一辰医药九分店,地址：黑龙江省鹤岗市东山区新一供销社综合楼101号商服,电话：无,
哈尔滨百年一辰通达店,地址：黑龙江省哈尔滨市南岗区通达街4号,电话：0451-86351153,
鹤岗百年一辰医药四十一分店,地址：黑龙江省鹤岗市兴山区黄河路兴山休闲小区D组商服,电话：无,
鹤岗百年一辰医药十七分店,地址：黑龙江省鹤岗市新华食品一条街中段,电话：无,
鹤岗百年一辰医药三十一分店,地址：黑龙江省鹤岗市工农区 装潢大世界一楼第三门市面,电话：无,
鹤岗百年一辰医药八分店,地址：黑龙江省鹤岗市南山24委南山1号综合楼107室\/208室,电话：无,
哈尔滨百年一辰闽江店,地址：黑龙江省哈尔滨市南岗区拉林小区3栋1层4号门市,电话：0451-82354456,
鹤岗百年一辰医药三十分店,地址：黑龙江省鹤岗市向阳区胜利小区13号楼120门市房,电话：无,
鹤岗百年一辰医药十六分店,地址：黑龙江省鹤岗市南山中医院楼下101室,电话：无,
