大参林医药集团股份有限公司太平店,地址：广东省湛江市麻章区太平镇供销街11号 ,电话：0759-2866168 ,
养和医药江高分店,地址：广东省广州市白云区东胜街18,电话：020-86603201,
一德堂竹村分店,地址：广东省深圳市宝安区观澜街道新城社区竹村市场20号,电话：无,
养和医药养泰分店,地址：广东省广州市天河区元岗路元岗街323号南兴花园05号铺,电话：020-87077072,
养和医药龙津西路分店,地址：广东省广州市荔湾区龙津西路29号,电话：020-31027026,
养和医药罗马家园分店,地址：广东省广州市海珠区南洲路88号盛典街#9号罗马家园凯旋CD座首层,电话：020-62365306,
养和医药帝景药店,地址：广东省广州市海珠区艺洲路809号(近工行),电话：020-61296554,
养和医药连锁逸和分店,地址：广东省广州市海珠区华盛南路227号,电话：020-62773683,
一德堂龙华广仁分店,地址：广东省深圳市宝安区龙华牛拦前商业步行街65-66号,电话：0755-29828430,
养和医药养禾分店,地址：广东省广州市番禺区南村镇华南新城碧泉居9座2、3号,电话：020-61998065,
养和医药逸和分店,地址：广东省广州市海珠区华盛南路227、229号铺,电话：020-62773693,
养和医药连锁康泰分店,地址：广东省广州市白云区金信路79号,电话：020-61169360,
养和医药富佳花园分店,地址：广东省广州市南沙区富佳东街10号,电话：020-37939993,
一德堂天辰分店,地址：广东省深圳市罗湖区清水河街道红岗路玉龙村上区一巷4栋101、102,电话：无,
广州养和医药珠江街分店,地址：广东省广州市广州市南沙区新宝街1号,电话：020-84208434,
养和医药养合分店,地址：广东省广州市海珠区江燕路燕翔路183、185号,电话：020-89018119,
养和医药利海分店,地址：广东省广州市天河区天源路绿洲街5号,电话：020-87233313,
养和医药新城旗舰店,地址：广东省广州市从化区中田东路126-128号,电话：020-37935293,
一德堂新木老村分店,地址：广东省深圳市龙岗区平湖街道新木社区老村新区5号（一楼）,电话：0755-84692057,
养和医药御景湾分店,地址：广东省广州市海珠区南洲路2004、2006号，御景大街2号首层、16号之二,电话：020-89200330,
养和医药珠江广场分店,地址：广东省广州市海珠区滨江东路795号,电话：020-34254690,
养和医药白云尚城分店,地址：广东省广州市尚城大街73,电话：020-36242311,
广州养和医药幸和分店,地址：广东省广州市新港中路381号201号首层（七所门口、珠影好又多对面）,电话：020-84908434,
一德堂金域东郡分店,地址：广东省深圳市坪山新区行政二路万科金域东郡4栋商铺B-G112S,电话：0755-89388761,
养和医药锦绣花园分店,地址：广东省广州市番禺区钟村镇锦绣花园西区一期春满园10座11号铺,电话：020-34633463,
养和医药养和分店,地址：广东省广州市天河区中山大道华景路83号华门阁首层,电话：020-85560240,
养和医药连锁绵盛店,地址：广东省广州市天河区棠东富华东街2号,电话：020-34655463,
养和医药怡港花园分店,地址：广东省广州市黄埔区丰乐南路369号怡港花园后门商业街,电话：020-82594020,
养和医药大石分店,地址：广东省广州市番禺区105国道大石段292号,电话：020-34797595,
养和医药连锁凤凰店,地址：广东省广州市花都区凤凰北路30-5,电话：020-36925512,
养和医药德兴分店,地址：广东省广州市番禺区德兴路243号,电话：020-84643199,
养和医药华工分店,地址：广东省广州市天河区东莞庄路280号华工北门多品美超市内,电话：020-37230032,
养和医药新墩分店,地址：广东省广州市黄埔区新敦村广深大道逸富广场1层,电话：020-82468417,
广东金康药房粤垦分店,地址：广东省广州市天河区粤垦路512、516B、516C号铺,电话：020-37239769,
广东金康药房钟村人民路店,地址：广东省广州市番禺区钟村街人民路28号101之一,电话：无,
广东金康药房国金店,地址：广东省广州市天河区珠江新城(西塔)-2层友谊商店第五商场(超市入口斜对面),电话：020-88832339,
广东金康药房番禺上漖分店,地址：广东省广州市番禺区洛浦街上漖村沙滘西路43号首层之一、之二铺,电话：020-87271389,
广东金康药房正佳店,地址：广东省广州市天河区天河路228号正佳广场西南方第三层,电话：020-38330369,
广东金康药房番禺新大新店,地址：广东省广州市番禺区市桥街繁华路易发商业中心四楼,电话：020-84817969,
广东金康药房芳村东漖店,地址：广东省广州市荔湾区东漖北路822号834房,电话：020-81408267,
广东金康药房太阳城店,地址：广东省广州市白云区广州大道北1811-1813号B1-117铺,电话：020-36732399,
广东金康药房从城店,地址：广东省广州从化江浦镇从化大道南欣荣宏商业街108号之一自编1027、1028号,电话：020-34130258,
广东金康药房东百花地湾店,地址：广东省广州市荔湾区芳村花地大道200号东百花地湾首层,电话：020-81562633,
广东金康药房南沙东涌分店,地址：广东省广州市南沙区东涌镇吉祥东路自编5号A座一层A47、A48,电话：020-34130192,
广东金康药房王府井店,地址：广东省广州市越秀区农林下路40号二楼,电话：020-87611711,
广东金康药房钟村分店,地址：广东省广州市番禺区钟村镇钟屏岔道钟三村路段南侧钟福广场二层西厅A2号,电话：020-34635977,
广东金康药房友谊店,地址：广东省广州市越秀区淘金北路友谊总店四楼,电话：020-83571002,
广东金康药房增城万达分店,地址：广东省广州市增城荔城街增城大道69号1幢120、128之5、6,电话：020-26220575,
广东金康药房广百五楼店,地址：广东省广州市越秀区西湖路广百五楼,电话：020-83304993,
广东金康药房领寓分店,地址：广东省广州市花都区新华街龙珠路41号,电话：020-37712390,
广东金康药房晓南分店,地址：广东省广州市海珠区锦悦街1号负一层01房自编A3,电话：020-81948021,
济和堂药业大岭社背分店,地址：广东省惠州市惠东县大岭镇社背二路侧,电话：无,
济和堂药业大岭三分店,地址：广东省惠州市惠东县大岭镇新村路115号,电话：无,
济和堂药业惠东正源分店,地址：广东省惠州市惠东县平山大另地179号,电话：无,
济和堂药业莲花地分店,地址：广东省惠州市惠东县平山镇莲花中路45号,电话：无,
济和堂药业金河湾分店,地址：广东省惠州市惠东县平山镇莲花西路103号,电话：无,
济和堂药业大岭泉水垅分店,地址：广东省惠州市惠东县大岭镇泉水垅小区H栋19-20号,电话：无,
济和堂药业吉顺分店,地址：广东省惠州市惠东县吉隆镇水坑背陈坑垅广汕公路边 海滨城购物中心一楼门口第二档口,电话：无,
济和堂药业万隆分店,地址：广东省惠州市惠东县平山镇红光莲花地万隆新城A幢第一层1A8号,电话：无,
济和堂药业黄埠吉辉分店,地址：广东省惠州市惠东县黄埠镇田富围村,电话：无,
济和堂药业大岭新安分店,地址：广东省惠州市惠东县大岭镇新安村惠东大道2827号,电话：无,
济和堂药业宝龙三分店,地址：广东省惠州市惠东县黄埠镇田围塭仔,电话：无,
济和堂药业吉隆吉康分店,地址：广东省惠州市惠东县吉隆镇文明二路67号,电话：无,
济和堂药业大岭康立分店,地址：广东省惠州市惠东县大岭镇前进街亚鹊桥住宅区9、10号,电话：无,
济和堂药业蕉田分店,地址：广东省惠州市惠东县平山镇蕉田黄垅规划区F栋11-12号,电话：无,
济和堂药业吉隆康盛分店,地址：广东省惠州市惠东县吉隆镇磨坑小区,电话：0752-8698699,
济和堂药业太阳坳分店,地址：广东省惠州市惠东县白花镇太阳坳工业区商业大街第一栋1号铺,电话：0752-8769139,
济和堂药业洪湖分店,地址：广东省惠州市惠东县大岭镇洪湖彭白路口,电话：无,
济和堂药业平梁路分店,地址：广东省惠州市惠东县大岭镇平梁公路边,电话：无,
济和堂药业黄埠北门分店,地址：广东省惠州市惠东县黄埠镇西门岭,电话：无,
济和堂药业牛牯湖分店,地址：广东省惠州市惠东县大岭镇牯湖大道6号 ,电话：无,
济和堂药业黄埠吉昌分店,地址：广东省惠州市惠东县黄埠镇田富围村,电话：0752-5322408,
济和堂药业前进街分店,地址：广东省惠州市惠东县大岭镇前进街洗麻厂67号,电话：无,
济和堂药业红岭分店,地址：广东省惠州市惠东县平山赤岭A区50号商铺103号房,电话：无,
济和堂药业黄埠良生分店,地址：广东省惠州市惠东县黄埠镇西社下洋新村大坑前（万福商场北侧）,电话：0752-8682846,
济和堂药业黄埠吉成分店,地址：广东省惠州市惠东县黄埠镇综合第二市场8、9号,电话：无,
济和堂药业新园吉祥分店,地址：广东省惠州市惠东县大岭镇新园路93号,电话：无,
济和堂药业吉隆和协分店,地址：广东省惠州市惠东县吉隆镇水坑头小区十一区F座1号,电话：无,
济和堂药业黄埠圆盘分店,地址：广东省惠州市惠东县黄埠镇田富村,电话：无,
济和堂药业黄埠吉弘分店,地址：广东省惠州市惠东县黄埠镇第二市场岭南中心街,电话：无,
济和堂药业黄埠第一分店,地址：广东省惠州市惠东县黄埠镇海滨大道金都酒店对面,电话：无,
济和堂药业黄埠九分店,地址：广东省惠州市惠东县黄埠镇海滨大道旭升鞋业有限公司大门右侧第3、4间,电话：无,
济和堂药业吉隆吉煌分店,地址：广东省惠州市惠东县吉隆镇金华四路十六巷9-10号,电话：无,
济和堂药业大岭二分店,地址：广东省惠州市惠东县大岭镇富丽路6号,电话：0752-8912810,
济和堂药业黄埠良生二分店,地址：广东省惠州市惠东县黄埠镇人民一路56号,电话：无,
济和堂药业黄埠八分店,地址：广东省惠州市惠东县黄埠镇田富村能利达商贸城第一层A区7号,电话：无,
济和堂药业大岭新安市场分店,地址：广东省惠州市惠东县大岭镇新安市场北巷一栋14号,电话：无,
济和堂药业惠州乌石分店,地址：广东省惠州市惠州市惠城区小金口乌石下黄村第二市场大门侧,电话：无,
济和堂药业黄埠吉盛分店,地址：广东省惠州市惠东县黄埠镇霞坑市场,电话：无,
济和堂药业黄埠旭升分店,地址：广东省惠州市惠东县黄埠镇田富围一路四巷13号,电话：0752-8201521,
济和堂药业黄埠六分店,地址：广东省惠州市惠东县黄埠镇四门居委葫芦岭边,电话：0752-8659302,
济和堂药业华侨城分店,地址：广东省惠州市惠东县平山镇华侨城大道176号,电话：无,
济和堂药业黄埠记盛分店,地址：广东省惠州市惠东县黄埠镇坣头村中心街27号,电话：无,
济和堂药业黄埠吉泰分店,地址：广东省惠州市惠东县黄埠镇海洋路吉泰路口,电话：无,
济和堂药业黄埠三分店,地址：广东省惠州市惠东县黄埠镇环城路16号,电话：13725027258 ,
济和堂药业水口分店,地址：广东省惠州市惠州市惠城区水口镇新行政区湖滨市场后面,电话：无,
济和堂药业黄埠第十分店,地址：广东省惠州市惠东县黄埠镇下圩广场大道中段下圩北10栋52号,电话：无,
济和堂药业田围分店,地址：广东省惠州市惠东县黄埠田围下洋新村田围中街,电话：0752-8382798,
济和堂药业宝龙二分店,地址：广东省惠州市惠东县黄埠镇海滨工业区,电话：无,
济和堂药业大岭分店,地址：广东省惠州市惠东县大岭镇富丽路28号,电话：0752-8912810,
济和堂药业宝龙分店,地址：广东省惠州市惠东县黄埠镇海滨二路第一栋,电话：0752-8693593,
润泽堂药业连锁塘前分店,地址：广东省深圳市龙华新区观澜章阁塘前新村5号101,电话：0755-29409505,
一通大药房荔园分店,地址：广东省深圳市龙岗区坂田街道五和社区美食街北二巷1号1楼,电话：0755-89508982,
一通大药房坪山罗庚丘分店,地址：广东省深圳市坪山新区坪山办事处竹坑社区罗庚丘罗丰路二巷1号101,电话：0755-84630091,
一通大药房布吉新营分店,地址：广东省深圳市龙岗区布吉街道三联社区龙景二区6号102,电话：无,
一通大药房龙岗安民分店,地址：广东省深圳市龙岗区龙岗街道南约社区大浪北区六巷1号101；,电话：无,
和顺堂番禺店,地址：广东省广州市番禺区南村镇雅居乐观景北街81号,电话：020-31078155,
和顺堂星汇云锦店,地址：广东省广州市天河区珠江新城华成路一号星汇云锦首层102商铺,电话：400-0755-911,
和顺堂珠江新城店,地址：广东省广州市天河区珠江新城海月路广粤天地南街7号铺,电话：020-38288682,
和顺堂江海店,地址：广东省广州海珠区江海路158号（海印桥往南直行约100米）,电话：020-89307662,
和顺堂南城店,地址：广东省东莞市南城区簪花路10号联佳大厦14号商铺,电话：0769-23021959,
和顺堂中山店,地址：广东省中山市东区恒信花园D区40号,电话：0760-88835632,
和顺堂厚街店,地址：广东省东莞市厚街体育路颐和居8号楼1号铺,电话：0769-82589686,
和顺堂虎门店,地址：广东省东莞市虎门镇连升中路地标大厦A区一层107号,电话：0769-81228589,
和顺堂佛山店,地址：广东省佛山市禅城区绿景三路8号2区首层P10铺（雅居乐花园会所对面）,电话：0757-83364888,
和顺堂沙井店,地址：广东省深圳市沙井街道新沙路南侧西荟城购物广场B区一层G-23号商铺,电话：0755-83362880,
和顺堂天悦龙庭店,地址：广东省深圳市宝安区新安街道新湖路东侧天悦龙庭B栋商铺108号,电话：0755-83363133,
和顺堂白石洲店,地址：广东省深圳市南山区白石洲新中路旁南面大豪厂商楼102房,电话：0755-26766648,
和顺堂鸿景园店,地址：广东省深圳市宝安区新安街道宝城34区宝民路鸿景园5栋103,电话：0755-88319986,
和顺堂后海店,地址：广东省深圳市南山区商业文化中心区创业路海岸明珠园A区裙楼1层02号商铺,电话：0755-86060709,
和顺堂和顺苑店,地址：广东省深圳市福田区深南大道竹子林求是大厦裙楼5楼,电话：0755-83389815,
和顺堂御景台店,地址：广东省深圳市宝安区新安街道前进路御景台1栋104,电话：0755-83368900,
和顺堂前海店,地址：广东省深圳市南山区前海路东侧阳光花地苑B座113号、115号,电话：0755-29552626,
和顺堂园岭店,地址：广东省深圳市福田区园岭四街圆龙园1栋2号商铺,电话：0755-88319382,
和顺堂长安店,地址：广东省东莞市长安镇德政中路293号信义怡翠豪园1栋104、105号,电话：0769-82289522,
和顺堂桃源居店,地址：广东省深圳市宝安区西乡街道桃源居世外桃源11栋109,电话：0755-83363332,
和顺堂波托菲诺店,地址：广东省深圳市南山区华侨城波托菲诺纯水岸销售中心二楼（欢乐谷旁）,电话：0755-86081982,
和顺堂龙华1866店,地址：广东省深圳市龙华区民安路与梅龙路交汇处1866佐阾荟二层N-L207号商铺,电话：0755-66635867,
和顺堂水围店,地址：广东省深圳市福田保税区新桂花村居雅苑5栋103,电话：0755-83393133,
和顺堂新安店,地址：广东省深圳市宝安区创业路宝城45区文乐花园1-103,电话：0755-27578386,
和顺堂龙福店,地址：广东省深圳市龙岗区龙城街道中心城龙福西路东方御花园1号楼,电话：0755-89729978,
和顺堂万科城店,地址：广东省深圳市龙岗区坂田街道万科城二期C区7号楼商铺105、106,电话：0755-89507082,
和顺堂石厦店,地址：广东省深圳市福田区石厦新新家园建鑫苑CD栋裙楼商铺28-2（福民一路福田区委旁）,电话：0755-88318007,
和顺堂东城店,地址：广东省东莞市东城大道金月湾广场A区首层06、07号商铺,电话：0769-22360093,
和顺堂蛇口海韵嘉园店,地址：广东省深圳市南山区公园路与望海路交界东北海韵嘉园裙楼中101房屋,电话：0755-26693001,
和顺堂锦绣御园店,地址：广东省深圳市龙华新区锦绣御园三期8A栋01层03、04号商铺,电话：0755-83380681,
和顺堂惠州店,地址：广东省惠州市江北文明一路中信时代A座101,电话：0752-7777185,
和顺堂百花店,地址：广东省深圳市福田区百花二路实验中学综合楼一单元201、202A,电话：0755-88300581,
和顺堂光明店,地址：广东省深圳市光明新区公明办事处宏发上域花园1#楼商铺A05、A06号,电话：400-0755-911,
和顺堂蛇口玫瑰园店,地址：广东省深圳市南山区公园路玫瑰园88号,电话：0755-85222366,
和顺堂梅陇店,地址：广东省深圳市龙岗区龙华梅陇大道锦绣江南四期一栋1019-1020,电话：0755-29552929,
和顺堂景田店,地址：广东省深圳市福田区莲花路缔梦园丽梦轩110号,电话：0755-83363330,
和顺堂世纪村店,地址：广东省深圳市南山区沙河东路世纪村花园6栋113号,电话：0755-86089042,
和顺堂布吉中心花园店,地址：广东省深圳市龙岗区布吉街道政清路布吉中心花园B31、B32号商铺（街道办旁边）,电话：0755-28538219,
和顺堂梅林店,地址：广东省深圳市福田区梅丽路梅林文体中心2号楼一层西侧,电话：0755-83553803,
和顺堂布吉店,地址：广东省深圳市龙岗区布吉街道信义荔山公馆8号楼S135—137铺,电话：0755-28362280,
和顺堂横岗店,地址：广东省深圳市横岗街道新亚洲广场新雅苑A座商铺1-2,电话：0755-88319229,
和顺堂创新店,地址：广东省深圳市福田区滨河路与香蜜湖路交汇处天安创新科技广场二期西101D,电话：0755-82507789,
和顺堂银湖水会店,地址：广东省深圳市罗湖区清水河街道办银湖路48号银谷别墅1号,电话：0755-25827275,
和顺堂丽港湾店,地址：广东省深圳市福田保税区椰风路丽港湾花园裙楼,电话：0755-83459626,
和顺堂香榭里店,地址：广东省深圳市福田区香蜜湖农轩路香榭里花园7栋1号商铺,电话：0755-82935268,
和顺堂洪湖一街店,地址：广东省深圳市罗湖区洪湖一街翠盈嘉园2层302,电话：0755-25826679,
和顺堂春风店,地址：广东省深圳市罗湖区春风路皇室假期美食水疗会一楼大厅左侧,电话：0755-82155282,
和顺堂布心彩世界店,地址：广东省深圳市罗湖区东湖路8-3号和顺堂（中国银行旁）,电话：0755-88319990,
和顺堂宝安南路店,地址：广东省深圳市罗湖区宝安南路北京大厦一层3号商铺,电话：0755-88302081,
和顺堂沙头角店,地址：广东省深圳市盐田区沙头角沙深路上东湾一楼商业商铺3068-1号,电话：0755-82896282,
和顺堂莲塘店,地址：广东省深圳市罗湖区莲塘路鹏兴花园二期39栋5号商铺,电话：0755-28362282,
和顺堂罗湖店,地址：广东省深圳市罗湖区爱国路1089号鸿业苑鸿怡阁长城茶府一楼(怡景花园正门斜对面),电话：0755-88318993,
台山市台城新锦康药店,地址：广东省江门市台山市台城北盛街90号,电话：0750-5586005,
益心大药房第七分店,地址：广东省惠州市博罗县石湾镇石湾南路76号,电话：0752-6656679,
益心大药房第四分店,地址：广东省惠州市博罗县石湾镇滘吓综合市场,电话：0752-6952660,
益心大药房第三分店,地址：广东省惠州市博罗县石湾镇石湾北路1号,电话：0752-6911069,
益心大药房,地址：广东省惠州市博罗县石湾镇石湾中路78号 ,电话：0752-6913209,
重庆和平药房有限公司翠园居连锁分店,地址：广东省惠州市博罗县罗阳镇中原三路翠园居门口,电话：0752-6227089,
长宁镇厚和堂药店,地址：广东省惠州市博罗县长宁镇移民新街教工商住楼,电话：0752-6660564,
康城药房福田第二分店,地址：广东省惠州市博罗县福田镇福田医院对面,电话：0752-6886481,
康城药房中岗分店,地址：广东省惠州市博罗县石湾镇石湾中路88号 ,电话：0752-6907205,
康城药房福田分店,地址：广东省惠州市博罗县福田镇农贸市场2区A1、A2,电话：0752-6636481,
博罗县石湾镇康城药房,地址：广东省惠州市博罗县石湾镇历山路,电话：0752-6112481,
康城药房园洲商贸市场分店,地址：广东省惠州市博罗县园洲镇服装路,电话：0752-6680681,
康城药房园洲下南分店,地址：广东省惠州市博罗县园洲镇兴园二路,电话：0752-6688481,
易康罗浮药店,地址：广东省惠州市博罗县罗阳镇中原五路,电话：0752-6372230,
博罗县园洲镇康南药店,地址：广东省惠州市博罗县园洲镇富民路95-96号,电话：0752-6688481,
康城药房长宁第二分店,地址：广东省惠州市博罗县长宁镇埔筏村委会罗浮花园,电话：0752-6662681,
康城药房园洲上南分店,地址：广东省惠州市博罗县园洲镇兴华路边新三新广场西侧,电话：0752-6396481,
康城药房长宁分店,地址：广东省惠州市博罗县长宁镇市场路,电话：0752-6663481,
康城药房龙溪第二分店,地址：广东省惠州市博罗县龙溪镇中一路,电话：0752-6672481,
康城药房龙溪分店,地址：广东省惠州市博罗县龙溪镇第二商业街,电话：0752-6671296,
东莞市东城瑞和堂药店,地址：广东省东莞市东城区主山大井头路10号,电话：0769-89796582,
惠州市百姓缘双城国际店,地址：广东省惠州市江北24号小区新沥路39号双城国际南区7、8号楼一层13号商铺,电话：0752-2825799,
惠州市百姓缘南门店,地址：广东省惠州市惠城区南门路2号,电话：0752-2239799,
惠州市百姓缘天泽名居店,地址：广东省惠州市新沥路22号天泽名居B栋1层17号商场,电话：0752-2873699,
惠州市百姓缘母婴用品生活馆,地址：广东省惠州市黄塘一路11号商铺,电话：0752-2121098,
惠州市百姓缘欣悦阳光店,地址：广东省惠州市河南岸李屋村大水岭头综合楼第一层,电话：0752-7831499,
惠州市百姓缘升平苑店,地址：广东省惠州市花边岭26号109号商场(升平苑门口右侧),电话：0752-2279599,
惠州市百姓缘鸿昌路店,地址：广东省惠州市河南岸二十八号商住楼第103栋首层5-6号商铺 ,电话：0752-2510199,
惠州市百姓缘黄塘店,地址：广东省惠州市黄塘1路2号紫云阁一楼A号商铺（丰湖酒店旁）,电话：0752-2126799,
惠州市百姓缘东湖二店,地址：广东省惠州市惠城区东湖花园六号小区602栋6号商场,电话：0752-2365557,
惠州市百姓缘雅安苑店,地址：广东省惠州市惠城区上排雅安苑一栋一层五号商铺,电话：0752-2277099,
惠州市百姓缘山水华府店,地址：广东省惠州市河南岸金山湖9号小区山水华府A1栋04号商铺,电话：0752-2562099,
惠州市百姓缘柏岗二店,地址：广东省惠州市惠城区小金镇柏岗路22号,电话：0752-2831699,
惠州市百姓缘新乐二店,地址：广东省惠州市惠城区马安镇新乐路锦兴大厦一楼,电话：0752-2077390,
惠州市百姓缘水口同福路店,地址：广东省惠州市惠城区水口同福路4号（供电局对面进去）,电话：0752-2323779,
惠州市百姓缘桥东城背路店,地址：广东省惠州市桥东城背路6号,电话：0752-2353799,
惠州市百姓缘东平店,地址：广东省惠州市惠城区东平大路口村116号（市第三人民医院门口）,电话：0752-2272099,
惠州市百姓缘大湖溪店,地址：广东省惠州市惠城区大湖溪湖溪路二街一号,电话：0752-2311599,
惠州市百姓缘银岭分店,地址：广东省惠州市惠城区河南岸银岭路43号一楼（河南岸中心旁）,电话：0752-2558599,
惠州市百姓缘麦地东店,地址：广东省惠州市麦地东路润诚大厦第一层9号商场,电话：0752-2565199,
惠州市百姓缘马安三店,地址：广东省惠州市惠城区马安市场南街3号商铺,电话：0752-3260976,
惠州市百姓缘马安参茸店,地址：广东省惠州市惠城区马安镇永安街1号(即马安钟楼一楼),电话：0752-3612386,
惠州市百姓缘东江店,地址：广东省惠州市惠城区水口镇东江工业城D-13-3小区第18号,电话：0752-2317599,
惠州市百姓缘龙津二店,地址：广东省惠州市惠城区水口街道办事处人民北二路71号,电话：0752-2312489,
惠州市百姓缘医花边南路店,地址：广东省惠州市河南岸黄田岗黄岗大道13号1层02商铺（花边南路）,电话：0752-2591799,
惠州市百姓缘桥东店,地址：广东省惠州市惠城区桥东下板塘市场嘉福超市旁,电话：0752-7397639,
惠州市百姓缘乌石参茸店,地址：广东省惠州市惠城区乌石下黄村(影剧院正对面),电话：0752-2789723,
惠州市百姓缘金迪星苑店,地址：广东省惠州市惠城区南线金迪星苑104栋金泓阁103号商场,电话：0752-2285099,
惠州市百姓缘平南店,地址：广东省惠州市仲恺高新区陈江惠风西路19号(平南市场正对面),电话：0752-2608273,
惠州市百姓缘黄田岗店,地址：广东省惠州市惠城区麦地东二路鸿润花园H栋1层09号,电话：0752-7820279,
惠州市百姓缘青塘叁店,地址：广东省惠州市惠城区小金镇青塘二组9号一层,电话：0752-2295399,
惠州市百姓缘南湖店,地址：广东省惠州市惠城区下埔南二街1巷8号(南湖市场旁),电话：0752-2100817,
惠州市百姓缘下板塘店,地址：广东省惠州市桥东路北一巷4号商铺（华侨中学对面）,电话：0752-2212799,
惠州市百姓缘荷兰水乡店,地址：广东省惠州市惠城区荷兰水乡三期二组团一层111号铺,电话：0752-2350699,
惠州市百姓缘南坛店,地址：广东省惠州市惠城区南坛东路二街2号（美博城后面）,电话：0752-2208099,
惠州市百姓缘小金口乌石三店,地址：广东省惠州市惠城区小金口乌石下黄组老公路666号,电话：0752-7830769,
惠州市百姓缘银湖店,地址：广东省惠州市仲恺高新区陈江银湖路胜利街67号(蓝天幼儿园斜对面),电话：0752-3178638,
惠州市百姓缘大岭路店,地址：广东省惠州市上排大岭路19号-9（第二妇幼斜对面）,电话：0752-2279099,
惠州市百姓缘赤岭店,地址：广东省惠州市仲恺高新区赤岭下新村乐金路46号,电话：0752-2608889,
惠州市百姓缘美地花园店,地址：广东省惠州市惠城区河南岸美地花园9栋1层5号、6号(惠泽南苑大门正对面),电话：0752-2558969,
惠州市百姓缘青塘店,地址：广东省惠州市惠城区小金口青塘村大润发超市斜对面),电话：0752-2295319,
惠州市百姓缘三栋分店,地址：广东省惠州市惠城区三栋镇中心市场兴汇佳购物广场大门,电话：0752-2593699,
惠州市百姓缘青塘二店,地址：广东省惠州市惠城区小金口青塘南街中心市场14号,电话：0752-7830283,
惠州市百姓缘四角楼店,地址：广东省惠州市博罗四角楼亿兴大厦润佳乐超市一楼,电话：0752-6831991,
惠州市百姓缘云山店,地址：广东省惠州市惠城区江北花园路3号阳光谷大厦1层19房,电话：0752-2365226,
惠州市百姓缘湖滨二店,地址：广东省惠州市惠城区水口湖滨市场里面,电话：0752-2317299,
惠州市百姓缘潼侨店,地址：广东省惠州市仲恺高新区潼侨镇侨冠中路119号（农商银行对面）,电话：0752-3792226,
惠州市百姓缘小金口乌石店,地址：广东省惠州市惠城区小金口乌石下黄村乌石老市场(富豪园大酒店对面),电话：0752-2789449,
惠州市百姓缘龙津三店,地址：广东省惠州市惠城区水口镇龙湖25区A-01-3栋3号,电话：0752-2317099,
惠州市百姓缘冰塘店,地址：广东省惠州市惠城区河南岸冰塘村229号(冰塘综合市场对面),电话：0752-2525463,
惠州市百姓缘东湖店,地址：广东省惠州市惠城区东平东湖花园一号小区112号,电话：0752-2329776,
惠州市百姓缘金石店,地址：广东省惠州市惠城区小金口乌石红旗村41号,电话：0752-2830349,
惠州市百姓缘马安店,地址：广东省惠州市惠城区马安镇泰安路50号(即马安汽车站向东前100米),电话：0752-3614498,
